time,open,high,low,close,volume
2015-10-11T20:00:00,92.744,93.148,92.186,92.24,0
2015-10-12T20:00:00,92.236,92.481,91.476,91.957,0
2015-10-13T20:00:00,91.973,92.175,91.592,91.997,0
2015-10-14T20:00:00,91.995,92.614,91.458,92.608,0
2015-10-15T20:00:00,92.615,92.671,92.034,92.485,0
2015-10-17T20:00:00,92.468,92.486,92.319,92.338,0
2015-10-18T20:00:00,92.341,92.583,91.638,91.759,0
2015-10-19T20:00:00,91.739,92.675,91.524,92.223,0
2015-10-20T20:00:00,92.229,92.523,91.213,91.238,0
2015-10-21T20:00:00,91.246,92.299,91.089,92.215,0
2015-10-22T20:00:00,92.223,92.584,91.634,92.19,0
2015-10-24T20:00:00,92.196,92.241,92.061,92.081,0
2015-10-25T20:00:00,92.089,92.2,91.723,91.924,0
2015-10-26T20:00:00,91.931,91.931,90.634,90.774,0
2015-10-27T20:00:00,90.771,92.049,90.57,91.588,0
2015-10-28T20:00:00,91.601,92.16,91.153,91.949,0
2015-10-29T20:00:00,91.952,92.469,91.392,92.315,0
2015-10-31T20:00:00,92.073,92.229,92.065,92.143,0
2015-11-01T19:00:00,92.151,92.273,91.907,92.23,0
2015-11-02T19:00:00,92.247,92.905,91.919,92.656,0
2015-11-03T19:00:00,92.664,92.963,92.134,92.351,0
2015-11-04T19:00:00,92.362,92.727,92.144,92.442,0
2015-11-05T19:00:00,92.441,92.758,92.152,92.565,0
2015-11-07T19:00:00,92.663,92.695,92.624,92.631,0
2015-11-08T19:00:00,92.646,93.237,92.598,92.725,0
2015-11-09T19:00:00,92.738,93.024,92.704,92.775,0
2015-11-10T19:00:00,92.771,92.966,92.518,92.584,0
2015-11-11T19:00:00,92.605,92.957,92.111,92.264,0
2015-11-12T19:00:00,92.274,92.388,91.887,92.011,0
2015-11-14T19:00:00,91.933,91.981,91.774,91.813,0
2015-11-15T19:00:00,91.841,92.508,91.834,92.436,0
2015-11-16T19:00:00,92.434,92.771,92.396,92.669,0
2015-11-17T19:00:00,92.666,92.937,92.344,92.852,0
2015-11-18T19:00:00,92.848,93.076,92.276,92.425,0
2015-11-19T19:00:00,92.429,92.544,91.957,91.962,0
2015-11-21T19:00:00,92.061,92.112,92.001,92.016,0
2015-11-22T19:00:00,92.015,92.323,91.65,91.99,0
2015-11-23T19:00:00,91.993,92.14,91.615,92.064,0
2015-11-24T19:00:00,92.069,92.344,91.864,92.233,0
2015-11-25T19:00:00,92.235,92.281,92.012,92.226,0
2015-11-26T19:00:00,92.203,92.266,91.718,91.787,0
2015-11-28T19:00:00,91.818,91.876,91.764,91.87,0
2015-11-29T19:00:00,91.868,92.612,91.671,92.284,0
2015-11-30T19:00:00,92.272,92.505,91.778,91.977,0
2015-12-01T19:00:00,91.97,92.684,91.902,92.297,0
2015-12-02T19:00:00,92.304,92.766,91.592,91.867,0
2015-12-03T19:00:00,91.875,92.378,91.516,92.112,0
2015-12-05T19:00:00,92.131,92.161,91.98,91.989,0
2015-12-06T19:00:00,91.992,92.059,91.106,91.251,0
2015-12-07T19:00:00,91.253,91.271,90.118,90.507,0
2015-12-08T19:00:00,90.498,90.587,89.082,89.674,0
2015-12-09T19:00:00,89.68,89.914,89.065,89.249,0
2015-12-10T19:00:00,89.243,89.5,87.717,87.861,0
2015-12-12T19:00:00,88.135,88.188,87.803,87.979,0
2015-12-13T19:00:00,87.971,88.529,87.446,88.209,0
2015-12-14T19:00:00,88.192,88.88,87.902,88.606,0
2015-12-15T19:00:00,88.612,88.792,87.955,88.777,0
2015-12-16T19:00:00,88.785,88.837,87.758,87.895,0
2015-12-17T19:00:00,87.915,88.503,86.679,86.899,0
2015-12-19T19:00:00,86.971,87.076,86.899,86.981,0
2015-12-20T19:00:00,86.954,87.259,86.354,86.867,0
2015-12-21T19:00:00,86.872,87.039,86.547,86.929,0
2015-12-22T19:00:00,86.929,87.408,86.666,87.288,0
2015-12-23T19:00:00,87.276,87.303,86.7,86.957,0
2015-12-24T19:00:00,86.942,87.076,86.868,86.942,0
2015-12-26T19:00:00,86.69,86.989,86.69,86.875,0
2015-12-27T19:00:00,86.877,87.064,86.486,86.593,0
2015-12-28T19:00:00,86.586,87.134,86.372,87.094,0
2015-12-29T19:00:00,87.093,87.141,86.547,86.814,0
2015-12-30T19:00:00,86.811,87.008,86.46,86.796,0
