strategy_id,family_id,asset,source_state_id,signal_timestamp,decision_timestamp,entry_timestamp,entry_price,direction,execution_object,exit_timestamp,exit_price,exit_reason,invalidation_reason,holding_hours,gross_bps,entry_cost_bps,exit_cost_bps,funding_bps,net_bps,gross_R,net_R,MAE,MFE,state_at_entry,state_at_exit,control_id,effective_episode_id
ALPHA1_S001,FAM_A,BTC,,2026-01-26T05:00:00+00:00,2026-01-26T06:00:00+00:00,2026-01-26T06:00:00+00:00,87773.0,LONG,perp,2026-01-26T06:00:00+00:00,87901.0,STATE_EXIT,,1,14.5831,2.5,2.5,0.0,9.5831,0.1458,0.0958,0.0,0.0015,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-01-26T11:00:00+00:00,2026-01-26T12:00:00+00:00,2026-01-26T12:00:00+00:00,87804.0,LONG,perp,2026-01-26T12:00:00+00:00,87768.0,STATE_EXIT,,1,-4.1,2.5,2.5,0.0,-9.1,-0.041,-0.091,-0.0004,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-01-26T16:00:00+00:00,2026-01-26T17:00:00+00:00,2026-01-26T17:00:00+00:00,87557.0,LONG,perp,2026-01-26T18:00:00+00:00,88365.0,STATE_EXIT,,2,92.2827,2.5,2.5,0.0,87.2827,0.9228,0.8728,0.0,0.0092,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-01-28T20:00:00+00:00,2026-01-28T21:00:00+00:00,2026-01-28T21:00:00+00:00,89081.0,LONG,perp,2026-01-28T21:00:00+00:00,89377.0,STATE_EXIT,,1,33.2282,2.5,2.5,0.0,28.2282,0.3323,0.2823,0.0,0.0033,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-01-29T11:00:00+00:00,2026-01-29T12:00:00+00:00,2026-01-29T12:00:00+00:00,87795.0,LONG,perp,2026-01-29T12:00:00+00:00,88095.0,STATE_EXIT,,1,34.1705,2.5,2.5,0.0,29.1705,0.3417,0.2917,0.0,0.0034,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-01-30T05:00:00+00:00,2026-01-30T06:00:00+00:00,2026-01-30T06:00:00+00:00,82850.0,LONG,perp,2026-01-30T07:00:00+00:00,82776.0,STATE_EXIT,,2,-8.9318,2.5,2.5,0.0,-13.9318,-0.0893,-0.1393,-0.0036,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-01-30T08:00:00+00:00,2026-01-30T09:00:00+00:00,2026-01-30T09:00:00+00:00,82621.0,LONG,perp,2026-01-30T11:00:00+00:00,83119.0,STATE_EXIT,,3,60.2752,2.5,2.5,0.0,55.2752,0.6028,0.5528,-0.0037,0.006,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-01-31T06:00:00+00:00,2026-01-31T07:00:00+00:00,2026-01-31T07:00:00+00:00,83736.0,LONG,perp,2026-01-31T07:00:00+00:00,83518.0,STATE_EXIT,,1,-26.0342,2.5,2.5,0.0,-31.0342,-0.2603,-0.3103,-0.0026,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-01-31T16:00:00+00:00,2026-01-31T17:00:00+00:00,2026-01-31T17:00:00+00:00,80311.0,LONG,perp,2026-01-31T17:00:00+00:00,78866.0,STATE_EXIT,,1,-179.9255,2.5,2.5,0.0,-184.9255,-1.7993,-1.8493,-0.018,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-01T14:00:00+00:00,2026-02-01T15:00:00+00:00,2026-02-01T15:00:00+00:00,78166.0,LONG,perp,2026-02-01T16:00:00+00:00,77461.0,STATE_EXIT,,2,-90.1927,2.5,2.5,0.0449,-95.1478,-0.9019,-0.9515,-0.009,0.0,,,ALPHA1_C006,
