strategy_id,raw_trade_count,effective_event_count,trades_per_month,win_rate,gross_EV,net_EV,gross_PF,net_PF,payoff_ratio,mean_R,median_R,p5_R,worst_R,max_drawdown_R,max_losing_streak,MAE,MFE,median_hold_hours,mean_hold_hours,total_transaction_cost_bps,cost_share_of_gross_edge,funding_contribution_bps,funding_share_of_net_edge,month_concentration,state_concentration,asset_concentration
ALPHA1_S001,848,169,181.71,0.4599,-0.9438,-5.955,0.9656,0.8016,1.1339,-0.0596,-0.043,-1.3255,-5.3625,65.7572,11,-0.0034,0.003,1,1.88,4240.0,0.0,-9.5104,0.0019,0.2594,0.0,0.5083
ALPHA1_S002,212,87,46.76,0.5189,14.4671,1.9125,1.2044,1.025,1.1168,0.0191,0.0496,-3.4518,-7.5225,30.0436,7,-0.0116,0.0115,10,11.54,2650.0,0.864,-11.571,-0.0285,0.2736,0.0,0.5094
ALPHA1_S003,174,96,40.15,0.5345,5.2211,0.1985,1.2228,1.0077,1.065,0.002,0.057,-1.328,-2.9319,6.3499,5,-0.0027,0.0032,1,1.48,870.0,0.9577,-3.9305,-0.1138,0.3793,0.0,0.5172
ALPHA1_S004,345,140,77.82,0.4696,0.3508,-4.6768,1.0108,0.8666,1.1418,-0.0468,-0.0232,-1.6707,-5.3625,24.6486,9,-0.0044,0.0039,2,2.39,1725.0,14.2536,-9.5092,0.0059,0.2928,0.0,0.5362
ALPHA1_S005,45,30,17.53,0.4,-6.7066,-11.796,0.852,0.7563,1.278,-0.118,-0.1162,-1.4448,-3.9406,7.531,6,-0.007,0.0048,3,4.78,225.0,0.0,-4.0229,0.0076,0.3778,0.0,0.5778
ALPHA1_S006,30,25,8.41,0.4333,-16.9789,-22.0287,0.6615,0.5838,0.8651,-0.2203,-0.0635,-1.764,-2.5104,7.7132,4,-0.0064,0.0055,4,4.1,150.0,0.0,-1.4925,0.0023,0.3667,0.0,0.5333
ALPHA1_S007,205,62,46.24,0.5024,3.1611,-1.8664,1.0851,0.9528,1.0746,-0.0187,0.0014,-2.1836,-5.3625,17.74,10,-0.0051,0.005,1,2.32,1025.0,1.5817,-5.6384,0.0147,0.4537,0.0,0.5854
ALPHA1_S008,76,22,17.95,0.3816,-9.0912,-21.6262,0.815,0.6181,1.3208,-0.2163,-0.2308,-2.2586,-5.4375,17.4092,6,-0.007,0.0059,2,2.62,950.0,0.0,-2.6671,0.0016,0.4868,0.0,0.5
ALPHA1_S009,234,132,50.5,0.4701,-9.1051,-14.1254,0.7823,0.6819,0.8819,-0.1413,-0.0336,-2.4954,-9.4894,36.5166,7,-0.0059,0.0042,1,2.98,1170.0,0.0,-4.7674,0.0014,0.2564,0.0,1.0
ALPHA1_S010,259,137,55.9,0.4054,-0.662,-13.1721,0.9826,0.7063,1.4411,-0.1317,-0.1297,-2.1879,-5.7115,36.3037,9,-0.0048,0.0046,1,2.42,3237.5,0.0,-2.6136,0.0008,0.2587,0.0,1.0
ALPHA1_S011,79,70,18.52,0.4684,4.682,-0.3195,1.2177,0.9867,1.3823,-0.0032,-0.034,-0.9297,-2.2688,6.3197,5,-0.0023,0.0027,1,1.27,395.0,1.0679,-0.1213,0.0048,0.2911,0.0,0.557
ALPHA1_S012,78,67,18.28,0.4103,5.6553,-6.8554,1.1715,0.828,1.6841,-0.0686,-0.109,-1.7004,-6.3877,13.2525,6,-0.0044,0.004,1,2.0,975.0,2.2103,-0.8371,0.0016,0.2949,0.0,0.5641
ALPHA1_S013,431,123,91.7,0.4432,3.8923,-1.088,1.1325,0.9661,1.423,-0.0109,-0.0884,-1.1517,-4.4345,15.4444,6,-0.004,0.0045,3,3.75,2155.0,1.2846,8.4691,-0.0181,0.2599,0.0,1.0
