strategy_id,base_net_EV,base_net_PF,stress_net_EV,stress_net_PF,pf_decay_pct,cost_fragile
ALPHA1_S001,-5.955,0.8016,-10.955,0.6662,16.89,NO
ALPHA1_S002,1.9125,1.025,-10.5875,0.8722,14.91,NO
ALPHA1_S003,0.1985,1.0077,-4.8015,0.829,17.73,NO
ALPHA1_S004,-4.6768,0.8666,-9.6768,0.744,14.15,NO
ALPHA1_S005,-11.796,0.7563,-16.796,0.674,10.88,NO
ALPHA1_S006,-22.0287,0.5838,-27.0287,0.5162,11.58,NO
ALPHA1_S007,-1.8664,0.9528,-6.8664,0.837,12.15,NO
ALPHA1_S008,-21.6262,0.6181,-34.1262,0.4725,23.56,NO
ALPHA1_S009,-14.1254,0.6819,-19.1254,0.5942,12.86,NO
ALPHA1_S010,-13.1721,0.7063,-25.6721,0.5149,27.1,NO
ALPHA1_S011,-0.3195,0.9867,-5.3195,0.8017,18.75,NO
ALPHA1_S012,-6.8554,0.828,-19.3554,0.5951,28.13,NO
ALPHA1_S013,-1.088,0.9661,-6.088,0.826,14.5,NO
