strategy_id,control_id,strategy_net_EV,control_net_EV,strategy_net_PF,control_net_PF,bootstrap_observed_diff,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_p_value
ALPHA1_S001,ALPHA1_C006,-5.955,-13.1349,0.8016,0.763,0.071797,-0.073909,0.217402,0.1652
ALPHA1_S004,ALPHA1_C002,-4.6768,-12.8813,0.8666,0.8021,0.082048,-0.075738,0.243527,0.1512
ALPHA1_S007,ALPHA1_C003,-1.8664,-21.6888,0.9528,0.7527,0.198224,-0.116799,0.513386,0.1067
ALPHA1_S009,ALPHA1_C004,-14.1254,-33.8231,0.6819,0.7678,0.196981,-0.406301,0.769319,0.2557
ALPHA1_S011,ALPHA1_C005,-0.3195,8.4556,0.9867,1.2176,-0.087747,-0.305126,0.133057,0.7846
