month,trades,gross_bps,net_bps,win_rate,funding_bps,pct_of_total_R,strategy_id
2026-01,23,-1028.24,-1143.24,0.3913,0.0,0.2264,ALPHA1_S001
2026-02,189,-1210.3407,-2157.1702,0.4762,-1.8295,0.4272,ALPHA1_S001
2026-03,218,-510.8894,-1603.9413,0.4174,-3.0519,0.3176,ALPHA1_S001
2026-04,220,1688.2278,584.5116,0.5,-3.7159,-0.1157,ALPHA1_S001
2026-05,123,227.7679,-387.8103,0.4309,-0.5785,0.0768,ALPHA1_S001
2026-06,75,33.1167,-342.2179,0.4933,-0.3346,0.0678,ALPHA1_S001
2026-01,6,-192.3247,-267.2436,0.6667,0.0812,-0.6591,ALPHA1_S002
2026-02,58,-289.14,-1016.019,0.431,-1.8788,-2.5059,ALPHA1_S002
2026-03,50,1453.5251,825.094,0.56,-3.431,2.035,ALPHA1_S002
2026-04,52,1542.2443,886.8249,0.5769,-5.4191,2.1873,ALPHA1_S002
2026-05,21,-96.9605,-360.179,0.381,-0.7186,-0.8884,ALPHA1_S002
2026-06,25,649.6729,336.9687,0.6,-0.2047,0.8311,ALPHA1_S002
2026-01,2,64.8008,54.8008,1.0,0.0,1.5868,ALPHA1_S003
2026-02,41,321.3674,115.0629,0.5122,-1.3047,3.3318,ALPHA1_S003
2026-03,39,308.1003,112.5322,0.5385,-0.568,3.2585,ALPHA1_S003
2026-04,66,278.0037,-53.7985,0.5303,-1.8019,-1.5578,ALPHA1_S003
2026-05,17,92.1111,6.8551,0.5294,-0.2559,0.1985,ALPHA1_S003
2026-06,9,-155.9173,-200.9173,0.5556,0.0,-5.8178,ALPHA1_S003
2026-01,7,-183.1339,-218.1339,0.5714,0.0,0.1352,ALPHA1_S004
2026-02,82,111.7994,-300.4357,0.5122,-2.235,0.1862,ALPHA1_S004
2026-03,92,369.223,-93.4599,0.5,-2.6828,0.0579,ALPHA1_S004
2026-04,101,219.9623,-289.126,0.4455,-4.0884,0.1792,ALPHA1_S004
2026-05,37,-242.1113,-427.4588,0.3784,-0.3476,0.2649,ALPHA1_S004
2026-06,26,-154.7176,-284.873,0.4231,-0.1554,0.1766,ALPHA1_S004
2026-01,2,187.1431,177.1431,1.0,0.0,-0.3337,ALPHA1_S005
2026-02,14,-151.4794,-223.4134,0.4286,-1.934,0.4209,ALPHA1_S005
2026-03,10,-206.3194,-256.9247,0.2,-0.6053,0.484,ALPHA1_S005
2026-04,17,-166.9353,-253.4189,0.4118,-1.4836,0.4774,ALPHA1_S005
2026-05,2,35.7954,25.7954,0.5,0.0,-0.0486,ALPHA1_S005
2026-01,1,167.3324,162.3324,1.0,0.0,-0.2456,ALPHA1_S006
2026-02,6,-31.4739,-61.8673,0.5,-0.3933,0.0936,ALPHA1_S006
2026-03,11,-286.602,-342.7012,0.4545,-1.0992,0.5186,ALPHA1_S006
2026-04,9,-389.0142,-434.0142,0.2222,0.0,0.6567,ALPHA1_S006
2026-05,3,30.3904,15.3904,0.6667,0.0,-0.0233,ALPHA1_S006
2026-01,4,-385.76,-405.76,0.25,0.0,1.0605,ALPHA1_S007
2026-02,93,1036.1396,567.6106,0.5376,-3.5291,-1.4835,ALPHA1_S007
2026-03,61,796.197,489.8668,0.4754,-1.3304,-1.2803,ALPHA1_S007
2026-04,19,-627.255,-723.0339,0.4211,-0.7789,1.8897,ALPHA1_S007
2026-05,3,50.2785,35.2785,0.6667,0.0,-0.0922,ALPHA1_S007
2026-06,25,-221.5712,-346.5712,0.52,0.0,0.9058,ALPHA1_S007
2026-01,3,118.7844,81.2844,0.6667,0.0,-0.0495,ALPHA1_S008
2026-02,37,-52.1896,-516.9728,0.4324,-2.2833,0.3145,ALPHA1_S008
2026-03,20,-339.5522,-589.936,0.25,-0.3838,0.3589,ALPHA1_S008
2026-04,2,9.0229,-15.9771,0.5,0.0,0.0097,ALPHA1_S008
2026-06,14,-426.9934,-601.9934,0.3571,0.0,0.3663,ALPHA1_S008
2026-01,14,-1300.7885,-1371.3382,0.5,-0.5497,0.4149,ALPHA1_S009
2026-02,60,-921.9843,-1223.3779,0.4,-1.3932,0.3701,ALPHA1_S009
2026-03,42,176.5789,-34.7045,0.4524,-1.2833,0.0105,ALPHA1_S009
2026-04,50,-349.9048,-601.4193,0.42,-1.5145,0.182,ALPHA1_S009
2026-05,34,351.5099,181.5099,0.5588,0.0,-0.0549,ALPHA1_S009
2026-06,34,-85.998,-256.0247,0.5882,-0.0267,0.0775,ALPHA1_S009
2026-01,15,-1286.9668,-1475.2653,0.4667,-0.7985,0.4324,ALPHA1_S010
2026-02,67,259.859,-577.832,0.4328,-0.1905,0.1694,ALPHA1_S010
2026-03,50,275.8959,-349.9732,0.36,-0.8691,0.1026,ALPHA1_S010
2026-04,58,245.5244,-480.2044,0.3103,-0.7288,0.1408,ALPHA1_S010
2026-05,35,342.3996,-95.1004,0.4,0.0,0.0279,ALPHA1_S010
2026-06,34,-8.1608,-433.1875,0.5588,-0.0267,0.127,ALPHA1_S010
2026-01,2,-143.1436,-153.1289,0.5,0.0147,6.066,ALPHA1_S011
2026-02,15,152.542,77.542,0.4667,0.0,-3.0717,ALPHA1_S011
2026-03,19,-139.9008,-234.9008,0.3158,0.0,9.3052,ALPHA1_S011
2026-04,23,416.2672,301.2672,0.6087,0.0,-11.9342,ALPHA1_S011
2026-05,14,-46.3665,-116.5025,0.4286,-0.136,4.6151,ALPHA1_S011
2026-06,6,130.479,100.479,0.5,0.0,-3.9803,ALPHA1_S011
2026-01,2,-547.5263,-572.5116,0.5,0.0147,1.0707,ALPHA1_S012
2026-02,15,740.3991,552.6045,0.6,-0.2946,-1.0334,ALPHA1_S012
2026-03,19,-282.3009,-520.2104,0.2632,-0.4093,0.9729,ALPHA1_S012
2026-04,23,231.1484,-56.2704,0.3913,0.0813,0.1052,ALPHA1_S012
2026-05,14,38.2817,-136.9476,0.4286,-0.2292,0.2561,ALPHA1_S012
2026-06,5,261.1122,198.6122,0.4,0.0,-0.3714,ALPHA1_S012
2026-01,10,-779.2363,-828.4794,0.2,0.7568,1.7667,ALPHA1_S013
2026-02,91,80.1616,-372.2962,0.4286,2.5422,0.7939,ALPHA1_S013
2026-03,112,832.0979,273.4829,0.4643,1.3851,-0.5832,ALPHA1_S013
2026-04,112,1128.7893,569.9963,0.4554,1.2068,-1.2155,ALPHA1_S013
2026-05,77,-137.5062,-520.8166,0.4156,1.6896,1.1106,ALPHA1_S013
2026-06,29,553.2947,409.1833,0.5172,0.8886,-0.8726,ALPHA1_S013
