path,n_attained,base_rate,lift_unconditional,mean_lift_within_archetype,archetype_lifts,verdict,collapse_uncond_minus_cond
PATH_A,328,0.46948998178506374,1.4026637647559794,1.4520051010399087,BREADTH_LED:1.37;MACRO_ANCHORED:1.56;MIXED:1.43,DISTINCT_LOCAL_PATHS,-0.04934133628392923
PATH_D,1192,0.46948998178506374,1.2722644985320828,1.7691412822219592,BREADTH_LED:1.82;MACRO_ANCHORED:1.65;MIXED:1.84,DISTINCT_LOCAL_PATHS,-0.4968767836898764
