cell,n_strata,mean_dp
HIGH_BREADTH_HIGH_DISP,3,0.024813714393510638
HIGH_BREADTH_LOW_DISP,3,0.11542901542901542
LOW_BREADTH_HIGH_DISP,2,0.00932539682539682
LOW_BREADTH_LOW_DISP,1,0.028222730739893204
