family,cell,age_band,entropy_tercile,n,med_fbe,p_up_next,p_down_next,dir_entropy,verdict,n_biased_strata,n_low_entropy_strata
BROAD_UP,HIGH_BREADTH_HIGH_DISP,AGE_1,ENT_LOW,16,0.0,0.8125,0.1875,0.6962122601251458,DIRECTION_DECOMPOSED,43,14
BROAD_UP,HIGH_BREADTH_HIGH_DISP,AGE_1,ENT_MID,26,0.29583638929116374,0.7307692307692307,0.23076923076923078,0.9996551889197437,DIRECTION_DECOMPOSED,43,14
BROAD_UP,HIGH_BREADTH_HIGH_DISP,AGE_1,ENT_HIGH,35,1.0973304495208023,0.6285714285714286,0.37142857142857144,0.9517626756348311,DIRECTION_DECOMPOSED,43,14
BROAD_UP,HIGH_BREADTH_HIGH_DISP,AGE_15_PLUS,ENT_LOW,194,0.0,0.8969072164948454,0.10309278350515463,0.4787235113859628,DIRECTION_DECOMPOSED,43,14
BROAD_UP,HIGH_BREADTH_HIGH_DISP,AGE_15_PLUS,ENT_MID,97,0.2012907391053279,0.7938144329896907,0.20618556701030927,0.7341280428958425,DIRECTION_DECOMPOSED,43,14
BROAD_UP,HIGH_BREADTH_HIGH_DISP,AGE_15_PLUS,ENT_HIGH,47,0.9932532972745031,0.6808510638297872,0.2978723404255319,1.016227811064734,DIRECTION_DECOMPOSED,43,14
BROAD_UP,HIGH_BREADTH_LOW_DISP,AGE_1,ENT_MID,28,0.2747052186275092,0.75,0.25,0.8112781244591328,DIRECTION_DECOMPOSED,43,14
BROAD_UP,HIGH_BREADTH_LOW_DISP,AGE_1,ENT_HIGH,49,1.0520111430965866,0.7142857142857143,0.2653061224489796,0.9691869476068813,DIRECTION_DECOMPOSED,43,14
BROAD_UP,LOW_BREADTH_HIGH_DISP,AGE_1,ENT_MID,21,0.3662736248366789,0.7142857142857143,0.2857142857142857,0.863120568566631,DIRECTION_DECOMPOSED,43,14
BROAD_UP,LOW_BREADTH_HIGH_DISP,AGE_1,ENT_HIGH,27,1.0314319279863273,0.6666666666666666,0.25925925925925924,1.173030669557363,DIRECTION_DECOMPOSED,43,14
