cell,survive_to_d,n_events,p_prop7_after_survival,dominant_post_survival,verdict
HIGH_BREADTH_HIGH_DISP,3,590,0.7949152542372881,LOW_BREADTH_HIGH_DISP,SURVIVAL_CONDITIONED_BRANCHES_MAPPED
HIGH_BREADTH_HIGH_DISP,5,520,0.8269230769230769,LOW_BREADTH_HIGH_DISP,SURVIVAL_CONDITIONED_BRANCHES_MAPPED
HIGH_BREADTH_HIGH_DISP,7,465,0.853763440860215,LOW_BREADTH_HIGH_DISP,SURVIVAL_CONDITIONED_BRANCHES_MAPPED
HIGH_BREADTH_HIGH_DISP,10,401,0.8902743142144638,LOW_BREADTH_HIGH_DISP,SURVIVAL_CONDITIONED_BRANCHES_MAPPED
HIGH_BREADTH_HIGH_DISP,14,341,0.9237536656891495,LOW_BREADTH_HIGH_DISP,SURVIVAL_CONDITIONED_BRANCHES_MAPPED
HIGH_BREADTH_HIGH_DISP,21,257,0.914396887159533,LOW_BREADTH_HIGH_DISP,SURVIVAL_CONDITIONED_BRANCHES_MAPPED
HIGH_BREADTH_LOW_DISP,3,149,0.38926174496644295,LOW_BREADTH_LOW_DISP,SURVIVAL_CONDITIONED_BRANCHES_MAPPED
HIGH_BREADTH_LOW_DISP,5,88,0.3409090909090909,LOW_BREADTH_LOW_DISP,SURVIVAL_CONDITIONED_BRANCHES_MAPPED
HIGH_BREADTH_LOW_DISP,7,50,0.32,LOW_BREADTH_LOW_DISP,SURVIVAL_CONDITIONED_BRANCHES_MAPPED
LOW_BREADTH_HIGH_DISP,3,152,0.19736842105263158,LOW_BREADTH_LOW_DISP,SURVIVAL_CONDITIONED_BRANCHES_MAPPED
LOW_BREADTH_HIGH_DISP,5,121,0.19008264462809918,LOW_BREADTH_LOW_DISP,SURVIVAL_CONDITIONED_BRANCHES_MAPPED
LOW_BREADTH_HIGH_DISP,7,94,0.19148936170212766,LOW_BREADTH_LOW_DISP,SURVIVAL_CONDITIONED_BRANCHES_MAPPED
LOW_BREADTH_HIGH_DISP,10,61,0.18032786885245902,LOW_BREADTH_LOW_DISP,SURVIVAL_CONDITIONED_BRANCHES_MAPPED
LOW_BREADTH_LOW_DISP,3,612,0.1437908496732026,HIGH_BREADTH_LOW_DISP,SURVIVAL_CONDITIONED_BRANCHES_MAPPED
LOW_BREADTH_LOW_DISP,5,535,0.14953271028037382,HIGH_BREADTH_LOW_DISP,SURVIVAL_CONDITIONED_BRANCHES_MAPPED
LOW_BREADTH_LOW_DISP,7,469,0.14925373134328357,HIGH_BREADTH_LOW_DISP,SURVIVAL_CONDITIONED_BRANCHES_MAPPED
LOW_BREADTH_LOW_DISP,10,389,0.15167095115681234,HIGH_BREADTH_LOW_DISP,SURVIVAL_CONDITIONED_BRANCHES_MAPPED
LOW_BREADTH_LOW_DISP,14,298,0.15100671140939598,HIGH_BREADTH_LOW_DISP,SURVIVAL_CONDITIONED_BRANCHES_MAPPED
LOW_BREADTH_LOW_DISP,21,180,0.14444444444444443,HIGH_BREADTH_LOW_DISP,SURVIVAL_CONDITIONED_BRANCHES_MAPPED
