patch,intensity,response_floor,response_ceiling,decile_to_50pct_ceiling,decile_to_75pct_ceiling,decile_to_90pct_ceiling,saturation_onset_decile,verdict
LOWER_MID,top500_breadth_30d,0.3569482288828338,0.5357142857142857,5,6,6,2,SATURATION_GEOMETRY_MAPPED
LOWER_MID,btc_return_7d,0.27932960893854747,0.6145251396648045,5,5,6,3,SATURATION_GEOMETRY_MAPPED
MID,top500_breadth_30d,0.3978201634877384,0.5631868131868132,5,6,6,2,SATURATION_GEOMETRY_MAPPED
MID,btc_return_7d,0.3016759776536313,0.6145251396648045,4,5,6,3,SATURATION_GEOMETRY_MAPPED
TRANSITION,top500_breadth_30d,0.3242506811989101,0.5247252747252747,5,6,6,2,SATURATION_GEOMETRY_MAPPED
TRANSITION,btc_return_7d,0.2541899441340782,0.5977653631284916,5,5,6,3,SATURATION_GEOMETRY_MAPPED
UPPER_CORE,top500_breadth_30d,0.4305177111716621,0.5851648351648352,6,6,6,2,SATURATION_GEOMETRY_MAPPED
UPPER_CORE,btc_return_7d,0.3407821229050279,0.6229050279329609,5,5,5,3,SATURATION_GEOMETRY_MAPPED
UPPER_MID,top500_breadth_30d,0.4332425068119891,0.5714285714285714,5,6,6,2,SATURATION_GEOMETRY_MAPPED
UPPER_MID,btc_return_7d,0.3407821229050279,0.6396648044692738,4,5,6,3,SATURATION_GEOMETRY_MAPPED
