framing,heldout_auc_durable_importance,n_train,n_test,n_important_test,verdict
DISTURBANCE_ONLY,0.7455895879492814,142273,34677,9346.0,
DISTURBANCE_ABSORPTION_RESIDUAL,0.7542336634193392,142273,34677,9346.0,
DELTA,0.008644075470057744,142273,34677,,DAR_FRAMING_COMPARABLE_TO_SHOCK_ALONE
