constraint_cell,n_days,p_prop7,p_ren7,med_age,p_HH,n_subperiods,axis_spearman,axis_p,n_complete_pairs,verdict
HIGH_ACT_HIGH_ENT,377,0.1724137931034483,0.3448275862068966,5.0,0.3395225464190981,5,-0.0060497766818894926,0.777062661276675,2193,INDEPENDENT_CONSTRAINT_DIMENSIONS
HIGH_ACT_LOW_ENT,519,0.3217726396917148,0.22928709055876687,10.0,0.4277456647398844,5,-0.0060497766818894926,0.777062661276675,2193,INDEPENDENT_CONSTRAINT_DIMENSIONS
LOW_ACT_HIGH_ENT,544,0.15441176470588236,0.3235294117647059,5.0,0.29411764705882354,6,-0.0060497766818894926,0.777062661276675,2193,INDEPENDENT_CONSTRAINT_DIMENSIONS
LOW_ACT_LOW_ENT,756,0.26322751322751325,0.19444444444444445,9.0,0.3439153439153439,6,-0.0060497766818894926,0.777062661276675,2193,INDEPENDENT_CONSTRAINT_DIMENSIONS
