model,heldout_auc,k_coords,verdict,best_model,best_auc
single:top500_breadth_30d,0.5742838033017118,1,COMPACT_FORCING_COORDINATE,multi-all,0.628568046696269
single:top500_dispersion_30d,0.5522252375836387,1,COMPACT_FORCING_COORDINATE,multi-all,0.628568046696269
single:vol_med,0.4854273652149164,1,COMPACT_FORCING_COORDINATE,multi-all,0.628568046696269
single:btc_return_7d,0.6208896355958701,1,COMPACT_FORCING_COORDINATE,multi-all,0.628568046696269
single:stablecoin_change_7d,0.5226894460657755,1,COMPACT_FORCING_COORDINATE,multi-all,0.628568046696269
single:top3_share,0.5176191895956248,1,COMPACT_FORCING_COORDINATE,multi-all,0.628568046696269
pc1,0.5927955108595327,pc1,COMPACT_FORCING_COORDINATE,multi-all,0.628568046696269
multi-all,0.628568046696269,6,COMPACT_FORCING_COORDINATE,multi-all,0.628568046696269
