cell,n_events,auc_pc1,n_resid_coords_auc_ge_058,top_resid,data_limited,verdict
HIGH_BREADTH_HIGH_DISP,633,0.6306349772398314,6.0,top500_breadth_30d,,MULTIPLE_LOCAL_COORDINATES
HIGH_BREADTH_LOW_DISP,204,0.6173875149798453,4.0,vol_med,,MULTIPLE_LOCAL_COORDINATES
LOW_BREADTH_HIGH_DISP,62,,,,1.0,DATA_LIMITED
LOW_BREADTH_LOW_DISP,152,0.5594601476954418,3.0,top500_dispersion_30d,,MULTIPLE_LOCAL_COORDINATES
