feature,mean_abs_shap,rank
dist_to_132_pips,0.14859290504855635,1
dist_to_mlr_low_pips,0.0711778661240786,2
fib_sequence_state,0.05916039705752632,3
dist_to_50_pips,0.028497958897642898,4
dist_to_25_pips,0.028475083065103112,5
dist_to_168_pips,0.02718801670914381,6
dist_to_100_pips,0.015309828107847388,7
hour_est,0.013124884812166794,8
hours_since_mlr,0.01186322021015359,9
day_of_week,0.011231597045468304,10
dist_to_mlr_mid_pips,0.006490076811442613,11
dist_to_mlr_high_pips,0.0051254911498819855,12
spread_at_entry,0.00468027281063234,13
minutes_to_12pm_est,0.0038925144976776445,14
regime_ratio,0.003555901622657573,15
expected_range,0.0018520768179106418,16
asian_range_pips,0.0016428050758355464,17
impulse_size_pips,0.0006646931607929929,18
dist_to_weekly_target_pips,0.00034917199503086826,19
pullback_pct,0.00020158499565007027,20
ilm_state,0.0001527025091384658,21
is_monday,0.00012791706451927248,22
time_since_impulse_min,0.00010581620669828273,23
price_range_from_open,3.328244376688648e-05,24
weekly_range,1.4267180969933697e-05,25
impulse_to_ar_ratio,8.447502459897083e-06,26
in_density_zone,3.4095474797413576e-06,27
is_friday,3.382019213314184e-06,28
spread_vs_20d_avg,1.1987958137811099e-06,29
daily_range,1.0695532602975626e-06,30
volume_spike_ratio,0.0,31
prior_session_wr,0.0,32
consecutive_losses,0.0,33
occ_body_to_au_ratio,0.0,34
occ_body_pips,0.0,35
distance_to_dz_center,0.0,36
weekly_kill_switch_132,0.0,37
kill_switch_132,0.0,38
bias_encoded,0.0,39
mlr_range_pips,0.0,40
is_wednesday_pm,0.0,41
is_wednesday,0.0,42
au_deficit_pips,0.0,43
constraint_deficit_pips,0.0,44
