feature,mean_abs_shap,rank
hour_est,"[3.6373648643493652, 3.543356418609619, 3.3157927989959717, 3.8115365505218506]",1
day_of_week,"[0.011829504743218422, 0.01382783055305481, 0.011084578931331635, 0.01183982752263546]",2
asian_range_pips,"[0.0, 0.0, 0.0, 0.0]",3
vol_ratio_3am_9am,"[0.0, 0.0, 0.0, 0.0]",4
spread_vs_20d_avg,"[0.0, 0.0, 0.0, 0.0]",5
impulse_to_ar_ratio,"[0.0, 0.0, 0.0, 0.0]",6
consecutive_losses,"[0.0, 0.0, 0.0, 0.0]",7
prior_session_wr,"[0.0, 0.0, 0.0, 0.0]",8
