feature,mean_abs_shap,rank
hour_est,"[1.969424843788147, 1.5744280815124512, 0.9074199795722961, 2.485785722732544]",1
day_of_week,"[0.01954369992017746, 0.0036582534667104483, 0.01372653990983963, 0.020724035799503326]",2
asian_range_pips,"[0.0, 0.0, 0.0, 0.0]",3
vol_ratio_3am_9am,"[0.0, 0.0, 0.0, 0.0]",4
spread_vs_20d_avg,"[0.0, 0.0, 0.0, 0.0]",5
impulse_to_ar_ratio,"[0.0, 0.0, 0.0, 0.0]",6
consecutive_losses,"[0.0, 0.0, 0.0, 0.0]",7
prior_session_wr,"[0.0, 0.0, 0.0, 0.0]",8
