feature,mean_abs_shap,rank
hour_est,"[2.8853564262390137, 2.617278814315796, 2.206530809402466, 2.8349828720092773]",1
day_of_week,"[0.010716323740780354, 0.022557498887181282, 0.014270948246121407, 0.07485388964414597]",2
asian_range_pips,"[0.0, 0.0, 0.0, 0.0]",3
vol_ratio_3am_9am,"[0.0, 0.0, 0.0, 0.0]",4
spread_vs_20d_avg,"[0.0, 0.0, 0.0, 0.0]",5
impulse_to_ar_ratio,"[0.0, 0.0, 0.0, 0.0]",6
consecutive_losses,"[0.0, 0.0, 0.0, 0.0]",7
prior_session_wr,"[0.0, 0.0, 0.0, 0.0]",8
