feature,mean_abs_shap,rank
asian_range_pips,0.0,1
hour_est,0.0,2
spread_vs_20d_avg,0.0,3
impulse_to_ar_ratio,0.0,4
day_of_week,0.0,5
consecutive_losses,0.0,6
prior_session_wr,0.0,7
pullback_pct,0.0,8
occ_body_pips,0.0,9
occ_body_to_au_ratio,0.0,10
volume_spike_ratio,0.0,11
spread_at_entry,0.0,12
distance_to_dz_center,0.0,13
in_density_zone,0.0,14
time_since_impulse_min,0.0,15
price_range_from_open,0.0,16
expected_range,0.0,17
fib_sequence_state,0.0,18
dist_to_25_pips,0.0,19
dist_to_50_pips,0.0,20
dist_to_100_pips,0.0,21
dist_to_132_pips,0.0,22
dist_to_168_pips,0.0,23
dist_to_mlr_high_pips,0.0,24
dist_to_mlr_low_pips,0.0,25
dist_to_mlr_mid_pips,0.0,26
dist_to_weekly_target_pips,0.0,27
regime_ratio,0.0,28
ilm_state,0.0,29
is_wednesday_pm,0.0,30
hours_since_mlr,0.0,31
minutes_to_12pm_est,0.0,32
mlr_range_pips,0.0,33
bias_encoded,0.0,34
kill_switch_132,0.0,35
weekly_kill_switch_132,0.0,36
is_monday,0.0,37
is_wednesday,0.0,38
is_friday,0.0,39
au_deficit_pips,0.0,40
constraint_deficit_pips,0.0,41
impulse_size_pips,0.0,42
daily_range,0.0,43
weekly_range,0.0,44
