SI_q,REC_q,n,p_absorbed,p_reorg,p_prop,p_persist,dominant_region,subperiod_std_absorbed,note
SI1,R1,41.0,0.0,0.4634,0.3171,0.1707,p_reorg,,
SI1,R2,164.0,0.0,0.4817,0.2927,0.1585,p_reorg,,
SI1,R3,316.0,0.0,0.4019,0.3038,0.2753,p_reorg,,
SI1,R4,391.0,0.0,0.4373,0.289,0.2148,p_reorg,,
SI2,R1,182.0,0.1044,0.3132,0.3242,0.2363,p_prop,,
SI2,R2,220.0,0.0545,0.3136,0.3182,0.3136,p_prop,,
SI2,R3,251.0,0.0359,0.3825,0.259,0.2789,p_reorg,,
SI2,R4,259.0,0.0077,0.4131,0.251,0.2819,p_reorg,,
SI3,R1,291.0,0.2302,0.1649,0.2646,0.3127,p_persist,,
SI3,R2,256.0,0.1016,0.293,0.2344,0.3125,p_persist,,
SI3,R3,215.0,0.0465,0.2698,0.2744,0.3767,p_persist,,
SI3,R4,149.0,0.0201,0.4027,0.2819,0.2282,p_reorg,,
SI4,R1,398.0,0.206,0.1784,0.3166,0.2789,p_prop,,
SI4,R2,272.0,0.136,0.2574,0.2684,0.2941,p_persist,,
SI4,R3,129.0,0.1163,0.2636,0.2326,0.3411,p_persist,,
SI4,R4,113.0,0.0619,0.3363,0.2212,0.3274,p_reorg,,
SI1,R1,41.0,0.0,,,,ABSORPTION_DOMINANT,0.0,uncertainty band row
SI1,R2,164.0,0.0,,,,ABSORPTION_DOMINANT,0.0,uncertainty band row
SI1,R3,316.0,0.0,,,,ABSORPTION_DOMINANT,0.0,uncertainty band row
SI1,R4,391.0,0.0,,,,ABSORPTION_DOMINANT,0.0,uncertainty band row
SI2,R1,182.0,0.1044,,,,ABSORPTION_DOMINANT,0.0805,uncertainty band row
SI2,R2,220.0,0.0545,,,,ABSORPTION_DOMINANT,0.0338,uncertainty band row
SI2,R3,251.0,0.0359,,,,ABSORPTION_DOMINANT,0.0642,uncertainty band row
SI2,R4,259.0,0.0077,,,,ABSORPTION_DOMINANT,0.014,uncertainty band row
SI3,R1,291.0,0.2302,,,,ABSORPTION_DOMINANT,0.1179,uncertainty band row
SI3,R2,256.0,0.1016,,,,ABSORPTION_DOMINANT,0.0323,uncertainty band row
SI3,R3,215.0,0.0465,,,,ABSORPTION_DOMINANT,0.0644,uncertainty band row
SI3,R4,149.0,0.0201,,,,ABSORPTION_DOMINANT,0.0255,uncertainty band row
SI4,R1,398.0,0.206,,,,ABSORPTION_DOMINANT,0.0454,uncertainty band row
SI4,R2,272.0,0.136,,,,ABSORPTION_DOMINANT,0.0931,uncertainty band row
SI4,R3,129.0,0.1163,,,,ABSORPTION_DOMINANT,0.1098,uncertainty band row
SI4,R4,113.0,0.0619,,,,ABSORPTION_DOMINANT,0.0435,uncertainty band row
VERDICT,boundaries_descriptive,,,,,,,,regions are descriptive; no trade rules
