transition,from_state,to_state,rate,n,note
STATE,ABSORBED,PROPAGATED,0.0,289,
STATE,ABSORBED,PERSISTENT,0.0,289,
STATE,ABSORBED,REJOIN,0.3253,289,
STATE,REORGANIZED,PROPAGATED,0.0,1179,
STATE,REORGANIZED,PERSISTENT,0.0,1179,
STATE,REORGANIZED,REJOIN,0.2553,1179,
STATE,PROPAGATED,PROPAGATED,1.0,320,
STATE,PROPAGATED,PERSISTENT,0.0,320,
STATE,PROPAGATED,REJOIN,0.3531,320,
STATE,PERSISTENT,PROPAGATED,0.3771,1859,
STATE,PERSISTENT,PERSISTENT,0.5471,1859,
STATE,PERSISTENT,REJOIN,0.0,1859,
BYPASS,ABSORBED,PROPAGATED,0.0,0,propagation despite local absorption - bypassable chain
CONTAIN,PROPAGATED,CONTAINED,n/a (same-window),1021,containment measured via reverse: contained = not propagated
VERDICT,LOOSE_BYPASSABLE_CHAIN,,n/a,3647,all transitions are partial (rates well below 1) and bypassable; propagation can occur without absorption failure; no strict feed-forward chain
