rank_health,liquidity,n,down_rate,up_rate,gap,corr
DAMAGED,DEEP,207.0,0.2375,0.1702,0.0673,
DAMAGED,THIN,1614.0,0.3635,0.0941,0.2694,
HEALTHY,DEEP,1571.0,0.3364,0.1624,0.174,
HEALTHY,THIN,255.0,0.3514,0.0714,0.2799,
OVL:DAMAGED,DEEP,87.0,0.2593,0.3333,-0.0741,HIGH_CORR
OVL:DAMAGED,DEEP,120.0,0.2152,0.1463,0.0688,LOW_CORR
OVL:DAMAGED,THIN,729.0,0.3698,0.1148,0.255,HIGH_CORR
OVL:DAMAGED,THIN,885.0,0.3575,0.0876,0.2698,LOW_CORR
OVL:HEALTHY,DEEP,886.0,0.3386,0.1901,0.1485,HIGH_CORR
OVL:HEALTHY,DEEP,685.0,0.332,0.1375,0.1945,LOW_CORR
OVL:HEALTHY,THIN,122.0,0.3301,0.1053,0.2248,HIGH_CORR
OVL:HEALTHY,THIN,133.0,0.378,0.0588,0.3192,LOW_CORR
VERDICT,gap_gradient,,,,strongest=OVL:HEALTHY:THIN,weakest=OVL:DAMAGED:DEEP
