state,n,p_absorbed,p_propagated,delta_vs_base
FRESH,1421,0.0,0.2646,-0.0792
RECENTLY_SHOCKED,688,0.2137,0.2994,0.1344
MULTIPLE_RECENT,428,0.2477,0.2897,0.1684
LONG_RECOVERY,1098,0.0883,0.2796,0.0091
AFTER_PRIOR_CONTAGION,638,0.094,0.3495,0.0148
AFTER_PRIOR_DECOUPLE,656,0.1357,0.2546,0.0564
VERDICT,3647,0.1357,0.0669,0.0688
