condition,n,rate,delta_vs_base
BASELINE,3647,0.5097,
PRIOR_CONTAGION,638,0.558,0.0483
FRESH_SHOCK,2322,0.4892,-0.0205
UNRESOLVED_BURDEN,937,0.461,-0.0487
TOPOLOGY_CHURN,2049,0.4841,-0.0256
PEER_STRESS,683,0.4832,-0.0266
PRIOR_CONTAGION_x_FRESH,331,0.5106,0.0008
PRIOR_CONTAGION_x_RECENCY,202,0.5941,0.0843
PRIOR_CONTAGION_x_BURDEN,277,0.509,-0.0007
PRIOR_CONTAGION_x_CHURN,207,0.4928,-0.017
RECENT_PRIOR_CONTAGION,287,0.5749,0.0652
LOGIT_prior_contagion,3647,0.086,
LOGIT_fresh_shock,3647,-0.043,
LOGIT_unresolved_burden,3647,-0.177,
LOGIT_topology_churn_hi,3647,-0.147,
LOGIT_peer_stress_hi,3647,-0.0,
VERDICT,3647,,PRIOR_CONTAGION_x_RECENCY_DOMINANT
