coordinate,EC_med,OTHER_CONT_med,n_EC,n_OTHER,n,note
latency_T1,1.0,1.0,81.0,940.0,,
peak_time_T3,3.0,3.0,81.0,940.0,,
radius_T7,0.3,0.3167,81.0,940.0,,
depth_T30,0.0005,0.0001,81.0,940.0,,
persistence_T30,0.5,0.5,81.0,940.0,,
CONT_SPEED,0.0,0.0,81.0,940.0,,
SILHOUETTE_EC_vs_REST,-0.0569,,,,991.0,
VERDICT,FAST_CONTAGION_REGION,,,,81.0,"negative EC-vs-rest silhouette / <=1 separated coordinate of 6 => EC is a region of temporal geometry, dissolve node (sil=-0.0569; sep=0/6)"
