history_construct,n,upside_rate,delta,note
BASELINE,3647.0,0.1393,,
PRIOR_REJOIN_COUNT>=2,155.0,0.1935,0.0543,
PRIOR_REJOIN_COUNT>=1,750.0,0.1627,0.0234,
PRIOR_POSITIVE_BREADTH,1074.0,0.1359,-0.0034,
PRIOR_RANK_REPAIR_COUNT>=2,749.0,0.1442,0.0049,
PERSISTENT_STABILIZATION,2090.0,0.1435,0.0042,
TIME_SINCE_DOWNSIDE_HIGH,2524.0,0.1371,-0.0022,
VERDICT,,STATE_LOCAL_ACCUMULATION,0.0543,"non-leaky history (prior rejoin count, positive breadth, rank repair, stabilization) does NOT accumulate into rejoin permission - upside is state-local, unlike downside burden"
