days_bin,med_days,p_absorbed,p_propagated,med_capacity,n,cond,note
0,2.0,0.2222,0.2796,0.6,279,,
1,10.0,0.205,0.3165,0.6,278,,
2,32.0,0.1583,0.2914,0.6,278,,
3,68.0,0.1007,0.3094,0.6,278,,
4,113.0,0.0935,0.2914,0.6,278,,
5,179.0,0.0791,0.3273,0.6,278,,
6,306.0,0.0791,0.2806,0.4,278,,
7,650.0,0.1004,0.2222,0.3932,279,,
0,4.0,0.2032,0.3108,,251,SEVERE,
1,36.0,0.144,0.264,,250,SEVERE,
2,103.5,0.06,0.264,,250,SEVERE,
3,214.5,0.06,0.288,,250,SEVERE,
4,529.0,0.096,0.212,,250,SEVERE,
0,2.0,0.188,0.2991,,117,MILD,
1,16.0,0.2241,0.3362,,116,MILD,
2,51.0,0.0603,0.4224,,116,MILD,
3,110.0,0.1034,0.3534,,116,MILD,
4,236.0,0.094,0.4103,,117,MILD,
0,3.0,0.2109,0.3231,,294,DOWN,
1,23.0,0.1599,0.3946,,294,DOWN,
2,81.0,0.0748,0.3605,,294,DOWN,
3,174.5,0.0986,0.3639,,294,DOWN,
4,469.5,0.0884,0.3401,,294,DOWN,
0,6.5,0.1078,0.3137,,102,DEEP_RANK,
1,60.0,0.0495,0.3663,,101,DEEP_RANK,
2,141.5,0.0294,0.3922,,102,DEEP_RANK,
3,290.0,0.0198,0.297,,101,DEEP_RANK,
4,657.0,0.049,0.2843,,102,DEEP_RANK,
0,26.0,0.0857,0.3184,,245,HIGH_CHURN,
1,85.0,0.0653,0.3224,,245,HIGH_CHURN,
2,158.0,0.0653,0.3306,,245,HIGH_CHURN,
3,292.0,0.0612,0.2939,,245,HIGH_CHURN,
4,643.0,0.0694,0.2245,,245,HIGH_CHURN,
-1,,DECLINING_ABSORPTION_WITH_TIME,,,3647,VERDICT,"early-bin absorption 0.1716 vs late-bin 0.088: absorption is HIGHEST shortly after a shock and declines with elapsed time - consistent with the selection story (event-rich liquid assets absorb more), NOT a damage-recovery clock"
