coordinate,n,upside_rate,delta,note
BASELINE,3647.0,0.1393,,
CURRENT_STABILITY,2090.0,0.1435,0.0042,
CURRENT_RANK_HEALTH,1826.0,0.155,0.0157,
CURRENT_LIQUIDITY,1778.0,0.1631,0.0238,
CURRENT_COHERENCE,1824.0,0.1338,-0.0055,
CAPACITY_REGION,1824.0,0.1491,0.0098,
POSITIVE_HISTORY,345.0,0.1797,0.0404,
PRIOR_RANK_REPAIR,1112.0,0.1385,-0.0008,
TIME_SINCE_DOWNSIDE_HIGH,2524.0,0.1371,-0.0022,
VERDICT,,PIT_SAFE,best PIT-safe coordinate: POSITIVE_HISTORY (0.0404),leakage audit passed; only T0/current info used; rejoin remains the only non-degenerate upside outcome (rank_up mutually exclusive)
