function,n,upside_rate,delta_vs_base,note
STABILITY,2090.0,0.1435,0.0042,
LIQUIDITY_PERMISSION,1778.0,0.1631,0.0238,
REJOIN,345.0,0.1797,0.0404,
RECRUITMENT_PRECONDITION,1824.0,0.1491,0.0098,
RANK_HEALTH,1826.0,0.155,0.0157,
COHERENCE,1824.0,0.1338,-0.0055,
CAPACITY,1824.0,0.1491,0.0098,
POSITIVE_PARTICIPATION_HISTORY,345.0,0.1797,0.0404,
VERDICT,,PRECONDITIONS_WEAK_AMPLIFIERS_ONLY,strongest function: REJOIN (0.0404),"7 of 7 PIT-safe functions lift rejoin; upside functions act as weak amplifiers, not hard preconditions (no single gate)"
