dimension,level,n,down_rate,up_rate,gap,vs_global_gap,gap_num
TEMP_SPECIES,1.0,257,1.0,1.0,0.0,-0.2034,0.0
TEMP_SPECIES,2.0,141,1.0,1.0,0.0,-0.2034,0.0
TEMP_SPECIES,3.0,569,1.0,1.0,0.0,-0.2034,0.0
CAPACITY_REGION,HIGH_CAP,1824,0.3402,0.1599,0.1803,-0.0231,0.1803
CAPACITY_REGION,LOW_CAP,1823,0.3509,0.1165,0.2343,0.0309,0.2343
SHOCK_FAMILY,DEEP_ILLIQ_STRESSED,660,0.3883,0.0789,0.3093,0.1059,0.3093
SHOCK_FAMILY,SHALLOW_QUIET,2987,0.334,0.1494,0.1846,-0.0188,0.1846
RANK_DEPTH,DEEP,593,0.3633,0.0741,0.2892,0.0858,0.2892
RANK_DEPTH,MID,1219,0.3453,0.1152,0.2301,0.0267,0.2301
RANK_DEPTH,SHALLOW,1835,0.3376,0.1556,0.182,-0.0215,0.182
LIQUIDITY,LIQ_DEEP,1216,0.3831,0.0756,0.3076,0.1041,0.3076
LIQUIDITY,LIQ_NORM,1215,0.3101,0.1272,0.1829,-0.0205,0.1829
LIQUIDITY,LIQ_THIN,1216,0.3327,0.1674,0.1653,-0.0381,0.1653
RANK_HEALTH,DAMAGED,1821,0.3502,0.106,0.2443,0.0408,0.2443
RANK_HEALTH,HEALTHY,1826,0.3393,0.1552,0.1842,-0.0193,0.1842
TOPOLOGY_CHURN,HIGH,2049,0.3445,0.1216,0.2229,0.0195,0.2229
TOPOLOGY_CHURN,LOW,1598,0.3483,0.1636,0.1847,-0.0188,0.1847
CORRELATION_COMPRESSION,HIGH_CORR,1824,0.3486,0.1787,0.1699,-0.0336,0.1699
CORRELATION_COMPRESSION,LOW_CORR,1823,0.343,0.1189,0.2241,0.0206,0.2241
REACTIVATION_HISTORY,0.0,3009,0.3314,0.1278,0.2036,0.0001,0.2036
REACTIVATION_HISTORY,1.0,638,0.4153,0.2126,0.2028,-0.0007,0.2028
VERDICT,strongest=SHOCK_FAMILY:DEEP_ILLIQ_STRESSED,3647,,,weakest=TEMP_SPECIES:1.0,0.2034,
