construct,coordinate,n,abs_spearman,p,purged_auc_absorbed
DAYS_SINCE_PRIOR,days_since_prior,2226.0,-0.143,0.0,0.6115
COUNT_90D,cnt_prev_90d,1128.0,0.158,0.0,0.6012
CUMULATIVE_MAGNITUDE_90D,sumabs_prev_90d,1128.0,0.055,0.066,0.5554
MAX_MAGNITUDE_90D,maxabs_prev_90d,1128.0,-0.002,0.944,0.4846
DECAYED_BURDEN_BEST,mem_exp_sum,1874.0,0.116,0.0,0.5937
DIRECTIONAL_DOWN_90D,cnt_down_prev_90d,1128.0,0.044,0.136,0.5548
DIRECTIONAL_UP_90D,cnt_up_prev_90d,1128.0,0.109,0.0,0.5299
VERDICT,RECENCY_DOMINANT,,,,
