half_life_d,n,purged_auc,brier,bootstrap_auc_mean,bootstrap_auc_lo,bootstrap_auc_hi,n_subperiods,subperiod_stable,subperiod_auc_range
3,1874,0.6392,0.1167,0.6392,0.6049,0.6713,5.0,NO,0.2594
7,1874,0.6391,0.1167,0.6365,0.6008,0.6675,5.0,NO,0.158
10,1874,0.6346,0.1166,0.6329,0.5967,0.6639,5.0,YES,0.0714
15,1874,0.6259,0.1166,0.626,0.5901,0.658,5.0,YES,0.0725
21,1874,0.6175,0.1166,0.6181,0.5823,0.6507,5.0,YES,0.0667
30,1874,0.6055,0.1165,0.6089,0.5705,0.6428,5.0,YES,0.0652
45,1874,0.5937,0.1165,0.5973,0.5571,0.6338,5.0,NO,0.2313
60,1874,0.5855,0.1165,0.5904,0.5486,0.6268,5.0,NO,0.2173
90,1874,0.5781,0.1165,0.5854,0.5439,0.6262,5.0,NO,0.2084
120,1874,0.5754,0.1165,0.5835,0.5425,0.6266,5.0,NO,0.2004
180,1874,0.5717,0.1165,0.5814,0.5412,0.6228,5.0,NO,0.1913
VERDICT,2226,SHORT_MEMORY,,,,,,,
