patch_a,patch_b,n_days,same_day_spearman,lag1_a_leads_b,lag1_b_leads_a
UPPER_CORE,UPPER_MID,2194,0.9796425739902309,-0.04714396411089053,-0.0636680846656748
UPPER_CORE,MID,2194,0.9669552422428285,-0.03512742889281592,-0.06575653185491796
UPPER_CORE,LOWER_MID,2194,0.9530628763892108,-0.021869271388774227,-0.06677633516002908
UPPER_CORE,TRANSITION,2194,0.9346237369162996,-0.002651038608976292,-0.06257650425311286
UPPER_MID,MID,2194,0.9840752805954385,-0.036035216472441844,-0.05240396093585638
UPPER_MID,LOWER_MID,2194,0.9698286294328353,-0.024513033752871886,-0.0528085610233176
UPPER_MID,TRANSITION,2194,0.9464000862568004,-0.007254725294329673,-0.05178538785329111
MID,LOWER_MID,2194,0.9805959196246583,-0.027161394536721995,-0.03898960984053532
MID,TRANSITION,2194,0.955339578615123,-0.009411877902131304,-0.039661281096262525
LOWER_MID,TRANSITION,2194,0.9723726197083886,-0.011551650634367678,-0.030043417250271414
