patch,perturbation,amplitude,n_events,activation_prob_3d,tail_share_after,med_ret_after
UPPER_CORE,brd_jump,SMALL,213,0.92018779342723,0.03142404596067303,0.006162676960229874
UPPER_CORE,brd_jump,MEDIUM,214,0.9392523364485982,0.02444922685482575,0.004369449336081743
UPPER_CORE,brd_jump,LARGE,221,0.9403669724770642,0.028995476394068576,0.005981252063065767
UPPER_CORE,brd_drop,SMALL,242,0.9297520661157025,0.044457964658896044,-0.006372783798724413
UPPER_CORE,brd_drop,MEDIUM,241,0.9087136929460581,0.029440284126323966,-0.010931440629065037
UPPER_CORE,brd_drop,LARGE,249,0.9156626506024096,0.04344859912855102,-0.022675756365060806
UPPER_CORE,disp_jump,SMALL,187,0.9301075268817204,0.033977558151353636,0.003996988758444786
UPPER_CORE,disp_jump,MEDIUM,186,0.9301075268817204,0.03814926569066734,0.003736223792657256
UPPER_CORE,disp_jump,LARGE,192,0.9479166666666666,0.05183129023476582,0.0031124509405344725
UPPER_CORE,disp_drop,SMALL,195,0.9128205128205128,0.035460864192461916,-0.005744118709117174
UPPER_CORE,disp_drop,MEDIUM,194,0.9175257731958762,0.035992838664058245,-0.017034275457262993
UPPER_CORE,disp_drop,LARGE,200,0.955,0.04856237218014723,-0.008272306993603706
UPPER_CORE,btc_shock,SMALL,168,0.9345238095238095,0.0428318078584331,-0.004263586830347776
UPPER_CORE,btc_shock,MEDIUM,167,0.9461077844311377,0.04890479571814212,-0.008591337129473686
UPPER_CORE,btc_shock,LARGE,173,0.9764705882352941,0.07464738367444136,-0.0015522163594141603
UPPER_CORE,conc_shock,SMALL,102,0.9509803921568627,0.0600752748258219,-0.0035636390093714
UPPER_CORE,conc_shock,MEDIUM,102,0.9509803921568627,0.06457910958279722,-0.001978745451197028
UPPER_CORE,conc_shock,LARGE,106,0.8962264150943396,0.02862908387174939,-0.005967564880847931
UPPER_CORE,vol_shock,SMALL,90,0.9222222222222223,0.04244360054826554,-0.005288246087729931
UPPER_CORE,vol_shock,MEDIUM,90,0.9666666666666667,0.07222085637820255,-0.0053000859916210175
UPPER_CORE,vol_shock,LARGE,93,0.9444444444444444,0.12454541468114302,-0.01291904877871275
