atom_a,atom_b,n_both,p_A_before_B,p_B_before_A,p_same_window,preferred,preferred_p,n_subperiods,stable_direction_count,edge_class
DISPERSION_EXPANDS,VOL_CONTRACTS,2019,0.30807330361565133,0.35066864784546803,0.34125804853888064,B,0.35066864784546803,5,0,EXCHANGEABLE
DISPERSION_EXPANDS,STABLECOIN_ACTIVITY_UP,1771,0.15245623941276115,0.4472049689440994,0.40033879164313946,B,0.4472049689440994,5,0,NO_ORDER
DISPERSION_EXPANDS,TVL_VELOCITY_UP,1795,0.2740947075208914,0.3637883008356546,0.362116991643454,B,0.3637883008356546,5,0,EXCHANGEABLE
CONCENTRATION_REBUILDS,DISPERSION_EXPANDS,1708,0.382903981264637,0.2898126463700234,0.32728337236533955,A,0.382903981264637,5,0,EXCHANGEABLE
DISPERSION_EXPANDS,VOL_EXPANDS,2053,0.34388699464198735,0.34096444227959083,0.3151485630784218,A,0.34388699464198735,5,0,EXCHANGEABLE
BREADTH_EXPANDS,DISPERSION_EXPANDS,2099,0.2963315864697475,0.2653644592663173,0.4383039542639352,A,0.2963315864697475,5,0,EXCHANGEABLE
DISPERSION_EXPANDS,STATE_EXIT,1090,0.5642201834862385,0.25688073394495414,0.17889908256880735,A,0.5642201834862385,5,0,PREFERRED_ORDER
DISPERSION_CONTRACTS,DISPERSION_EXPANDS,2097,0.5097758702908918,0.4902241297091082,0.0,A,0.5097758702908918,5,0,EXCHANGEABLE
BREADTH_CONTRACTS,DISPERSION_EXPANDS,2099,0.40257265364459266,0.3635064316341115,0.23392091472129586,A,0.40257265364459266,5,0,EXCHANGEABLE
DISPERSION_EXPANDS,PROPAGATION_CONFIRMS,831,0.30806257521058966,0.33574007220216606,0.3561973525872443,B,0.33574007220216606,5,0,EXCHANGEABLE
CONCENTRATION_REBUILDS,RANK_DECAYS,1564,0.37468030690537085,0.2506393861892583,0.37468030690537085,A,0.37468030690537085,5,0,EXCHANGEABLE
RANK_DECAYS,VOL_EXPANDS,1894,0.30464625131995776,0.3405491024287223,0.35480464625131997,B,0.3405491024287223,5,0,EXCHANGEABLE
RANK_DECAYS,STABLECOIN_ACTIVITY_UP,1645,0.14893617021276595,0.39756838905775077,0.4534954407294833,B,0.39756838905775077,5,0,NO_ORDER
