from,to,p_transition,stationary_from,probability_flux,verdict
LOW_BREADTH_LOW_DISP,LOW_BREADTH_LOW_DISP,0.8751515151515151,0.3756830601092896,0.3287795992714025,TRANSFER_FLOW_PILOT
HIGH_BREADTH_HIGH_DISP,HIGH_BREADTH_HIGH_DISP,0.8985695708712613,0.35063752276867033,0.31507220836560623,TRANSFER_FLOW_PILOT
HIGH_BREADTH_LOW_DISP,HIGH_BREADTH_LOW_DISP,0.746177370030581,0.1489071038251366,0.1111111111111111,TRANSFER_FLOW_PILOT
LOW_BREADTH_HIGH_DISP,LOW_BREADTH_HIGH_DISP,0.7591240875912408,0.12477231329690346,0.09471766848816028,TRANSFER_FLOW_PILOT
HIGH_BREADTH_LOW_DISP,LOW_BREADTH_LOW_DISP,0.14067278287461774,0.1489071038251366,0.020947176684881604,TRANSFER_FLOW_PILOT
LOW_BREADTH_LOW_DISP,HIGH_BREADTH_LOW_DISP,0.055757575757575756,0.3756830601092896,0.0209471766848816,TRANSFER_FLOW_PILOT
LOW_BREADTH_HIGH_DISP,LOW_BREADTH_LOW_DISP,0.13503649635036497,0.12477231329690346,0.016848816029143898,TRANSFER_FLOW_PILOT
LOW_BREADTH_LOW_DISP,LOW_BREADTH_HIGH_DISP,0.041212121212121214,0.3756830601092896,0.015482695810564662,TRANSFER_FLOW_PILOT
HIGH_BREADTH_LOW_DISP,HIGH_BREADTH_HIGH_DISP,0.10091743119266056,0.1489071038251366,0.015027322404371586,TRANSFER_FLOW_PILOT
HIGH_BREADTH_HIGH_DISP,HIGH_BREADTH_LOW_DISP,0.04031209362808843,0.35063752276867033,0.014134932647371626,TRANSFER_FLOW_PILOT
HIGH_BREADTH_HIGH_DISP,LOW_BREADTH_HIGH_DISP,0.036410923276983094,0.35063752276867033,0.012767035939561468,TRANSFER_FLOW_PILOT
LOW_BREADTH_HIGH_DISP,HIGH_BREADTH_HIGH_DISP,0.08394160583941605,0.12477231329690346,0.0104735883424408,TRANSFER_FLOW_PILOT
LOW_BREADTH_LOW_DISP,HIGH_BREADTH_HIGH_DISP,0.027878787878787878,0.3756830601092896,0.0104735883424408,TRANSFER_FLOW_PILOT
HIGH_BREADTH_HIGH_DISP,LOW_BREADTH_LOW_DISP,0.0247074122236671,0.35063752276867033,0.008663345816130997,TRANSFER_FLOW_PILOT
LOW_BREADTH_HIGH_DISP,HIGH_BREADTH_LOW_DISP,0.021897810218978103,0.12477231329690346,0.00273224043715847,TRANSFER_FLOW_PILOT
HIGH_BREADTH_LOW_DISP,LOW_BREADTH_HIGH_DISP,0.012232415902140673,0.1489071038251366,0.0018214936247723133,TRANSFER_FLOW_PILOT
