loner_class,n,p_HH,p_LL,p_AGE_1,p_AGE_15P,med_breadth,med_dispersion,med_vol,med_btc7,p_amp_high,n_subperiods,verdict
TRUE_LONER,1957,0.3484925907000511,0.36484414920797137,0.1589167092488503,0.32038834951456313,0.312,0.3087834023917188,0.04960084457298171,0.009379924968501152,0.12825753704649975,5,DISTINCT_FIELD_PLACEMENT
FALSE_LONER,495,0.4303030303030303,0.3414141414141414,0.1393939393939394,0.3616161616161616,0.384,0.3248310295959925,0.04929000121130876,0.013644478011682004,0.1191919191919192,5,DISTINCT_FIELD_PLACEMENT
AMBIGUOUS,10,0.2,0.3,0.1,0.5,0.189,0.3243724170047846,0.05328174597661857,0.01805711201135185,0.3,3,DISTINCT_FIELD_PLACEMENT
