cell,age_band,n_days,horizon_d,p_stay,p_exit,p_reentry,p_propagate,p_tail_activation,p_rank_recruitment,p_local_stress,p_local_recovery,p_trans_HIGH_BREADTH_HIGH_DISP,p_trans_HIGH_BREADTH_LOW_DISP,p_trans_LOW_BREADTH_HIGH_DISP,p_trans_LOW_BREADTH_LOW_DISP
HIGH_BREADTH_HIGH_DISP,AGE_1,79,1,0.7341772151898734,0.26582278481012656,0.4936708860759494,0.26582278481012656,0.9873417721518988,0.45569620253164556,0.8481012658227848,0.08860759493670886,0.7341772151898734,0.1518987341772152,0.10126582278481013,0.012658227848101266
HIGH_BREADTH_HIGH_DISP,AGE_1,79,2,0.5443037974683544,0.45569620253164556,0.569620253164557,0.31645569620253167,0.9873417721518988,0.5949367088607594,0.9620253164556962,0.12658227848101267,0.7721518987341772,0.25316455696202533,0.17721518987341772,0.08860759493670886
HIGH_BREADTH_HIGH_DISP,AGE_1,79,3,0.4810126582278481,0.5189873417721519,0.5949367088607594,0.3291139240506329,0.9873417721518988,0.6835443037974683,0.9873417721518988,0.189873417721519,0.7974683544303798,0.3037974683544304,0.20253164556962025,0.11392405063291139
HIGH_BREADTH_HIGH_DISP,AGE_1,79,5,0.379746835443038,0.620253164556962,0.6582278481012658,0.4050632911392405,0.9873417721518988,0.7974683544303798,0.9873417721518988,0.24050632911392406,0.8227848101265823,0.35443037974683544,0.27848101265822783,0.22784810126582278
HIGH_BREADTH_HIGH_DISP,AGE_1,79,7,0.31645569620253167,0.6835443037974683,0.6962025316455697,0.4430379746835443,0.9873417721518988,0.8227848101265823,0.9873417721518988,0.31645569620253167,0.8481012658227848,0.379746835443038,0.3291139240506329,0.27848101265822783
HIGH_BREADTH_HIGH_DISP,AGE_1,79,10,0.240506329113924,0.759493670886076,0.7215189873417721,0.4810126582278481,0.9873417721518988,0.8734177215189873,0.9873417721518988,0.4177215189873418,0.8607594936708861,0.4177215189873418,0.34177215189873417,0.379746835443038
HIGH_BREADTH_HIGH_DISP,AGE_1,79,14,0.189873417721519,0.810126582278481,0.7341772151898734,0.5316455696202531,1.0,0.9240506329113924,1.0,0.5316455696202531,0.8734177215189873,0.43037974683544306,0.4050632911392405,0.4810126582278481
HIGH_BREADTH_HIGH_DISP,AGE_1,79,21,0.12658227848101267,0.8734177215189873,0.7468354430379747,0.5569620253164557,1.0,0.9746835443037974,1.0,0.6075949367088608,0.8987341772151899,0.5189873417721519,0.4430379746835443,0.6455696202531646
HIGH_BREADTH_HIGH_DISP,AGE_1,79,30,0.12658227848101267,0.8734177215189873,0.759493670886076,0.6708860759493671,1.0,0.9746835443037974,1.0,0.6708860759493671,0.8987341772151899,0.5316455696202531,0.5189873417721519,0.7468354430379747
HIGH_BREADTH_HIGH_DISP,AGE_2_3,101,1,0.801980198019802,0.19801980198019803,0.46534653465346537,0.297029702970297,0.9702970297029703,0.4752475247524752,0.8514851485148515,0.0594059405940594,0.7920792079207921,0.0891089108910891,0.0594059405940594,0.04950495049504951
HIGH_BREADTH_HIGH_DISP,AGE_2_3,101,2,0.7128712871287128,0.2871287128712871,0.5742574257425742,0.3465346534653465,0.9702970297029703,0.6336633663366337,0.9504950495049505,0.0891089108910891,0.8910891089108911,0.13861386138613863,0.0891089108910891,0.06930693069306931
HIGH_BREADTH_HIGH_DISP,AGE_2_3,101,3,0.6336633663366337,0.36633663366336633,0.6237623762376238,0.39603960396039606,0.9702970297029703,0.7128712871287128,0.9702970297029703,0.10891089108910891,0.9306930693069307,0.16831683168316833,0.1188118811881188,0.09900990099009901
HIGH_BREADTH_HIGH_DISP,AGE_2_3,101,5,0.5148514851485149,0.48514851485148514,0.6435643564356436,0.42574257425742573,0.9702970297029703,0.7623762376237624,0.9702970297029703,0.1782178217821782,0.9306930693069307,0.19801980198019803,0.18811881188118812,0.15841584158415842
