scope,cell,age_band,n,branch_entropy,dominant_share,verdict,mean_prefix_entropy,mean_prefix_dominant_share,entropy_vs_frequency_spearman,cells_with_age_collapse
cell_age,HIGH_BREADTH_HIGH_DISP,AGE_1,79.0,1.1546358402523806,0.7341772151898734,,,,,
cell_age,HIGH_BREADTH_HIGH_DISP,AGE_2_3,100.0,1.0298263089473891,0.8,,,,,
cell_age,HIGH_BREADTH_HIGH_DISP,AGE_4_7,125.0,0.6455171507029792,0.896,,,,,
cell_age,HIGH_BREADTH_HIGH_DISP,AGE_8_14,124.0,0.5242447814241266,0.9193548387096774,,,,,
cell_age,HIGH_BREADTH_HIGH_DISP,AGE_15_PLUS,341.0,0.30839219912845484,0.9589442815249267,,,,,
cell_age,HIGH_BREADTH_LOW_DISP,AGE_1,83.0,1.325580203719837,0.6746987951807228,,,,,
cell_age,HIGH_BREADTH_LOW_DISP,AGE_2_3,95.0,1.0632216972559463,0.7684210526315789,,,,,
cell_age,HIGH_BREADTH_LOW_DISP,AGE_4_7,99.0,0.9985904589095059,0.7676767676767676,,,,,
cell_age,HIGH_BREADTH_LOW_DISP,AGE_8_14,35.0,1.1149179683468289,0.7142857142857143,,,,,
cell_age,LOW_BREADTH_HIGH_DISP,AGE_1,66.0,1.6307677086934358,0.5303030303030303,,,,,
cell_age,LOW_BREADTH_HIGH_DISP,AGE_2_3,56.0,1.3541591182832857,0.6607142857142857,,,,,
cell_age,LOW_BREADTH_HIGH_DISP,AGE_4_7,58.0,0.362051251733998,0.9310344827586207,,,,,
cell_age,LOW_BREADTH_HIGH_DISP,AGE_8_14,62.0,0.6383184923498898,0.8870967741935484,,,,,
cell_age,LOW_BREADTH_HIGH_DISP,AGE_15_PLUS,32.0,0.7380636700495734,0.84375,,,,,
cell_age,LOW_BREADTH_LOW_DISP,AGE_1,103.0,1.5841333567496678,0.6019417475728155,,,,,
cell_age,LOW_BREADTH_LOW_DISP,AGE_2_3,110.0,0.9903319384512664,0.8,,,,,
cell_age,LOW_BREADTH_LOW_DISP,AGE_4_7,143.0,0.463986663983151,0.9230769230769231,,,,,
cell_age,LOW_BREADTH_LOW_DISP,AGE_8_14,171.0,0.3172255142059802,0.9532163742690059,,,,,
cell_age,LOW_BREADTH_LOW_DISP,AGE_15_PLUS,298.0,0.46483700196964656,0.9295302013422819,,,,,
,,,,,,ENTROPY_COLLAPSE,3.8943207133200772,0.09554271008780806,,4.0
