eigenvalue,variance_explained,currency
6.642112845010557e-07,0.43523374734842885,EUR
4.630624962097432e-07,0.3034281864591896,GBP
2.3670758379564116e-07,0.15510595969256735,USD
1.621210771071178e-07,0.1062321064998141,CHF
4.860613347269047e-23,3.184984975274588e-17,JPY
