,pair_reconstruction_rmse,max_abs_residual,median_abs_residual,network_agreement_score
count,17272.0,17272.0,17272.0,17272.0
mean,0.0003771705928208155,0.0008027964152629213,0.00025473650695374296,0.831061834182492
std,0.0002844802586324806,0.0006349184021327511,0.000206528945872725,0.12291344049103857
min,1.1509759851185032e-05,1.827750705910042e-05,5.885465687022546e-06,0.1
25%,0.0001984127615738025,0.0004108747107644282,0.00012731204522461697,0.8
50%,0.0003101210971507282,0.0006511219859286352,0.0002040791760175689,0.8
75%,0.00047507768769165554,0.0010039780694586838,0.00032009350582446855,0.9
max,0.005337795616447672,0.01293812615397958,0.004125130286245846,1.0
