symbol,year_month,expected_bars,observed_bars,valid_bars,missing_bars,unexpected_missing_pct,coverage_pct
EURUSD,2023-07,504,504,504,0,0.0,100.0
EURUSD,2023-08,552,552,552,0,0.0,100.0
EURUSD,2023-09,504,504,504,0,0.0,100.0
EURUSD,2023-10,528,528,528,0,0.0,100.0
EURUSD,2023-11,528,528,528,0,0.0,100.0
EURUSD,2023-12,504,504,495,9,1.79,98.21
EURUSD,2024-01,538,538,533,5,0.93,99.07
EURUSD,2024-02,504,504,504,0,0.0,100.0
EURUSD,2024-03,504,504,504,0,0.0,100.0
EURUSD,2024-04,528,528,528,0,0.0,100.0
EURUSD,2024-05,552,552,552,0,0.0,100.0
EURUSD,2024-06,480,480,480,0,0.0,100.0
EURUSD,2024-07,552,552,552,0,0.0,100.0
EURUSD,2024-08,528,528,528,0,0.0,100.0
EURUSD,2024-09,504,504,500,4,0.79,99.21
EURUSD,2024-10,552,552,552,0,0.0,100.0
EURUSD,2024-11,504,504,504,0,0.0,100.0
EURUSD,2024-12,509,509,504,5,0.98,99.02
EURUSD,2025-01,533,533,528,5,0.94,99.06
EURUSD,2025-02,480,480,480,0,0.0,100.0
EURUSD,2025-03,504,504,504,0,0.0,100.0
EURUSD,2025-04,528,528,528,0,0.0,100.0
EURUSD,2025-05,528,528,528,0,0.0,100.0
EURUSD,2025-06,504,504,504,0,0.0,100.0
EURUSD,2025-07,552,552,552,0,0.0,100.0
EURUSD,2025-08,504,504,504,0,0.0,100.0
EURUSD,2025-09,528,528,528,0,0.0,100.0
EURUSD,2025-10,552,552,552,0,0.0,100.0
EURUSD,2025-11,480,480,480,0,0.0,100.0
EURUSD,2025-12,533,533,528,5,0.94,99.06
EURUSD,2026-01,509,509,504,5,0.98,99.02
EURUSD,2026-02,480,480,480,0,0.0,100.0
EURUSD,2026-03,528,528,528,0,0.0,100.0
EURUSD,2026-04,528,528,528,0,0.0,100.0
EURUSD,2026-05,504,504,481,23,4.56,95.44
GBPUSD,2023-07,504,504,504,0,0.0,100.0
GBPUSD,2023-08,552,552,552,0,0.0,100.0
GBPUSD,2023-09,504,504,504,0,0.0,100.0
