model,scenario,slippage_pips_per_leg,expectancy_pips,profit_factor,win_rate_pct
TB-A,sync,0.0,8.74029844807378,2.8734227340195853,70.61728395061728
TB-A,async_0.1p_leg,0.1,8.440298448073781,2.775572232136782,70.61728395061728
TB-A,async_0.3p_leg,0.3,7.8402984480737805,2.5895770605163206,69.87654320987654
TB-A,async_0.5p_leg,0.5,7.24029844807378,2.4159077456839047,69.62962962962963
TB-B,sync,0.0,17.861715065485754,12.415090161204672,85.92592592592592
TB-B,async_0.1p_leg,0.1,17.561715065485753,11.922349874194733,85.18518518518519
TB-B,async_0.3p_leg,0.3,16.961715065485752,10.97470324986974,84.19753086419753
TB-B,async_0.5p_leg,0.5,16.361715065485754,10.101079190472545,83.7037037037037
TB-C-2.5%,sync,0.0,17.256973853794953,11.493769985257872,85.4320987654321
TB-C-2.5%,async_0.1p_leg,0.1,16.956973853794956,11.0427951814725,85.18518518518519
TB-C-2.5%,async_0.3p_leg,0.3,16.35697385379496,10.183167820327503,84.19753086419753
TB-C-2.5%,async_0.5p_leg,0.5,15.756973853794955,9.39506975111069,83.9506172839506
TB-C-5%,sync,0.0,16.65537627458063,10.647904336363736,85.18518518518519
TB-C-5%,async_0.1p_leg,0.1,16.355376274580628,10.23273307636563,84.93827160493828
TB-C-5%,async_0.3p_leg,0.3,15.755376274580627,9.444986677644028,83.9506172839506
TB-C-5%,async_0.5p_leg,0.5,15.155376274580627,8.710328868282213,82.71604938271605
TB-C-7.5%,sync,0.0,16.054715317092985,9.800355144353288,84.44444444444444
TB-C-7.5%,async_0.1p_leg,0.1,15.754715317092982,9.418661938084199,84.19753086419753
TB-C-7.5%,async_0.3p_leg,0.3,15.154715317092982,8.690433739538518,82.96296296296296
TB-C-7.5%,async_0.5p_leg,0.5,14.554715317092985,8.014441962219012,82.22222222222221
TB-C-10%,sync,0.0,15.451176717589478,8.972737614142401,83.4567901234568
TB-C-10%,async_0.1p_leg,0.1,15.15117671758948,8.622730997250576,83.4567901234568
TB-C-10%,async_0.3p_leg,0.3,14.551176717589478,7.957005836273977,82.22222222222221
TB-C-10%,async_0.5p_leg,0.5,13.951176717589478,7.346484315836667,82.22222222222221
