entry_z,age_min,z_lo,z_hi,model,n,p_eventual_convergence,p_timeout,p_stop,e_remaining_pnl,median_remaining_pnl,remaining_mfe,future_mae,capital_hours_remaining
2.5,15,2.5,3.0,TB-B,101,67.32673267326733,32.67326732673268,0.0,32.213788619390925,26.067244265803133,34.410734093856185,-9.554025716679456,3.395214521452145
2.5,15,2.5,3.0,TB-C-2.5%,101,67.32673267326733,32.67326732673268,0.0,31.456988247228367,26.126723221849268,33.710650058497045,-9.605672522241974,3.395214521452145
2.5,15,2.5,3.0,TB-C-5%,101,67.32673267326733,32.67326732673268,0.0,30.68664574401588,25.747546147238488,33.00356864490069,-9.65466077059613,3.395214521452145
2.5,15,2.5,3.0,TB-C-10%,101,67.32673267326733,32.67326732673268,0.0,29.13460892169771,24.679556877233544,31.58354928568877,-9.743764346791625,3.395214521452145
2.5,15,3.0,3.5,TB-B,40,67.5,32.5,0.0,29.905717387456228,30.474715646310926,33.06578274096243,-9.147365996288944,3.5291666666666663
2.5,15,3.0,3.5,TB-C-2.5%,40,67.5,32.5,0.0,29.263530964496105,30.284744950502642,32.44794101876017,-9.19737727744797,3.5291666666666663
2.5,15,3.0,3.5,TB-C-5%,40,67.5,32.5,0.0,28.646110293426045,30.03802833193417,31.8901329526761,-9.289244205496615,3.5291666666666663
2.5,15,3.0,3.5,TB-C-10%,40,67.5,32.5,0.0,27.36601970512993,28.25009578485531,30.74995119757142,-9.526829398966893,3.5291666666666663
2.5,15,3.5,4.0,TB-B,13,38.46153846153847,61.53846153846154,0.0,30.46840594344928,30.158623960730523,34.27830811342533,-7.991480846264965,3.7179487179487176
2.5,15,3.5,4.0,TB-C-2.5%,13,38.46153846153847,61.53846153846154,0.0,29.74509166943579,29.23519503955157,33.659333995214986,-8.124718851034695,3.7179487179487176
2.5,15,3.5,4.0,TB-C-5%,13,38.46153846153847,61.53846153846154,0.0,29.04614316126676,29.023138149326986,33.06914890345638,-8.291875676837144,3.7179487179487176
2.5,15,3.5,4.0,TB-C-10%,13,38.46153846153847,61.53846153846154,0.0,27.648246144928716,28.073098426936763,31.88877871993919,-8.686411251911217,3.7179487179487176
2.5,30,2.5,3.0,TB-B,77,62.33766233766234,37.66233766233766,0.0,32.80991819907847,29.57230638628463,35.60710315985637,-10.008358106825996,3.4502164502164505
2.5,30,2.5,3.0,TB-C-2.5%,77,62.33766233766234,37.66233766233766,0.0,31.82875639052415,28.276203363723344,34.72212425010174,-10.065972292484823,3.4502164502164505
2.5,30,2.5,3.0,TB-C-5%,77,62.33766233766234,37.66233766233766,0.0,30.87771458567999,27.953820307262976,33.882386876131136,-10.131530675451307,3.4502164502164505
2.5,30,2.5,3.0,TB-C-10%,77,62.33766233766234,37.66233766233766,0.0,29.0125551956754,25.96266958756661,32.25336107551453,-10.27102527311382,3.4502164502164505
2.5,30,3.0,3.5,TB-B,35,42.857142857142854,57.14285714285714,0.0,29.308296762886975,25.44472261301432,33.338874627051,-11.209357879769154,3.595238095238096
2.5,30,3.0,3.5,TB-C-2.5%,35,42.857142857142854,57.14285714285714,0.0,28.674450831446226,25.296170815382364,32.70566943412699,-11.213405966031388,3.595238095238096
2.5,30,3.0,3.5,TB-C-5%,35,42.857142857142854,57.14285714285714,0.0,28.04934844967448,24.42931630792824,32.084533129430994,-11.220756066809704,3.595238095238096
2.5,30,3.0,3.5,TB-C-10%,35,42.857142857142854,57.14285714285714,0.0,26.71613022679477,22.695607293020004,30.8048462041675,-11.162074557340242,3.595238095238096
2.5,30,3.5,4.0,TB-B,11,72.72727272727273,27.27272727272727,0.0,47.683708530653306,43.06946941841461,50.53752983239556,-6.599989528661505,3.393939393939394
2.5,30,3.5,4.0,TB-C-2.5%,11,72.72727272727273,27.27272727272727,0.0,46.525512724360645,41.742965510428945,49.40831034232656,-6.944402186436405,3.393939393939394
2.5,30,3.5,4.0,TB-C-5%,11,72.72727272727273,27.27272727272727,0.0,45.32418030500219,41.08072313586454,48.2413238812288,-7.281154372163305,3.393939393939394
2.5,30,3.5,4.0,TB-C-10%,11,72.72727272727273,27.27272727272727,0.0,42.91537276810939,38.43868218478535,45.90123251734075,-7.973807985925026,3.393939393939394
2.5,60,2.5,3.0,TB-B,49,38.775510204081634,61.224489795918366,0.0,27.19357372848146,25.871266766670434,30.327082235157192,-6.910340844156364,3.156462585034014
2.5,60,2.5,3.0,TB-C-2.5%,49,38.775510204081634,61.224489795918366,0.0,26.543522886688798,24.293295285296786,29.65953854808796,-6.952315417541793,3.156462585034014
2.5,60,2.5,3.0,TB-C-5%,49,38.775510204081634,61.224489795918366,0.0,25.907863708112973,23.993192212732076,29.001543924356827,-7.035690026619965,3.156462585034014
2.5,60,2.5,3.0,TB-C-10%,49,38.775510204081634,61.224489795918366,0.0,24.54007938599345,23.392986067602646,27.709449910640235,-7.256410586898601,3.156462585034014
2.5,60,3.0,3.5,TB-B,25,48.0,52.0,0.0,36.36998432736093,34.006309798955,39.276242338881275,-5.563242763064291,3.456666666666667
2.5,60,3.0,3.5,TB-C-2.5%,25,48.0,52.0,0.0,35.50677333095279,33.9406270160747,38.449797965045434,-5.506877058008286,3.456666666666667
2.5,60,3.0,3.5,TB-C-5%,25,48.0,52.0,0.0,34.61985381932139,31.970364605887596,37.59804495327115,-5.445872673748512,3.456666666666667
2.5,60,3.0,3.5,TB-C-10%,25,48.0,52.0,0.0,32.82578833695268,29.6450876421778,35.88764541880127,-5.399328455340363,3.456666666666667
2.5,90,2.5,3.0,TB-B,45,51.11111111111111,48.888888888888886,0.0,35.24681999426572,28.439307886096987,37.792085720919005,-5.734027019202205,2.742592592592593
2.5,90,2.5,3.0,TB-C-2.5%,45,51.11111111111111,48.888888888888886,0.0,34.45090092436177,28.085352598057504,36.99670485422496,-5.791403543817532,2.742592592592593
2.5,90,2.5,3.0,TB-C-5%,45,51.11111111111111,48.888888888888886,0.0,33.666444408516654,27.72237001915806,36.2007124750424,-5.871692240823778,2.742592592592593
2.5,90,2.5,3.0,TB-C-10%,45,51.11111111111111,48.888888888888886,0.0,32.11727846906526,26.49974740409201,34.70438995220053,-6.0823785743360155,2.742592592592593
2.5,90,3.0,3.5,TB-B,12,50.0,50.0,0.0,31.436455061971134,35.385702729015165,36.25777125611781,-5.783466135470278,3.1111111111111107
2.5,90,3.0,3.5,TB-C-2.5%,12,50.0,50.0,0.0,30.727249163371013,35.08373783076058,35.55850451820505,-5.71167013648671,3.1111111111111107
2.5,90,3.0,3.5,TB-C-5%,12,50.0,50.0,0.0,30.016442184502655,34.793244832968654,34.8556774935435,-5.636894925682596,3.1111111111111107
2.5,90,3.0,3.5,TB-C-10%,12,50.0,50.0,0.0,28.406446395492768,34.212258837384816,33.32445056791469,-5.403099023244642,3.1111111111111107
2.5,120,2.5,3.0,TB-B,23,34.78260869565217,65.21739130434783,0.0,32.04427085919699,21.828124416917504,34.984583451499134,-8.34328837532721,2.5760869565217392
2.5,120,2.5,3.0,TB-C-2.5%,23,34.78260869565217,65.21739130434783,0.0,31.125715383012324,21.417828215555733,34.162433657736514,-8.32029639276446,2.5760869565217392
2.5,120,2.5,3.0,TB-C-5%,23,34.78260869565217,65.21739130434783,0.0,30.200906933405175,21.059092469412747,33.32782340255279,-8.302402079266953,2.5760869565217392
2.5,120,2.5,3.0,TB-C-10%,23,34.78260869565217,65.21739130434783,0.0,28.26744979777067,20.418506224675554,31.591200388141207,-8.3715221384806,2.5760869565217392
2.5,120,3.0,3.5,TB-B,10,40.0,60.0,0.0,46.37214887442211,40.18809889281538,53.10173227549352,-6.874379285632095,2.9666666666666672
2.5,120,3.0,3.5,TB-C-2.5%,10,40.0,60.0,0.0,45.45001327735598,38.85618824363655,52.038738056283464,-6.758087176750993,2.9666666666666672
2.5,120,3.0,3.5,TB-C-5%,10,40.0,60.0,0.0,44.55015288947876,37.489186131079066,51.00371848724138,-6.64438233641728,2.9666666666666672
2.5,120,3.0,3.5,TB-C-10%,10,40.0,60.0,0.0,42.51913399976257,33.59869133615544,48.77775198115639,-6.447851390255167,2.9666666666666672
2.5,180,2.5,3.0,TB-B,13,38.46153846153847,61.53846153846154,0.0,31.240891516099225,31.10045338325896,36.5200983051936,-2.4684086274040484,2.923076923076923
