model,cost_multiplier,expectancy_pips,profit_factor,win_rate_pct,net_pips
TB-A,1.0,8.74029844807378,2.8734227340195853,70.61728395061728,3539.8208714698812
TB-A,1.25,6.19029844807378,2.1372461064307133,67.65432098765433,2507.070871469881
TB-A,1.5,3.6402984480737812,1.5757350352863362,63.70370370370371,1474.3208714698815
TB-A,2.0,-1.4597015519262184,0.8275542402068822,51.85185185185185,-591.1791285301184
TB-A,3.0,-11.659701551926217,0.21162851018601553,26.666666666666668,-4722.179128530118
TB-B,1.0,17.861715065485754,12.415090161204672,85.92592592592592,7233.99460152173
TB-B,1.25,15.311715065485753,8.743719568589965,82.22222222222221,6201.24460152173
TB-B,1.5,12.761715065485756,6.144824697268111,78.02469135802468,5168.494601521731
TB-B,2.0,7.661715065485755,2.936131657242926,64.19753086419753,3102.9946015217306
TB-B,3.0,-2.538284934514244,0.7132366244968008,39.75308641975309,-1028.005398478269
TB-C-2.5%,1.0,17.256973853794953,11.493769985257872,85.4320987654321,6989.074410786956
TB-C-2.5%,1.25,14.706973853794958,8.153680059774134,81.9753086419753,5956.324410786958
TB-C-2.5%,1.5,12.156973853794957,5.715050929561233,75.80246913580247,4923.574410786958
TB-C-2.5%,2.0,7.056973853794957,2.7259558217203086,64.44444444444444,2858.0744107869573
TB-C-2.5%,3.0,-3.143026146205042,0.6539819558451628,38.2716049382716,-1272.925589213042
TB-C-5%,1.0,16.65537627458063,10.647904336363736,85.18518518518519,6745.427391205154
TB-C-5%,1.25,14.105376274580625,7.55307757388069,80.98765432098766,5712.677391205153
TB-C-5%,1.5,11.555376274580627,5.279143059825961,75.55555555555556,4679.927391205154
TB-C-5%,2.0,6.455376274580627,2.5290245300617817,64.69135802469135,2614.427391205154
TB-C-5%,3.0,-3.744623725419372,0.5988579314770576,37.03703703703704,-1516.5726087948456
TB-C-7.5%,1.0,16.054715317092985,9.800355144353288,84.44444444444444,6502.159703422659
TB-C-7.5%,1.25,13.504715317092982,6.946680822065944,80.24691358024691,5469.409703422658
TB-C-7.5%,1.5,10.954715317092987,4.869879504834695,75.06172839506173,4436.65970342266
TB-C-7.5%,2.0,5.854715317092984,2.340184959284904,63.456790123456784,2371.159703422659
TB-C-7.5%,3.0,-4.345284682907014,0.5479813726959544,35.55555555555556,-1759.8402965773407
TB-C-10%,1.0,15.451176717589478,8.972737614142401,83.4567901234568,6257.726570623739
TB-C-10%,1.25,12.901176717589477,6.377674219932537,79.75308641975309,5224.976570623739
TB-C-10%,1.5,10.35117671758948,4.480208233797562,75.30864197530865,4192.2265706237395
TB-C-10%,2.0,5.2511767175894795,2.1539322652114414,62.71604938271606,2126.726570623739
TB-C-10%,3.0,-4.94882328241052,0.5008916886769312,34.074074074074076,-2004.2734293762605
