dim,bucket,n,coverage_pct,ev_tbb,ev_tbc5,pf_tbb,pf_tbc5,wr_tbb,mfe_med_tbb,mae_med_tbb,conv_med_min,failure_pct
hour_est,3,75,18.51851851851852,26.810836714726197,25.15648822261436,175.3436831295418,98.35956584030049,97.33333333333334,23.786861438274453,-14.626031125017041,232.5,6.666666666666667
hour_est,4,41,10.123456790123457,27.423417631505355,25.784303322869977,4943.656018259985,249.7352486916488,97.5609756097561,26.478348999118683,-15.761536939049908,217.5,12.195121951219512
hour_est,5,50,12.345679012345679,19.22639881823396,18.072056007250538,13.921995514618905,11.314561462350328,92.0,18.917438454689357,-14.154651867233015,205.0,14.000000000000002
hour_est,6,59,14.5679012345679,19.743478663023318,18.62709053667465,28.34106766164171,23.686709647601486,93.22033898305084,18.072944771637896,-15.201367801594367,135.0,23.728813559322035
hour_est,7,63,15.555555555555555,14.235522460998363,13.033237865456567,10.14124550600474,8.120392975504764,85.71428571428571,15.005615611388123,-18.260290931510166,205.0,44.44444444444444
hour_est,8,67,16.543209876543212,11.702360318837854,10.97308037562578,7.112600577431107,6.289602004663981,77.61194029850746,13.818728946431428,-15.682475508679317,160.0,55.223880597014926
hour_est,9,27,6.666666666666667,-3.964717140169458,-4.5771428232999805,0.46569642669251565,0.39078858295149205,44.44444444444444,3.7091305900446816,-21.08872085379685,57.5,92.5925925925926
hour_est,10,23,5.679012345679013,17.33860386248227,15.911274416688098,6.097340331491818,5.444934996847692,69.56521739130434,18.347639528768205,-13.184490851507249,30.0,73.91304347826086
half_hour,0,47,11.604938271604938,26.764287954251937,25.21114174435159,530.3084013810646,173.849818069641,97.87234042553192,24.24490750477319,-14.368574790861256,210.0,4.25531914893617
half_hour,1,28,6.91358024691358,26.888972134093688,25.064748382555443,83.21960985653227,57.03817536782275,96.42857142857143,22.042478475238042,-16.12599704312703,240.0,10.714285714285714
half_hour,2,20,4.938271604938271,33.90881875616036,32.24936248187542,inf,inf,100.0,32.1609197338079,-19.309880830587637,217.5,0.0
half_hour,3,21,5.185185185185185,21.246845131833926,19.62710412381718,1962.4114208230558,97.97808348676307,95.23809523809523,20.491882578013094,-13.673201961963503,222.5,23.809523809523807
half_hour,4,23,5.679012345679013,20.0463829765204,18.664550963994238,15.844536849508286,13.49523743803197,91.30434782608695,20.160901268740528,-12.850682839218452,235.0,17.391304347826086
half_hour,5,27,6.666666666666667,18.52789379450847,17.567338081135528,12.544023837786908,9.907597792315928,92.5925925925926,18.378994517337826,-16.602175157995163,182.5,11.11111111111111
half_hour,6,25,6.172839506172839,21.32514041667321,20.195792813510685,16.48001712692888,13.972868804796022,88.0,25.63750541853207,-14.180830852488409,120.0,28.000000000000004
half_hour,7,34,8.395061728395062,18.580492079457215,17.473632980177566,78.36962874241291,63.38553334653526,97.05882352941177,16.925147747910795,-16.892587314794365,155.0,20.588235294117645
half_hour,8,32,7.901234567901234,15.579388901603984,14.433278925682188,12.636574885286192,9.410177497788695,84.375,15.314519243974448,-20.36614864230006,190.0,37.5
half_hour,9,31,7.654320987654321,12.84830549005063,11.58803419038496,8.206864859199351,6.947654322059509,87.09677419354838,14.194088488803683,-17.058876853804833,230.0,51.61290322580645
half_hour,10,34,8.395061728395062,14.127321050451377,13.232843822645053,12.674781489003932,10.924648481932712,82.35294117647058,17.20108522133116,-18.312402086696565,150.0,50.0
half_hour,11,33,8.148148148148149,9.20391592869059,8.6448392483938,4.486062616228887,4.046046760457023,72.72727272727273,11.958375883853975,-14.981041641604799,160.0,60.60606060606061
half_hour,12,11,2.7160493827160495,-5.799460341182293,-6.40600803287644,0.3412680132497776,0.2812837313126864,36.36363636363637,0.9206368450956841,-21.721390924505474,57.5,81.81818181818183
half_hour,13,16,3.950617283950617,-2.7033311894731353,-3.3197979917161646,0.5821163315497342,0.4932220984715165,50.0,4.648511544568568,-19.577749591071143,,100.0
half_hour,14,12,2.9629629629629632,25.95525339743367,23.919277533580555,9.158295434698083,8.046234899025793,75.0,21.853325459586394,-10.2,15.0,58.333333333333336
half_hour,15,11,2.7160493827160495,7.938622551626197,7.175271016441784,3.180012613653415,2.8974742322764695,63.63636363636363,13.68791196731651,-14.716827798514164,65.0,90.9090909090909
quarter_hour,0,37,9.135802469135802,27.262161700787928,25.6989115140346,425.4409218461403,139.70592336464608,97.2972972972973,27.798084835242573,-14.352452419637657,205.0,5.405405405405405
quarter_hour,1,10,2.4691358024691357,24.92215509206878,23.40639359652443,inf,inf,100.0,18.36799010977155,-14.510512547494894,257.5,0.0
quarter_hour,2,14,3.45679012345679,30.20791609265506,28.389215604822265,inf,inf,100.0,27.18717955688833,-14.777269556701203,185.0,7.142857142857142
quarter_hour,3,14,3.45679012345679,23.57002817553234,21.740281160288628,37.035563413050134,25.302771159153732,92.85714285714286,20.819943566213706,-16.45736697509865,245.0,14.285714285714285
quarter_hour,4,10,2.4691358024691357,31.20583469578393,29.835893723746995,inf,inf,100.0,32.1609197338079,-21.00092368083056,220.0,0.0
quarter_hour,5,10,2.4691358024691357,36.61180281653678,34.662831240003854,inf,inf,100.0,27.295744386933695,-16.878626189927438,205.0,0.0
quarter_hour,6,9,2.2222222222222223,17.282915525708507,15.540098036928178,inf,inf,100.0,13.473804494903089,-14.683188746852885,222.5,33.33333333333333
quarter_hour,7,12,2.9629629629629632,24.21979233642799,22.692358688983933,1278.634450906418,65.07062518004344,91.66666666666666,24.56161343256246,-12.652735112704573,212.5,16.666666666666664
quarter_hour,8,13,3.2098765432098766,18.83582433415348,16.572315761573083,8.88371247453453,7.270839466003308,84.61538461538461,16.464996127307092,-13.045989814063466,235.0,30.76923076923077
quarter_hour,9,10,2.4691358024691357,21.620109211597388,21.384456727141753,inf,inf,100.0,21.47233406102616,-11.525341419609227,180.0,0.0
quarter_hour,10,14,3.45679012345679,18.83106356112114,18.578426031666734,inf,inf,100.0,15.154035257736203,-15.691632642158115,210.0,0.0
quarter_hour,11,13,3.2098765432098766,18.2014032766179,16.478474134409616,6.460288913328138,5.0230110220417385,84.61538461538461,22.304152375035155,-20.817500598348012,115.0,23.076923076923077
quarter_hour,12,13,3.2098765432098766,18.45557864234121,16.89743438474233,7.999059790879086,7.1512421153645755,84.61538461538461,28.99219552144584,-21.59646380421401,110.0,30.76923076923077
quarter_hour,13,12,2.9629629629629632,24.43383233886622,23.76901444467641,1827.3977302208316,89.90191474913513,91.66666666666666,23.645893087590586,-12.548459242080074,135.0,25.0
quarter_hour,14,16,3.950617283950617,24.57600403193187,22.520113326050016,49.157688872985084,38.83661885010878,93.75,25.907551057030602,-19.8457556326021,210.0,31.25
quarter_hour,15,18,4.444444444444445,13.251148121701965,12.987872672735385,inf,inf,100.0,9.90164971145371,-13.80797940039164,117.5,11.11111111111111
quarter_hour,16,17,4.197530864197531,13.769954518480564,12.064133242523928,6.463943489026588,4.734523747240492,70.58823529411765,16.950976500166842,-22.994618297925932,215.0,52.94117647058824
quarter_hour,17,15,3.7037037037037033,17.63008120247719,17.118310699928223,inf,inf,100.0,15.005615611388123,-13.522162622388755,190.0,20.0
quarter_hour,18,12,2.9629629629629632,11.494387053436418,10.136804685585696,7.41268237574066,6.029333157056004,83.33333333333334,10.414772158545146,-18.043214739239616,230.0,41.66666666666667
quarter_hour,19,19,4.691358024691358,13.703411871070132,12.504600193416067,8.712902929767969,7.561012198514852,89.47368421052632,17.35404526999947,-15.201837152601684,217.5,57.89473684210527
quarter_hour,20,19,4.691358024691358,17.279145333864935,16.276110372733918,19.429436924973967,17.66301769806451,89.47368421052632,19.426153537638676,-14.411334625023514,175.0,36.84210526315789
quarter_hour,21,15,3.7037037037037033,10.135010291460867,9.378039525865828,7.516759212294793,6.253914925500321,73.33333333333333,12.059121679415544,-21.67449503325372,90.0,66.66666666666666
quarter_hour,22,9,2.2222222222222223,11.653401647388355,10.568386998195681,11.300413186902219,8.594880103814313,77.77777777777779,12.344318395058842,-14.981041641604799,175.0,33.33333333333333
quarter_hour,23,24,5.9259259259259265,8.285358784178928,7.923508842218098,3.5843104822548875,3.3438841815019233,70.83333333333334,11.6880574798337,-15.218110902486924,140.0,70.83333333333334
quarter_hour,24,4,0.9876543209876543,6.4203501962788145,4.88976364504893,6.807512075033976,5.1904993157619375,75.0,11.213490331405708,-20.300010202866105,55.0,75.0
quarter_hour,25,7,1.728395061728395,-12.782209219731499,-12.86073470597665,0.03187745968755137,0.03589493250378801,14.285714285714285,-3.5645571384629413,-21.721390924505474,60.0,85.71428571428571
quarter_hour,26,10,2.4691358024691357,-5.695154388315883,-6.276014671928235,0.27934717300641015,0.2239911748973502,40.0,2.620715625099977,-20.467374305445055,,100.0
quarter_hour,27,6,1.4814814814814816,2.2830408085981095,1.6072298086372847,1.5596171444565392,1.4028623263401947,66.66666666666666,7.03887782422029,-17.963184312560657,,100.0
quarter_hour,28,2,0.49382716049382713,6.217689406232617,5.072215040823746,2.287626863015821,1.8463455698166495,50.0,21.853325459586394,-25.761539559463735,45.0,50.0
quarter_hour,29,10,2.4691358024691357,29.902766195673887,27.688690032131916,11.48488858504094,10.631095646055815,80.0,23.709487861876212,-10.2,10.0,60.0
quarter_hour,30,3,0.7407407407407408,-2.1220207502309094,-2.6211503078827847,0.6754639604211082,0.5960197586557366,66.66666666666666,7.913555352226794,-14.716827798514164,,100.0
quarter_hour,31,8,1.9753086419753085,11.71136378982261,10.848929013063497,5.583445911958351,4.921642291701589,62.5,16.309322490975255,-14.636271884438756,65.0,87.5
