model,threshold,notional_usd,median_executable_residual_pct,rejection_rate_pct,median_weight_distortion_pct,median_pnl_ratio_exec_vs_model
TB-B,1.5,5000,15.773354998843747,0.0,20.667382380543227,0.8121050602956408
TB-B,1.5,10000,5.213400828238385,0.0,7.630024612189342,1.0491962179718062
TB-B,1.5,25000,1.1620138851542023,0.0,1.677085755718231,0.996598376999896
TB-B,1.5,50000,0.4524939576617085,0.0,0.6499809458581701,0.9913956676335192
TB-B,1.5,100000,0.3737561563676223,0.0,0.5448438592138025,0.998465308881155
TB-B,1.75,5000,15.581736780937142,0.0,20.386066630612536,0.8058822313071037
TB-B,1.75,10000,5.2003392536438104,0.0,7.605834333715346,1.053070959521974
TB-B,1.75,25000,1.1729145716885814,0.0,1.6894305692115592,0.9962306805916673
TB-B,1.75,50000,0.4487400687295514,0.0,0.6544509493553099,0.9916137171681805
TB-B,1.75,100000,0.3695699777117948,0.0,0.529823195512321,0.9983854500646683
TB-B,2.0,5000,15.984853953317844,0.0,20.97929882608815,0.8050332682150934
TB-B,2.0,10000,5.170476741514353,0.0,7.553098779721686,1.0553523236954736
TB-B,2.0,25000,1.1739515485548757,0.0,1.6950484135737631,0.9964115745438481
TB-B,2.0,50000,0.4546545295969445,0.0,0.6548887596174088,0.9918957384506212
TB-B,2.0,100000,0.37034988360019855,0.0,0.5276134912709939,0.9981354555619768
TB-B,2.25,5000,15.896074999514354,0.0,20.912163778412616,0.8041706716719457
TB-B,2.25,10000,5.154314978056264,0.0,7.526460357380779,1.0561667242647368
TB-B,2.25,25000,1.1940452454496295,0.0,1.7212394203703307,0.9960788749003613
TB-B,2.25,50000,0.4599264311144785,0.0,0.6647063200564558,0.991983183376064
TB-B,2.25,100000,0.37893948344091954,0.0,0.5409229823947315,0.9981286345411773
TB-B,2.5,5000,16.08531782031476,0.0,21.229324400712272,0.8007082971262813
TB-B,2.5,10000,5.112473334475435,0.0,7.4830800071662775,1.0648705335060975
TB-B,2.5,25000,1.200824823322327,0.0,1.7036799637771844,0.996250155722777
TB-B,2.5,50000,0.47594851949883066,0.0,0.6812017106231402,0.9932037070923982
TB-B,2.5,100000,0.3731496813526374,0.0,0.5351748752712745,0.9994884188306266
TB-B,2.75,5000,15.869695686268075,0.0,20.94395541826437,0.8035916265813254
TB-B,2.75,10000,5.122572529380412,0.0,7.503414812324602,1.0591826708311682
TB-B,2.75,25000,1.1586094367774953,0.0,1.659213634470857,0.9965238856817262
TB-B,2.75,50000,0.48824185774066475,0.0,0.7060310013566071,0.9927727254454768
TB-B,2.75,100000,0.3707292803688829,0.0,0.5212555205512055,1.0001536882833073
TB-B,3.0,5000,15.864180653673381,0.0,21.01605251966548,0.7974294027071013
TB-B,3.0,10000,5.178708349507227,0.0,7.513030723788008,1.0618662702630814
TB-B,3.0,25000,1.1793191837979404,0.0,1.6758970043146824,0.9966245052417195
TB-B,3.0,50000,0.47651239255113076,0.0,0.6915148005717808,0.9908037590625164
TB-B,3.0,100000,0.3783431678443941,0.0,0.5505525247112136,0.9992039012979752
TB-B,3.25,5000,16.148210145683848,0.0,21.3147036116625,0.8037503922241349
TB-B,3.25,10000,5.154077324379011,0.0,7.510771199267333,1.048036355786933
TB-B,3.25,25000,1.181862435341737,0.0,1.6893843232670034,0.993570165262883
TB-B,3.25,50000,0.512913513217808,0.0,0.7209473363285281,0.9909882848327953
TB-B,3.25,100000,0.3736819456420431,0.0,0.5418309794136411,1.0001357956549053
TB-B,3.5,5000,15.563747104466133,0.0,20.62194285211094,0.7976406300330352
TB-B,3.5,10000,4.906414908556664,0.0,7.155970161390071,1.0535133692421854
TB-B,3.5,25000,1.1698025212877983,0.0,1.6722539339823521,0.9946161104692529
TB-B,3.5,50000,0.45545524446145913,0.0,0.6250710095508982,0.9897284274856875
TB-B,3.5,100000,0.387194690317252,0.0,0.539305082034644,1.0004992171301885
TB-B,3.75,5000,16.3918939386984,0.0,21.67483523265453,0.7895151227151572
TB-B,3.75,10000,4.906414908556664,0.0,7.147718526290611,1.0556214639709292
TB-B,3.75,25000,1.1672212058859077,0.0,1.6749694600085518,0.9946161104692529
TB-B,3.75,50000,0.44017938023304565,0.0,0.6005829744702328,0.9898088788721352
TB-B,3.75,100000,0.396212348441762,0.0,0.5425881090741097,0.999923956450946
TB-B,4.0,5000,9.135922943952972,0.0,12.745079954962948,0.7890112405634132
TB-B,4.0,10000,5.264188745708908,0.0,7.605019052452692,1.0545674166065573
TB-B,4.0,25000,1.1895543778843796,0.0,1.6960408544573677,0.9923416914365114
TB-B,4.0,50000,0.4519115720327499,0.0,0.6316204478999827,0.9882803933191995
TB-B,4.0,100000,0.4068462062344671,0.0,0.5512106662580533,1.0002115867905672
TB-C-5%,1.5,5000,16.60762578009057,0.0,16.069151088475934,0.8653862681188886
TB-C-5%,1.5,10000,8.65576440364128,0.0,6.563501448294602,0.9214279091246645
TB-C-5%,1.5,25000,5.4094172526738555,0.0,2.791309639864617,1.0057592043999792
TB-C-5%,1.5,50000,5.70305078636679,0.0,2.394073973495896,1.0032453765713822
TB-C-5%,1.5,100000,5.317583457186668,0.0,1.1742448329098314,0.9999028290653696
TB-C-5%,1.75,5000,16.602230198898297,0.0,16.047374739850014,0.8617046708934823
TB-C-5%,1.75,10000,8.712870609939394,0.0,6.715718325578498,0.9206196122893864
TB-C-5%,1.75,25000,5.4571747895686515,0.0,2.7802764165663216,1.00508831771719
TB-C-5%,1.75,50000,5.692404549502222,0.0,2.367408736864107,1.0026596838295174
TB-C-5%,1.75,100000,5.326388999793714,0.0,1.1777398811131392,0.9995603891393741
TB-C-5%,2.0,5000,16.651332798578,0.0,16.103057880794022,0.8527087429914991
TB-C-5%,2.0,10000,8.65288572890122,0.0,6.735541992232619,0.9237118057614766
TB-C-5%,2.0,25000,5.348447664857792,0.0,2.8118508678896506,1.0050038407372344
TB-C-5%,2.0,50000,5.697264876552052,0.0,2.3981527451542712,1.0032453765713822
TB-C-5%,2.0,100000,5.321565226774479,0.0,1.1709117921970529,0.9995525987978053
TB-C-5%,2.25,5000,16.663428112386725,0.0,16.122255215425213,0.848114455533841
TB-C-5%,2.25,10000,8.758165585223013,0.0,6.843634914295535,0.9107351381674278
TB-C-5%,2.25,25000,5.362100101916539,0.0,2.818575215741623,1.0030739873916317
TB-C-5%,2.25,50000,5.773820811124624,0.0,2.4221623946213193,1.0014400302751083
TB-C-5%,2.25,100000,5.3210747195742645,0.0,1.1609713059474767,0.9978325707215686
TB-C-5%,2.5,5000,16.698609078683766,0.0,16.18848986749327,0.8389369610488158
TB-C-5%,2.5,10000,8.402407126251273,0.0,6.7481233331825985,0.9285314756321844
TB-C-5%,2.5,25000,5.341564198866618,0.0,2.788054609512197,1.0058794909793476
TB-C-5%,2.5,50000,5.810842782414398,0.0,2.464468458257963,1.0016678615566852
TB-C-5%,2.5,100000,5.282206882640389,0.0,1.1401317554211383,0.9974818180707101
TB-C-5%,2.75,5000,16.678354787172303,0.0,16.17717962974458,0.8437641182265591
TB-C-5%,2.75,10000,8.149258732975955,0.0,6.393579183521843,0.919148583092458
TB-C-5%,2.75,25000,5.012272618187599,0.0,2.7905362529872453,1.008560056508613
TB-C-5%,2.75,50000,5.67771280440239,0.0,2.3759659179641144,1.0057969665036417
TB-C-5%,2.75,100000,5.277607680843246,0.0,1.1245020953195635,0.9978850609065226
TB-C-5%,3.0,5000,16.67944288242428,0.0,16.200563809061496,0.8376154053547882
TB-C-5%,3.0,10000,8.383069158725789,0.0,6.659209708854345,0.9002281628653976
