kind,label,model,N,expectancy_pips,profit_factor,win_rate_pct,net_pips,max_dd_pips
year,year=2022,TB-A,51,15.09191558334381,3.3388129416774435,70.58823529411765,769.6876947505343,-109.05980392886454
year,year=2022,TB-B,51,23.841004685334383,12.284361863754715,84.31372549019608,1215.8912389520535,-32.68347531022005
year,year=2022,TB-C-2.5%,51,23.309493848212277,11.24228482493368,84.31372549019608,1188.7841862588261,-36.30733600750307
year,year=2022,TB-C-5%,51,22.75692732151251,10.310567944552885,82.35294117647058,1160.603293397138,-39.85788571179887
year,year=2022,TB-C-7.5%,51,22.164761478226012,9.434326357337724,80.3921568627451,1130.4028353895267,-43.4149599390978
year,year=2022,TB-C-10%,51,21.543855584202095,8.601692736235668,80.3921568627451,1098.7366347943068,-46.97258907537446
year,year=2023,TB-A,127,10.96042156952382,4.055797918686011,73.22834645669292,1391.9735393295252,-109.66577285322978
year,year=2023,TB-B,127,20.143237669812823,17.958832401302985,85.03937007874016,2558.1911840662287,-25.405248051420926
year,year=2023,TB-C-2.5%,127,19.53451742591559,16.615145329638693,85.03937007874016,2480.88371309128,-26.781632460149922
year,year=2023,TB-C-5%,127,18.923131244061288,15.34462325672147,84.25196850393701,2403.237667995784,-30.934904598830116
year,year=2023,TB-C-7.5%,127,18.316413084449998,14.134995415611096,84.25196850393701,2326.18446172515,-36.509825227224695
year,year=2023,TB-C-10%,127,17.703237258137502,12.883047151503447,83.46456692913385,2248.3111317834628,-42.93830565325149
year,year=2024,TB-A,92,7.212345749531481,3.439118519627751,70.65217391304348,663.5358089568963,-74.9960683270163
year,year=2024,TB-B,92,16.442026821469348,30.968178114619,92.3913043478261,1512.66646757518,-17.490604680364925
year,year=2024,TB-C-2.5%,92,15.830142801829487,29.432283350045456,92.3913043478261,1456.3731377683127,-16.863735754518643
year,year=2024,TB-C-5%,92,15.220023910637073,27.93247178834323,93.47826086956522,1400.2421997786107,-16.229727485041735
year,year=2024,TB-C-7.5%,92,14.628363595073866,26.37719505680336,93.47826086956522,1345.8094507467956,-15.602653085542215
year,year=2024,TB-C-10%,92,14.043190416995172,24.761113182360408,92.3913043478261,1291.9735183635557,-16.45552835405556
year,year=2025,TB-A,91,4.3685303397184745,1.7225481570905712,67.03296703296702,397.5362609143812,-132.9626867878464
year,year=2025,TB-B,91,14.553614152079275,8.24953472045328,84.61538461538461,1324.378887839214,-35.42934696866121
year,year=2025,TB-C-2.5%,91,13.919770175260672,7.605135987313716,83.51648351648352,1266.6990859487212,-36.73444130432824
year,year=2025,TB-C-5%,91,13.292639339498914,7.017918498257069,83.51648351648352,1209.6301798944012,-38.0367042135091
year,year=2025,TB-C-7.5%,91,12.667781589906221,6.429383119569503,82.41758241758241,1152.7681246814661,-39.33504938665146
year,year=2025,TB-C-10%,91,12.047583263662458,5.86035429556554,80.21978021978022,1096.3300769932837,-40.631299394793814
year,year=2026,TB-A,44,7.20653562542146,2.121814159819053,70.45454545454545,317.08756751854423,-54.72860106607086
year,year=2026,TB-B,44,14.156064161114854,5.387485966256825,79.54545454545455,622.8668230890536,-30.610856686046134
year,year=2026,TB-C-2.5%,44,13.553051993632208,5.027085728620708,77.27272727272727,596.3342877198171,-32.87714342272642
year,year=2026,TB-C-5%,44,12.993501139527705,4.713054098241721,77.27272727272727,571.714050139219,-33.82613450326943
year,year=2026,TB-C-7.5%,44,12.431700701811826,4.368668965911902,75.0,546.9948308797203,-34.01924680066912
year,year=2026,TB-C-10%,44,11.872163833843825,4.051086241036912,75.0,522.3752086891283,-34.19050953410175
quarter,quarter=2022-Q3,TB-A,7,4.2512969418834485,1.4767199249587672,57.14285714285714,29.759078593184142,-38.67315171564293
quarter,quarter=2022-Q3,TB-B,7,13.086194404886399,8.942162810820586,71.42857142857143,91.60336083420479,-9.657593768842943
quarter,quarter=2022-Q3,TB-C-2.5%,7,12.471881963716351,7.751138885591028,71.42857142857143,87.30317374601445,-10.75241697942974
quarter,quarter=2022-Q3,TB-C-5%,7,11.83045954953072,6.723316689848238,71.42857142857143,82.81321684671505,-11.985510724503897
quarter,quarter=2022-Q3,TB-C-7.5%,7,11.189499356835396,5.893262122179899,71.42857142857143,78.32649549784777,-13.21929376349729
quarter,quarter=2022-Q3,TB-C-10%,7,10.548684645828738,5.210146287037215,71.42857142857143,73.84079252080116,-14.448273863917692
quarter,quarter=2022-Q4,TB-A,44,16.816559458121592,3.7747116495095634,72.72727272727273,739.9286161573501,-109.0598039288646
quarter,quarter=2022-Q4,TB-B,44,25.551997229951102,12.685003663979622,86.36363636363636,1124.2878781178485,-32.68347531022005
quarter,quarter=2022-Q4,TB-C-2.5%,44,25.03365937529118,11.68002483214609,86.36363636363636,1101.481012512812,-36.30733600750307
quarter,quarter=2022-Q4,TB-C-5%,44,24.495229012509615,10.781644360004641,84.0909090909091,1077.790076550423,-39.85788571179887
quarter,quarter=2022-Q4,TB-C-7.5%,44,23.910825906629064,9.914611541148115,81.81818181818183,1052.0763398916788,-43.4149599390978
quarter,quarter=2022-Q4,TB-C-10%,44,23.29308732439785,9.070068509008479,81.81818181818183,1024.8958422735054,-46.97258907537446
quarter,quarter=2023-Q1,TB-A,38,12.56259278428236,4.476158923346711,73.68421052631578,477.3785258027297,-66.91528215823249
quarter,quarter=2023-Q1,TB-B,38,21.88002284878022,16.494323969197342,84.21052631578947,831.4408682536484,-22.70075212358205
quarter,quarter=2023-Q1,TB-C-2.5%,38,21.097942106492756,14.821807308466198,84.21052631578947,801.7218000467248,-26.781632460149922
quarter,quarter=2023-Q1,TB-C-5%,38,20.318583742435635,13.361771123098533,84.21052631578947,772.1061822125541,-30.934904598830116
quarter,quarter=2023-Q1,TB-C-7.5%,38,19.542264904525318,11.867288560797594,84.21052631578947,742.6060663719621,-36.509825227224695
quarter,quarter=2023-Q1,TB-C-10%,38,18.779411814150667,10.506789855268199,84.21052631578947,713.6176489377253,-42.93830565325149
quarter,quarter=2023-Q2,TB-A,28,15.525329068490445,16.256797387566866,82.14285714285714,434.7092139177324,-22.33179449268698
