model,ev_ci_lo,ev_ci_hi,pf_ci_lo,pf_ci_hi,wr_ci_lo,wr_ci_hi,dd_p5_block,dd_p95_block,streak_p95_block,top1pct_of_abs_pnl,top5pct_of_abs_pnl,top10pct_of_abs_pnl
TB-A,6.660708828468374,10.690480375556524,2.163671730845797,3.861000590879367,0.6617283950617284,0.7481481481481481,-170.8932526689284,-107.05304434727844,5.0,3.9727069270375197,15.415592405993046,26.639598935553295
TB-B,15.899451401932867,19.838619077597105,8.824504025378486,18.130955426745608,0.8246913580246914,0.8938271604938272,-43.80571009050671,-31.09209825979474,3.0,4.5828346161921445,16.813416427690882,28.00074474324577
TB-C-2.5%,15.33407447714224,19.234180207272896,8.331589706229202,16.635960644283728,0.8197530864197531,0.8864197530864197,-44.055271291059924,-31.78549512573511,3.0,4.519474599631881,16.614210757078034,27.717488761699567
TB-C-5%,14.801427747510363,18.560410601847252,7.638811476611925,15.575812688590698,0.817283950617284,0.8839506172839506,-47.58328038681618,-32.67312117985307,3.0,4.443346161256268,16.396757883707956,27.424556297807072
TB-C-7.5%,14.248228522488965,17.903637798624075,7.162315624993884,14.2360576502331,0.8074074074074075,0.8790123456790123,-49.26954419846906,-36.50982522722461,3.0,4.356806963559848,16.15282174516195,27.20620517740784
TB-C-10%,13.563780474551738,17.296609335380033,6.522327555685341,12.811202230496848,0.7975308641975308,0.8716049382716049,-54.162617690809704,-40.63129939479404,4.0,4.259905329293426,15.875306307858947,26.997345955137362
