model,year,N,expectancy_pips,profit_factor,win_rate_pct,max_dd_pips,cost_drag_pips,flag
TB-A,2022,51,15.09191558334381,3.3388129416774435,70.58823529411765,-109.05980392886454,520.1999999999999,OK
TB-A,2023,127,10.96042156952382,4.055797918686011,73.22834645669292,-109.66577285322978,1295.3999999999999,OK
TB-A,2024,92,7.212345749531481,3.439118519627751,70.65217391304348,-74.9960683270163,938.4,OK
TB-A,2025,91,4.3685303397184745,1.7225481570905712,67.03296703296702,-132.9626867878464,928.1999999999999,OK
TB-A,2026,44,7.20653562542146,2.121814159819053,70.45454545454545,-54.72860106607086,448.79999999999995,OK
TB-B,2022,51,23.841004685334383,12.284361863754715,84.31372549019608,-32.68347531022005,520.1999999999999,OK
TB-B,2023,127,20.143237669812823,17.958832401302985,85.03937007874016,-25.405248051420926,1295.3999999999999,OK
TB-B,2024,92,16.442026821469348,30.968178114619,92.3913043478261,-17.490604680364925,938.4,OK
TB-B,2025,91,14.553614152079275,8.24953472045328,84.61538461538461,-35.42934696866121,928.1999999999999,OK
TB-B,2026,44,14.156064161114854,5.387485966256825,79.54545454545455,-30.610856686046134,448.79999999999995,OK
TB-C-2.5%,2022,51,23.309493848212277,11.24228482493368,84.31372549019608,-36.30733600750307,520.1999999999999,OK
TB-C-2.5%,2023,127,19.53451742591559,16.615145329638693,85.03937007874016,-26.781632460149922,1295.3999999999999,OK
TB-C-2.5%,2024,92,15.830142801829487,29.432283350045456,92.3913043478261,-16.863735754518643,938.4,OK
TB-C-2.5%,2025,91,13.919770175260672,7.605135987313716,83.51648351648352,-36.73444130432824,928.1999999999999,OK
TB-C-2.5%,2026,44,13.553051993632208,5.027085728620708,77.27272727272727,-32.87714342272642,448.79999999999995,OK
TB-C-5%,2022,51,22.75692732151251,10.310567944552885,82.35294117647058,-39.85788571179887,520.1999999999999,OK
TB-C-5%,2023,127,18.923131244061288,15.34462325672147,84.25196850393701,-30.934904598830116,1295.3999999999999,OK
TB-C-5%,2024,92,15.220023910637073,27.93247178834323,93.47826086956522,-16.229727485041735,938.4,OK
TB-C-5%,2025,91,13.292639339498914,7.017918498257069,83.51648351648352,-38.0367042135091,928.1999999999999,OK
TB-C-5%,2026,44,12.993501139527705,4.713054098241721,77.27272727272727,-33.82613450326943,448.79999999999995,OK
TB-C-7.5%,2022,51,22.164761478226012,9.434326357337724,80.3921568627451,-43.4149599390978,520.1999999999999,OK
TB-C-7.5%,2023,127,18.316413084449998,14.134995415611096,84.25196850393701,-36.509825227224695,1295.3999999999999,OK
TB-C-7.5%,2024,92,14.628363595073866,26.37719505680336,93.47826086956522,-15.602653085542215,938.4,OK
TB-C-7.5%,2025,91,12.667781589906221,6.429383119569503,82.41758241758241,-39.33504938665146,928.1999999999999,OK
TB-C-7.5%,2026,44,12.431700701811826,4.368668965911902,75.0,-34.01924680066912,448.79999999999995,OK
TB-C-10%,2022,51,21.543855584202095,8.601692736235668,80.3921568627451,-46.97258907537446,520.1999999999999,OK
TB-C-10%,2023,127,17.703237258137502,12.883047151503447,83.46456692913385,-42.93830565325149,1295.3999999999999,OK
TB-C-10%,2024,92,14.043190416995172,24.761113182360408,92.3913043478261,-16.45552835405556,938.4,OK
TB-C-10%,2025,91,12.047583263662458,5.86035429556554,80.21978021978022,-40.631299394793814,928.1999999999999,OK
TB-C-10%,2026,44,11.872163833843825,4.051086241036912,75.0,-34.19050953410175,448.79999999999995,OK
