engine,entry_z,model,n_trades,expectancy_pips,profit_factor,win_rate_pct,net_pips,max_dd_pips,mfe_median_pips,mae_median_pips,avg_hold_hours,capital_hours,pips_per_capital_hour,break_even_mult,break_even_bound,weak_years,basis_share_pct,ev_diff_ci,perm_p,block_ev_d_c_h,holdout_ok,top5_ok,cap_time_better
E0,2.5,TB-B,405,17.861715162922984,12.415090240310063,85.92592592592592,7233.9946409838085,-35.42934684982811,17.69600923378128,-15.682475508679317,3.3969135802469137,1375.75,5.258218892228827,2.751148545384606,2.75x,,103.67957592383372,"[0.0, 0.0]",1.0,"[0.0, 0.0, 0.0]",False,False,False
E0,2.5,TB-C-2.5%,405,17.25627995753863,11.493062884258157,85.4320987654321,6988.7933828031455,-36.73910760322178,17.007030982443183,-15.583318578593094,3.3969135802469137,1375.75,5.0799879213542765,2.6917921526998656,2.69x,,103.11254612076375,"[0.0, 0.0]",1.0,"[0.0, 0.0, 0.0]",False,False,False
E0,2.5,TB-C-5%,405,16.654718570383938,10.647386096902334,85.18518518518519,6745.161021005495,-39.86452005414196,16.488519698127238,-15.85478403092198,3.3969135802469137,1375.75,4.90289734399818,2.6328155461160723,2.63x,,102.50429790056157,"[0.0, 0.0]",1.0,"[0.0, 0.0, 0.0]",False,False,False
E0,2.5,TB-C-10%,405,15.449942212249942,8.971075904523847,83.4567901234568,6257.226595961227,-46.97947642270026,15.963172231398463,-16.458424251318238,3.3969135802469137,1375.75,4.548229399208597,2.5147002168872494,2.51x,,101.40941766181959,"[0.0, 0.0]",1.0,"[0.0, 0.0, 0.0]",False,False,False
E0,3.0,TB-B,194,23.06889402717199,18.049054616216495,88.14432989690721,4475.365441271366,-35.42934684982856,21.747294786150885,-14.918533556026018,3.3530927835051547,650.5,6.8798853824310005,,>=3.0,,103.09638381290553,"[0.0, 0.0]",1.0,"[0.0, 0.0, 0.0]",False,False,False
E0,3.0,TB-C-2.5%,194,22.340797194219572,16.791985259624656,87.11340206185567,4334.114655678597,-36.73910760322178,21.018484701244674,-14.75650814028242,3.3530927835051547,650.5,6.6627435137257445,,>=3.0,,102.57245272769005,"[0.0, 0.0]",1.0,"[0.0, 0.0, 0.0]",False,False,False
E0,3.0,TB-C-5%,194,21.60663600886684,15.524165409612829,86.5979381443299,4191.687385720167,-39.86452005414202,20.71302212487958,-15.026432761573318,3.3530927835051547,650.5,6.44379306029234,,>=3.0,,102.0606515056397,"[0.0, 0.0]",1.0,"[0.0, 0.0, 0.0]",False,False,False
E0,3.0,TB-C-10%,194,20.152132671206296,12.598418095260183,83.50515463917526,3909.5137382140215,-47.807901953330884,19.66851182690725,-15.274261184990298,3.3530927835051547,650.5,6.010013433073054,2.975699281490814,2.98x,,101.17261600889537,"[0.0, 0.0]",1.0,"[0.0, 0.0, 0.0]",False,False,False
E1,2.5,TB-B,402,19.60456659968997,13.399085526922946,85.3233830845771,7881.0357730753685,-35.42934684982811,18.70265607529448,-15.722006223864613,3.6511194029850746,1467.75,5.369467397768944,2.9220163333029388,2.92x,,103.66375736758857,"[1.0549749551509873, 2.149941448167465]",0.0,"[1.6921272862482013, 1.9002312098080356, 1.758436597291988]",True,True,True
E1,2.5,TB-C-2.5%,402,18.96138040255882,12.40714477294382,84.82587064676616,7622.474921828645,-36.73910760322178,18.067062332801974,-15.584238230151456,3.6511194029850746,1467.75,5.193306027476508,2.858958862995963,2.86x,,103.09216135213335,"[1.0291674972846223, 2.098092824132133]",0.0,"[1.63191430876293, 1.8986859344453961, 1.7505659469154171]",True,True,True
E1,2.5,TB-C-5%,402,18.323983354673373,11.497214600261882,84.32835820895522,7366.241308578696,-39.86452005414196,17.715828473480656,-16.108201160660315,3.6511194029850746,1467.75,5.018730239195159,2.7964689563405267,2.80x,,102.47390155884904,"[1.0077150324377024, 2.0595664459362664]",0.0,"[1.575124937985926, 1.8972443916412214, 1.741755444389666]",True,True,True
E1,2.5,TB-C-10%,402,17.048748071039817,9.678171276202523,82.58706467661692,6853.596724558007,-48.43381367299537,17.165987788899727,-16.462761692815338,3.6511194029850746,1467.75,4.669457826304212,2.671445889317629,2.67x,,101.35737800680398,"[0.9522169083700268, 1.9910540579884037]",0.0,"[1.475698259604929, 1.8844445538066825, 1.6982510858622923]",True,True,True
E1,3.0,TB-B,194,24.85965159373957,19.025519043527712,87.11340206185567,4822.772409185477,-35.42934684982856,22.876928618162083,-14.985057633914092,3.6391752577319587,706.0,6.83112239261399,,>=3.0,,102.93777892064384,"[1.009853315820915, 2.595557221054433]",0.0,"[1.4885557007996333, 2.1886602520590905, 2.2716328122962075]",True,True,False
E1,3.0,TB-C-2.5%,194,24.09376391251018,17.69286575194164,86.08247422680412,4674.190199026975,-40.789169472362516,22.185743560578132,-15.17263494357477,3.6391752577319587,706.0,6.6206660042875,,>=3.0,,102.40382886587645,"[0.9940387563176503, 2.53342279983712]",0.0,"[1.4170431577731044, 2.2003588733145776, 2.2825396036300702]",True,True,False
E1,3.0,TB-C-5%,194,23.32159531761623,16.3533681399973,85.56701030927834,4524.389491617549,-47.93865373295131,21.674086678369058,-15.269248087969281,3.6391752577319587,706.0,6.408483699174998,,>=3.0,,101.88737643989796,"[0.9747838975621301, 2.4935119947931224]",0.0,"[1.3465675509088655, 2.2079930519016493, 2.293377712967441]",True,True,False
E1,3.0,TB-C-10%,194,21.7982064333143,13.286037064734774,82.4742268041237,4228.852048062974,-62.23762225412872,21.046625558516414,-15.708428183344932,3.6391752577319587,706.0,5.9898754221855155,,>=3.0,,100.97728523232774,"[0.9354576506295718, 2.408217979018246]",0.0,"[1.2309607849407804, 2.2292497255390344, 2.270927007118523]",True,True,False
E3,2.5,TB-B,418,17.630945505915196,7.389617865134046,81.57894736842105,7369.7352214725515,-80.25620617019513,18.670033964522148,-15.528026853697687,3.452751196172249,1443.25,5.106346940220026,2.728524069207372,2.73x,,103.82735341172318,"[-0.5343686787596872, 1.1531108544516064]",0.449,"[-0.7064951584897763, 0.10266378014476096, 0.8326154790743487]",True,True,False
E3,2.5,TB-C-2.5%,418,17.03318975322292,6.976811132097179,80.86124401913875,7119.873316847181,-82.35757476376375,17.886656196954583,-15.433268244649243,3.452751196172249,1443.25,4.933222461006188,2.6699205640414627,2.67x,,103.26054343839381,"[-0.52808888070265, 1.1195477825858524]",0.455,"[-0.7012429730681013, 0.1290275354930781, 0.8285316044247875]",True,True,False
