entry_z,z_lo,z_hi,age_lo,age_hi,n,p_convergence_pct,ci_lo_pct,ci_hi_pct,e_remaining_pnl
2.5,0.0,2.5,0,30.0,1151,68.2015638575152,65.45440233039139,70.82762976820982,20.152316466748875
2.5,0.0,2.5,30,60.0,1704,69.19014084507043,66.95677560936491,71.3371738997699,19.462117584831613
2.5,0.0,2.5,60,120.0,3445,66.93759071117562,65.34853106854904,68.48891742430145,18.848794105234074
2.5,2.5,3.0,0,30.0,557,66.42728904847397,62.40471671180576,70.22481718867523,31.01438538235241
2.5,3.0,3.5,0,30.0,203,58.128078817733986,51.25198385542396,64.70225359004156,30.813355630834284
2.5,3.5,4.0,30,60.0,57,50.877192982456144,38.25968032903235,63.38393193625982,37.47810141400128
2.5,3.0,3.5,30,60.0,195,51.7948717948718,44.814785462857415,58.70560463659865,34.82827472047447
2.5,2.5,3.0,60,120.0,492,44.51219512195122,40.18006193178803,48.92936333628145,31.892908475888103
2.5,0.0,2.5,120,180.0,3075,62.89430894308943,61.17171488783975,64.58472545647676,19.315324359346334
2.5,0.0,2.5,180,240.0,2319,62.26821905993963,60.27661385975398,64.21924500552552,17.180538779419194
2.5,0.0,2.5,240,360.0,1781,52.94778214486243,50.62579346662295,55.257081517913484,9.581262689419404
2.5,2.5,3.0,30,60.0,365,56.986301369863014,51.8602985387545,61.96677519696293,30.181211070654705
2.5,3.5,4.0,60,120.0,43,55.81395348837209,41.10735806551171,69.56691437607867,42.24841384621896
2.5,3.0,3.5,60,120.0,180,47.77777777777778,40.60343903442582,55.04498874253001,32.676635579240994
2.5,3.5,4.0,0,30.0,60,55.00000000000001,42.4917145489815,66.90654614623918,35.5685554991053
2.5,3.0,3.5,120,180.0,59,52.54237288135594,40.03957675731271,64.73433097259868,36.63008921549358
2.5,2.5,3.0,120,180.0,190,36.31578947368421,29.811439339814527,43.36253363605855,32.564151462241384
2.5,4.0,4.5,0,30.0,18,33.33333333333333,16.27855436366286,56.25093065574964,38.19953038864556
2.5,3.5,4.0,120,180.0,15,33.33333333333333,15.176100694691236,58.28687484878701,34.75383011321504
2.5,2.5,3.0,180,240.0,67,19.402985074626866,11.705063857457096,30.41933762415822,24.15069836937596
2.5,0.0,2.5,360,inf,439,35.53530751708428,31.20119797336035,40.120376151563775,7.966257051353126
2.5,4.0,4.5,30,60.0,20,50.0,29.92949144298199,70.070508557018,37.26867672982242
2.5,2.5,3.0,240,360.0,25,20.0,8.860454100652488,39.131335536538245,24.239975434217886
3.0,3.0,3.5,0,30.0,247,53.84615384615385,47.61764535158699,59.95685584757615,33.41203097653353
3.0,3.5,4.0,0,30.0,87,55.172413793103445,44.7243599475858,65.18299527292992,35.34857032691498
3.0,3.0,3.5,30,60.0,145,46.89655172413793,38.95899608251937,54.99430729503098,32.5875536688964
3.0,3.5,4.0,30,60.0,37,56.75675675675676,40.91390633420072,71.3285131596487,41.52754834015046
3.0,2.5,3.0,30,60.0,245,53.87755102040816,47.62363597634619,60.011743317148145,31.19691443159677
3.0,2.5,3.0,60,120.0,266,42.10526315789473,36.325580006571045,48.10973315492815,31.39030100755851
3.0,0.0,2.5,60,120.0,1578,64.63878326996198,62.24691247112458,66.95955169064737,21.979717279994002
3.0,0.0,2.5,120,180.0,1485,64.64646464646465,62.179976581445665,67.0373693067939,20.770382838336452
3.0,0.0,2.5,180,240.0,1155,63.8095238095238,60.996526779879325,66.53096274069017,17.769683054147478
3.0,2.5,3.0,0,30.0,309,67.31391585760518,61.899062518724115,72.30354992156516,32.14393536914266
3.0,0.0,2.5,30,60.0,642,71.18380062305296,67.56249552413063,74.55309442857605,22.022888518878755
3.0,0.0,2.5,0,30.0,260,78.07692307692308,72.65915333353045,82.6770787087252,20.227668738854387
3.0,3.0,3.5,60,120.0,98,47.95918367346938,38.332963929572585,57.739368005510926,35.25463986011142
3.0,3.0,3.5,120,180.0,31,54.83870967741935,37.771879603669134,70.83851716341388,36.77785522076422
3.0,2.5,3.0,120,180.0,95,43.15789473684211,33.6556700478959,53.19197304974721,36.87684922814751
3.0,4.0,4.5,0,30.0,28,42.857142857142854,26.50829618073122,60.929521014384605,37.89394446263674
3.0,0.0,2.5,240,360.0,777,44.01544401544402,40.562902806586656,47.52687109890198,9.30035940447818
3.0,3.5,4.0,60,120.0,21,57.14285714285714,36.546216297032444,75.53030051347895,54.82686739301709
3.0,2.5,3.0,180,240.0,36,11.11111111111111,4.406568908741834,25.31512901503632,24.556784306507268
3.0,0.0,2.5,360,inf,191,17.801047120418847,13.027312726381679,23.844484672120487,7.015055366574231
3.0,2.5,3.0,240,360.0,17,23.52941176470588,9.55488907167594,47.262245889171595,23.719615638438675
