model,sum_basis_pnl,sum_rot_pnl,basis_share_of_gross_pct
TB-A,8036.669799619091,-367.03619982893554,104.78557671697612
TB-B,11781.612335945405,-418.1281532883518,103.67957702556139
TB-C-2.5%,11464.821246808544,-346.26491144349933,103.11429740515976
TB-C-5%,11147.91474324628,-272.97700559212456,102.5101477560368
TB-C-7.5%,10837.92093873788,-206.21951585909304,101.93966617060295
TB-C-10%,10534.005018665996,-146.7047620481826,101.41234737057607
