model,notional_usd,median_executable_residual_pct,rejection_rate_pct,median_weight_distortion_pct,median_pnl_ratio_exec_vs_model
TB-A,5000,28.776776812887366,84.44444444444444,17.107894520949714,1.0482962941837106
TB-A,10000,31.292990387188812,1.728395061728395,15.71319400864957,1.000434190563258
TB-A,25000,36.02761226431059,0.0,6.992993238105905,0.9940604356618363
TB-A,50000,34.96498445305564,0.0,3.2289028279280116,1.0000925088401151
TB-A,100000,34.95882889102677,0.0,1.6801724515942116,0.9990567463136855
TB-B,5000,16.08531782031476,0.0,21.22932361471357,0.80070827813029
TB-B,10000,5.112473334475435,0.0,7.483080097316298,1.0648705282444142
TB-B,25000,1.200824823322327,0.0,1.7036798970526144,0.9962501518536909
TB-B,50000,0.47594851949883066,0.0,0.6812016335575198,0.9932037472458554
TB-B,100000,0.3731496813526374,0.0,0.5351751895224132,0.9994884353211527
TB-C-2.5%,5000,16.68896510305298,0.0,18.730714057368118,0.819419925054367
TB-C-2.5%,10000,5.173598352214307,0.0,9.213880165746643,1.047280545040523
TB-C-2.5%,25000,2.470723454314094,0.0,2.0289929842622225,0.993501089372312
TB-C-2.5%,50000,2.3945503218895663,0.0,1.3044424088488327,1.00637249326344
TB-C-2.5%,100000,2.6246865845053917,0.0,0.8401187669861004,0.9999188983517592
TB-C-5%,5000,16.698609078683766,0.0,16.190900407913723,0.8389736886854582
TB-C-5%,10000,8.389682274270093,0.0,6.644508178495233,0.9292860648778409
TB-C-5%,25000,5.341564198866618,0.0,2.7908650964526083,1.0059053595590797
TB-C-5%,50000,5.76605458886007,0.0,2.4549082989377555,1.0016907366166512
TB-C-5%,100000,5.276438167240945,0.0,1.1395054264097983,0.9974582235447326
TB-C-7.5%,5000,16.698609078683766,0.0,13.314749074938929,0.8546866204885516
TB-C-7.5%,10000,14.254951311272926,0.0,10.672555084603259,0.9050405163154711
TB-C-7.5%,25000,6.9637126931449185,0.0,3.979713846200455,1.01112794050567
TB-C-7.5%,50000,8.288639156260055,0.0,2.0577046709100375,0.9945541280858008
TB-C-7.5%,100000,7.744484662248745,0.0,1.2555635699104606,1.001093863162182
TB-C-10%,5000,16.698609078683766,0.0,10.334483039368932,0.8754921042890785
TB-C-10%,10000,15.644537510147341,0.0,9.93487274823038,0.8993747792218253
TB-C-10%,25000,10.164598754756756,0.0,4.00804990048347,1.0028064983807328
TB-C-10%,50000,10.227817428641435,0.0,2.449664701929581,0.9971773743494474
TB-C-10%,100000,10.360782527070308,0.0,1.3097123943168654,0.9985948554148928
