surface,bin_lo,bin_hi,n,p_converge,p_sl,p_timeout,ev_tba,ev_tbb,ev_tbc5,mfe_tbb_med,mae_tbb_med,conv_med_min,bin_lo2,bin_hi2
max_abs_z,2.5,2.75,79,65.82278481012658,0.0,34.177215189873415,11.599322360903056,17.873469027545674,16.87870503682318,20.491882578013094,-12.478485664214475,187.5,,
max_abs_z,2.75,3.0,68,60.29411764705882,0.0,39.705882352941174,10.521465848583416,17.996029930991305,17.028974848685756,17.152510885083156,-16.362678906397534,185.0,,
max_abs_z,3.0,3.25,51,66.66666666666666,0.0,33.33333333333333,7.642934682848936,19.16478641493785,17.62232025148114,18.072944771637896,-19.9925818778224,227.5,,
max_abs_z,3.25,3.5,46,69.56521739130434,0.0,30.434782608695656,8.7383475357159,17.992488951344345,16.662513599063054,14.47053390402549,-20.646630832311047,232.5,,
max_abs_z,3.5,4.0,48,52.083333333333336,0.0,47.91666666666667,-3.065503530967934,9.643974143275962,8.001254318621811,12.384460501212509,-27.449523065501076,205.0,,
max_abs_z,4.0,4.5,20,55.00000000000001,0.0,45.0,-7.173991435389125,9.368791530956184,7.307862596764342,11.608922638544984,-28.841830975329465,285.0,,
max_abs_z,4.5,5.0,1,0.0,0.0,100.0,-15.275321115637228,-16.920972932891733,-17.521505488450437,-4.811923652981269,-42.94977328781869,,,
max_abs_z,5.0,5.5,3,33.33333333333333,0.0,66.66666666666666,-2.8058250786202428,10.927133185972133,8.948379590574325,11.34207209691424,-32.79159100256915,135.0,,
max_abs_z,5.5,6.0,1,100.0,0.0,0.0,-57.190820441289674,108.48864886946822,96.04324352329004,106.31720612951176,-95.28409340496898,285.0,,
max_abs_z,6.0,inf,2,0.0,100.0,0.0,-35.72892753168488,-30.86765709298113,-32.68316015064929,-10.2,-30.878931649982995,,,
z_t_hazard,2.5,3.0,205,67.31707317073172,,,,18.176225103553172,,,,,0.0,15.0
z_t_hazard,2.5,3.0,160,66.25,,,,19.224761850308703,,,,,15.0,30.0
z_t_hazard,2.5,3.0,160,58.75,,,,15.437624593452918,,,,,30.0,60.0
z_t_hazard,2.5,3.0,145,46.206896551724135,,,,12.376510773005533,,,,,60.0,120.0
z_t_hazard,2.5,3.0,60,38.333333333333336,,,,9.409876069204786,,,,,120.0,240.0
z_t_hazard,2.5,3.0,8,12.5,,,,6.281903309535028,,,,,240.0,inf
z_t_hazard,3.0,3.5,72,62.5,,,,16.467628424726243,,,,,0.0,15.0
z_t_hazard,3.0,3.5,80,57.49999999999999,,,,15.476248908717816,,,,,15.0,30.0
z_t_hazard,3.0,3.5,85,56.470588235294116,,,,14.190039476015372,,,,,30.0,60.0
z_t_hazard,3.0,3.5,68,51.470588235294116,,,,10.609278668903912,,,,,60.0,120.0
z_t_hazard,3.0,3.5,22,45.45454545454545,,,,6.14502668215217,,,,,120.0,240.0
z_t_hazard,3.0,3.5,3,0.0,,,,3.2556939284401154,,,,,240.0,inf
z_t_hazard,3.5,4.0,21,66.66666666666666,,,,19.61126663620863,,,,,0.0,15.0
z_t_hazard,3.5,4.0,29,41.37931034482759,,,,8.342397696795452,,,,,15.0,30.0
z_t_hazard,3.5,4.0,27,59.25925925925925,,,,12.75999983192058,,,,,30.0,60.0
z_t_hazard,3.5,4.0,23,56.52173913043478,,,,8.999788791233506,,,,,60.0,120.0
z_t_hazard,3.5,4.0,6,33.33333333333333,,,,-10.31744900140316,,,,,120.0,240.0
z_t_hazard,3.5,4.0,1,0.0,,,,6.292796757763593,,,,,240.0,inf
z_t_hazard,4.0,5.0,6,50.0,,,,5.580152731632516,,,,,0.0,15.0
z_t_hazard,4.0,5.0,9,33.33333333333333,,,,21.065426337109866,,,,,15.0,30.0
z_t_hazard,4.0,5.0,12,50.0,,,,15.831327279060837,,,,,30.0,60.0
z_t_hazard,4.0,5.0,7,71.42857142857143,,,,27.534802809805743,,,,,60.0,120.0
z_t_hazard,4.0,5.0,1,0.0,,,,-32.68347553708496,,,,,120.0,240.0
z_t_hazard,5.0,6.0,2,0.0,,,,7.078305088437485,,,,,0.0,15.0
z_t_hazard,5.0,6.0,2,100.0,,,,63.55671912525483,,,,,15.0,30.0
z_t_hazard,5.0,6.0,1,100.0,,,,108.48864886946822,,,,,30.0,60.0
z_t_hazard,5.0,6.0,1,100.0,,,,108.48864886946822,,,,,60.0,120.0
z_t_hazard,6.0,inf,2,0.0,,,,-30.86765709298113,,,,,0.0,15.0
