alloc_id,heat_id,f_pct,block_median_cagr,episode_median_cagr,block_p95_dd,episode_p95_dd,P_dd_ge_10,P_dd_ge_15,P_dd_ge_20,P_technical_ruin,dependency_sensitive,is_operating_heat
A0_50_50,H0,0.75,0.4977428546759684,0.496470568970441,0.0588356201997799,0.062755144991936,0.00035,0.0,0.0,0.0,False,False
A0_50_50,H0,1.0,0.7108411400161591,0.7089504558664187,0.0778822993005178,0.0829943076964953,0.0081,0.0,0.0,0.0,False,False
A0_50_50,H1-1.00-REJ,0.75,0.4930699007453941,0.4921292052227223,0.0574133554105488,0.0627268494964986,0.00035,0.0,0.0,0.0,False,True
A0_50_50,H1-1.00-REJ,1.0,0.7037586084704798,0.7023943883570923,0.0760382327635559,0.0829439278421146,0.0072,0.0,0.0,0.0,False,True
A0_50_50,H1-1.50-REJ,0.75,0.4977428546759684,0.496470568970441,0.0588356201997799,0.062755144991936,0.00035,0.0,0.0,0.0,False,False
A0_50_50,H1-1.50-REJ,1.0,0.7108411400161591,0.7089504558664187,0.0778822993005178,0.0829943076964953,0.0081,0.0,0.0,0.0,False,False
A0_50_50,H1-2.00-REJ,0.75,0.4977428546759684,0.496470568970441,0.0588356201997799,0.062755144991936,0.00035,0.0,0.0,0.0,False,False
A0_50_50,H1-2.00-REJ,1.0,0.7108411400161591,0.7089504558664187,0.0778822993005178,0.0829943076964953,0.0081,0.0,0.0,0.0,False,False
A0_50_50,H1-3.00-REJ,0.75,0.4977428546759684,0.496470568970441,0.0588356201997799,0.062755144991936,0.00035,0.0,0.0,0.0,False,False
A0_50_50,H1-3.00-REJ,1.0,0.7108411400161591,0.7089504558664187,0.0778822993005178,0.0829943076964953,0.0081,0.0,0.0,0.0,False,False
A1_70_30,H0,0.75,0.5198681827770794,0.5182317298713631,0.0720886133192744,0.0695943890569104,0.0021,0.0,0.0,0.0,False,False
A1_70_30,H0,1.0,0.7442181695269814,0.7416512865809632,0.0952473223572696,0.0919005197810107,0.0306,0.00035,0.0,0.0,False,False
A1_70_30,H1-1.00-REJ,0.75,0.4838965019983114,0.4813709820060411,0.0473755943386768,0.0564158106241432,0.0,0.0,0.0,0.0,False,True
A1_70_30,H1-1.00-REJ,1.0,0.689687549216883,0.685828105475979,0.0628614471303819,0.0747410504993056,0.00245,0.0,0.0,0.0,False,True
A1_70_30,H1-1.50-REJ,0.75,0.5194895485885114,0.5178673310929751,0.0706469761509358,0.068126013039885,0.0015,0.0,0.0,0.0,False,False
A1_70_30,H1-1.50-REJ,1.0,0.7436506607537119,0.7411042348906537,0.0933288223867777,0.0901228755602484,0.025500000000000002,0.0003,0.0,0.0,False,False
A1_70_30,H1-2.00-REJ,0.75,0.5177699236559444,0.5157221489488217,0.0706469761509353,0.0680697497613358,0.0015500000000000002,0.0,0.0,0.0,False,False
A1_70_30,H1-2.00-REJ,1.0,0.7411155011024626,0.737981335816984,0.0933288223867776,0.0900491237607474,0.0254,0.0003,0.0,0.0,False,False
A1_70_30,H1-3.00-REJ,0.75,0.5198681827770794,0.5182317298713631,0.0720886133192744,0.0695943890569104,0.0021,0.0,0.0,0.0,False,False
A1_70_30,H1-3.00-REJ,1.0,0.7442181695269814,0.7416512865809632,0.0952473223572696,0.0919005197810107,0.0306,0.00035,0.0,0.0,False,False
