transition,d_median_cagr,d_p95_dd,d_P_dd_ge_10,d_P_dd_ge_15
A0_50_50->A1_70_30,-0.015318671067354961,-0.010689831487991491,-0.00475,0.0
A1_70_30->A2_100_0_A,0.02292624099891105,0.028469493829164555,0.04385,0.0015
