alloc_id,heat_id,scheme,f_from,f_to,d_median_cagr,d_p95_max_dd,d_P_dd_ge_10,d_P_dd_ge_15,marginal_p10_per_cagr,acceleration_flag
A0_50_50,H0,block,0.5,0.75,0.1876565728675586,0.019307348546776196,0.0,0.0,0.0,OK
A0_50_50,H0,block,0.75,1.0,0.21309828534019065,0.019046679100737894,0.0045,0.0,0.021117016464098658,OK
A0_50_50,H0,block,1.0,1.5,0.5160662033114479,0.037277464743444705,0.1251,0.0033,0.242410758924474,TAIL_ACCELERATION
A0_50_50,H0,block,1.5,2.0,0.6627443850659394,0.03611566347521891,0.37800000000000006,0.0495,0.570355643167601,TAIL_ACCELERATION
A0_50_50,H0,episode,0.5,0.75,0.18711169051547488,0.020549277528633107,0.0007,0.0,0.003741081052026021,OK
A0_50_50,H0,episode,0.75,1.0,0.2124798868959777,0.02023916270455929,0.011000000000000001,0.0,0.05176960587043796,OK
A0_50_50,H0,episode,1.0,1.5,0.5144868879924666,0.039422563021200105,0.17370000000000002,0.0098,0.33761793362271936,TAIL_ACCELERATION
A0_50_50,H0,episode,1.5,2.0,0.6600637836242171,0.038317904433623304,0.41879999999999995,0.0737,0.6344841368215837,TAIL_ACCELERATION
A0_50_50,H1-1.00-REJ,block,0.5,0.75,0.18568213036395936,0.0188463051039124,0.0,0.0,0.0,OK
A0_50_50,H1-1.00-REJ,block,0.75,1.0,0.2106887077250857,0.018624877353007094,0.0036,0.0,0.01708681988166832,OK
A0_50_50,H1-1.00-REJ,block,1.0,1.5,0.5096306026203291,0.0362987601161118,0.1137,0.0025,0.2231027717240631,TAIL_ACCELERATION
A0_50_50,H1-1.00-REJ,block,1.5,2.0,0.653053040688867,0.035371310630909814,0.36679999999999996,0.0414,0.561669538531027,TAIL_ACCELERATION
A0_50_50,H1-1.00-REJ,episode,0.5,0.75,0.1852971922901795,0.020540833966379193,0.0007,0.0,0.0037777150929722914,OK
A0_50_50,H1-1.00-REJ,episode,0.75,1.0,0.21026518313437004,0.020217078345616007,0.010100000000000001,0.0,0.04803458113912085,OK
A0_50_50,H1-1.00-REJ,episode,1.0,1.5,0.5082191321399238,0.039361565691994393,0.17149999999999999,0.0084,0.3374528606939227,TAIL_ACCELERATION
A0_50_50,H1-1.00-REJ,episode,1.5,2.0,0.650687975446909,0.03799957392029871,0.4171,0.07039999999999999,0.6410138434070879,TAIL_ACCELERATION
A0_50_50,H1-1.50-REJ,block,0.5,0.75,0.1876565728675586,0.019307348546776196,0.0,0.0,0.0,OK
A0_50_50,H1-1.50-REJ,block,0.75,1.0,0.21309828534019065,0.019046679100737894,0.0045,0.0,0.021117016464098658,OK
A0_50_50,H1-1.50-REJ,block,1.0,1.5,0.5160662033114479,0.037277464743444705,0.1251,0.0033,0.242410758924474,TAIL_ACCELERATION
A0_50_50,H1-1.50-REJ,block,1.5,2.0,0.6627443850659394,0.03611566347521891,0.37800000000000006,0.0495,0.570355643167601,TAIL_ACCELERATION
A0_50_50,H1-1.50-REJ,episode,0.5,0.75,0.18711169051547488,0.020549277528633107,0.0007,0.0,0.003741081052026021,OK
A0_50_50,H1-1.50-REJ,episode,0.75,1.0,0.2124798868959777,0.02023916270455929,0.011000000000000001,0.0,0.05176960587043796,OK
A0_50_50,H1-1.50-REJ,episode,1.0,1.5,0.5144868879924666,0.039422563021200105,0.17370000000000002,0.0098,0.33761793362271936,TAIL_ACCELERATION
A0_50_50,H1-1.50-REJ,episode,1.5,2.0,0.6600637836242171,0.038317904433623304,0.41879999999999995,0.0737,0.6344841368215837,TAIL_ACCELERATION
A0_50_50,H1-2.00-REJ,block,0.5,0.75,0.1876565728675586,0.019307348546776196,0.0,0.0,0.0,OK
A0_50_50,H1-2.00-REJ,block,0.75,1.0,0.21309828534019065,0.019046679100737894,0.0045,0.0,0.021117016464098658,OK
A0_50_50,H1-2.00-REJ,block,1.0,1.5,0.5160662033114479,0.037277464743444705,0.1251,0.0033,0.242410758924474,TAIL_ACCELERATION
A0_50_50,H1-2.00-REJ,block,1.5,2.0,0.6627443850659394,0.03611566347521891,0.37800000000000006,0.0495,0.570355643167601,TAIL_ACCELERATION
A0_50_50,H1-2.00-REJ,episode,0.5,0.75,0.18711169051547488,0.020549277528633107,0.0007,0.0,0.003741081052026021,OK
A0_50_50,H1-2.00-REJ,episode,0.75,1.0,0.2124798868959777,0.02023916270455929,0.011000000000000001,0.0,0.05176960587043796,OK
A0_50_50,H1-2.00-REJ,episode,1.0,1.5,0.5144868879924666,0.039422563021200105,0.17370000000000002,0.0098,0.33761793362271936,TAIL_ACCELERATION
A0_50_50,H1-2.00-REJ,episode,1.5,2.0,0.6600637836242171,0.038317904433623304,0.41879999999999995,0.0737,0.6344841368215837,TAIL_ACCELERATION
A0_50_50,H1-3.00-REJ,block,0.5,0.75,0.1876565728675586,0.019307348546776196,0.0,0.0,0.0,OK
A0_50_50,H1-3.00-REJ,block,0.75,1.0,0.21309828534019065,0.019046679100737894,0.0045,0.0,0.021117016464098658,OK
A0_50_50,H1-3.00-REJ,block,1.0,1.5,0.5160662033114479,0.037277464743444705,0.1251,0.0033,0.242410758924474,TAIL_ACCELERATION
A0_50_50,H1-3.00-REJ,block,1.5,2.0,0.6627443850659394,0.03611566347521891,0.37800000000000006,0.0495,0.570355643167601,TAIL_ACCELERATION
A0_50_50,H1-3.00-REJ,episode,0.5,0.75,0.18711169051547488,0.020549277528633107,0.0007,0.0,0.003741081052026021,OK
A0_50_50,H1-3.00-REJ,episode,0.75,1.0,0.2124798868959777,0.02023916270455929,0.011000000000000001,0.0,0.05176960587043796,OK
A0_50_50,H1-3.00-REJ,episode,1.0,1.5,0.5144868879924666,0.039422563021200105,0.17370000000000002,0.0098,0.33761793362271936,TAIL_ACCELERATION
A0_50_50,H1-3.00-REJ,episode,1.5,2.0,0.6600637836242171,0.038317904433623304,0.41879999999999995,0.0737,0.6344841368215837,TAIL_ACCELERATION
A1_70_30,H0,block,0.5,0.75,0.19672467620618228,0.023591868472913696,0.0023,0.0,0.01169146669525803,OK
A1_70_30,H0,block,0.75,1.0,0.22434998674990203,0.023158709037995204,0.033,0.0004,0.14709160663685403,OK
A1_70_30,H0,block,1.0,1.5,0.5467579594059757,0.04515794926557329,0.3034,0.0306,0.5549073310786887,TAIL_ACCELERATION
A1_70_30,H0,block,1.5,2.0,0.7072623447625188,0.04359946249187091,0.529,0.1392,0.747954424433023,TAIL_ACCELERATION
A1_70_30,H0,episode,0.5,0.75,0.19599427669675162,0.022789443709512802,0.0019,0.0,0.009694160625617341,OK
A1_70_30,H0,episode,0.75,1.0,0.22341955670960012,0.0223061307241003,0.024,0.0003,0.1074212139414237,OK
A1_70_30,H0,episode,1.0,1.5,0.5439809483602835,0.04352940029021381,0.2722,0.021199999999999997,0.5003851712463273,TAIL_ACCELERATION
A1_70_30,H0,episode,1.5,2.0,0.7016763979939329,0.0419444018115781,0.44850000000000007,0.12560000000000002,0.6391835342933654,TAIL_ACCELERATION
A1_70_30,H1-1.00-REJ,block,0.5,0.75,0.18180907109731792,0.015615692709863002,0.0,0.0,0.0,OK
A1_70_30,H1-1.00-REJ,block,0.75,1.0,0.2057910472185716,0.015485852791705099,0.0003,0.0,0.001457789364769443,OK
A1_70_30,H1-1.00-REJ,block,1.0,1.5,0.49550009665885786,0.030543558273835494,0.027299999999999998,0.0001,0.05509585201715009,OK
A1_70_30,H1-1.00-REJ,block,1.5,2.0,0.631925796162017,0.030026309738956203,0.21760000000000002,0.0062,0.3443442273152754,TAIL_ACCELERATION
A1_70_30,H1-1.00-REJ,episode,0.5,0.75,0.1808000104519366,0.0185497767262513,0.0,0.0,0.0,OK
A1_70_30,H1-1.00-REJ,episode,0.75,1.0,0.20445712346993794,0.0183252398751624,0.0046,0.0,0.022498604704650236,OK
A1_70_30,H1-1.00-REJ,episode,1.0,1.5,0.49223354428698285,0.035857498624064996,0.09659999999999999,0.0036,0.19624830757913583,TAIL_ACCELERATION
A1_70_30,H1-1.00-REJ,episode,1.5,2.0,0.6261740586803586,0.034779866829893216,0.32039999999999996,0.0361,0.5116788144740977,TAIL_ACCELERATION
A1_70_30,H1-1.50-REJ,block,0.5,0.75,0.1965453599438053,0.023192547710343007,0.0016,0.0,0.008140614464047687,OK
A1_70_30,H1-1.50-REJ,block,0.75,1.0,0.22416111216520052,0.022681846235841893,0.0274,0.0003,0.12223351202775512,OK
A1_70_30,H1-1.50-REJ,block,1.0,1.5,0.5461478890291931,0.0442018293974735,0.27759999999999996,0.023999999999999997,0.508287234238786,TAIL_ACCELERATION
A1_70_30,H1-1.50-REJ,block,1.5,2.0,0.706329712958303,0.04278364336325011,0.5547,0.1275,0.7853272909570289,TAIL_ACCELERATION
A1_70_30,H1-1.50-REJ,episode,0.5,0.75,0.1958120024479662,0.0223396708188413,0.0014,0.0,0.007149714943403568,OK
A1_70_30,H1-1.50-REJ,episode,0.75,1.0,0.22323690379767858,0.021996862520363397,0.0206,0.0003,0.09227864949547028,OK
A1_70_30,H1-1.50-REJ,episode,1.0,1.5,0.5435522907415428,0.042715332610208406,0.2578,0.018,0.47428739495936184,TAIL_ACCELERATION
A1_70_30,H1-1.50-REJ,episode,1.5,2.0,0.7022493959409155,0.04112662991905949,0.44580000000000003,0.11750000000000001,0.6348172067883243,TAIL_ACCELERATION
A1_70_30,H1-2.00-REJ,block,0.5,0.75,0.19579506091235716,0.023192547710342605,0.0016,0.0,0.00817180981248654,OK
A1_70_30,H1-2.00-REJ,block,0.75,1.0,0.22334557744651817,0.022681846235842296,0.0274,0.0003,0.1226798413170332,OK
A1_70_30,H1-2.00-REJ,block,1.0,1.5,0.5431770922482568,0.04420182939747429,0.27759999999999996,0.0241,0.5110672080278452,TAIL_ACCELERATION
A1_70_30,H1-2.00-REJ,block,1.5,2.0,0.701754702365305,0.042715875968828004,0.5548000000000001,0.1275,0.790589643546405,TAIL_ACCELERATION
A1_70_30,H1-2.00-REJ,episode,0.5,0.75,0.19496734885553363,0.022286822525491197,0.0015,0.0,0.007693595921599497,OK
A1_70_30,H1-2.00-REJ,episode,0.75,1.0,0.22225918686816226,0.021979373999411606,0.0203,0.0003,0.09133480728534013,OK
A1_70_30,H1-2.00-REJ,episode,1.0,1.5,0.5402044628294944,0.04263593537657019,0.258,0.018199999999999997,0.4775969429216525,TAIL_ACCELERATION
A1_70_30,H1-2.00-REJ,episode,1.5,2.0,0.6972029216242739,0.041148452485956,0.4463,0.11800000000000001,0.6401292739282485,TAIL_ACCELERATION
A1_70_30,H1-3.00-REJ,block,0.5,0.75,0.19672467620618228,0.023591868472913696,0.0023,0.0,0.01169146669525803,OK
A1_70_30,H1-3.00-REJ,block,0.75,1.0,0.22434998674990203,0.023158709037995204,0.033,0.0004,0.14709160663685403,OK
A1_70_30,H1-3.00-REJ,block,1.0,1.5,0.5467579594059757,0.04515794926557329,0.3034,0.0306,0.5549073310786887,TAIL_ACCELERATION
A1_70_30,H1-3.00-REJ,block,1.5,2.0,0.7072623447625188,0.04359946249187091,0.529,0.1392,0.747954424433023,TAIL_ACCELERATION
A1_70_30,H1-3.00-REJ,episode,0.5,0.75,0.19599427669675162,0.022789443709512802,0.0019,0.0,0.009694160625617341,OK
A1_70_30,H1-3.00-REJ,episode,0.75,1.0,0.22341955670960012,0.0223061307241003,0.024,0.0003,0.1074212139414237,OK
A1_70_30,H1-3.00-REJ,episode,1.0,1.5,0.5439809483602835,0.04352940029021381,0.2722,0.021199999999999997,0.5003851712463273,TAIL_ACCELERATION
A1_70_30,H1-3.00-REJ,episode,1.5,2.0,0.7016763979939329,0.0419444018115781,0.44850000000000007,0.12560000000000002,0.6391835342933654,TAIL_ACCELERATION
A2_100_0_A,H0,block,0.5,0.75,0.20878695214337656,0.0334105651786787,0.0592,0.0007,0.28354262271785374,TAIL_ACCELERATION
A2_100_0_A,H0,block,0.75,1.0,0.23829323897014187,0.0326655580663391,0.22970000000000002,0.0189,0.9639383852967033,TAIL_ACCELERATION
A2_100_0_A,H0,block,1.0,1.5,0.5814565788431642,0.0627799666896264,0.6197999999999999,0.2474,1.065943739484592,TAIL_ACCELERATION
A2_100_0_A,H0,block,1.5,2.0,0.7500045886623261,0.05948369241119178,0.08040000000000003,0.5324,0.10719934413121097,TAIL_ACCELERATION
A2_100_0_A,H0,episode,0.5,0.75,0.20684530324317385,0.033735658357288395,0.0627,0.0026000000000000003,0.3031250843838978,TAIL_ACCELERATION
A2_100_0_A,H0,episode,0.75,1.0,0.23589081947677926,0.032854021467866396,0.2227,0.0219,0.9440808272825653,TAIL_ACCELERATION
A2_100_0_A,H0,episode,1.0,1.5,0.5742324923683273,0.0627972845303317,0.5550999999999999,0.2434,0.9666816270019508,TAIL_ACCELERATION
A2_100_0_A,H0,episode,1.5,2.0,0.740092716534871,0.059543240798460795,0.14680000000000004,0.4143,0.19835352614645446,TAIL_ACCELERATION
A2_100_0_A,H1-1.00-REJ,block,0.5,0.75,0.1880081389886245,0.021694866851455205,0.0004,0.0,0.0021275674667690964,OK
A2_100_0_A,H1-1.00-REJ,block,0.75,1.0,0.21252631630394492,0.021404345256049798,0.013600000000000001,0.0,0.0639920751298862,OK
A2_100_0_A,H1-1.00-REJ,block,1.0,1.5,0.5107531860873661,0.04206197797840029,0.2975,0.0115,0.5824731163774113,TAIL_ACCELERATION
A2_100_0_A,H1-1.00-REJ,block,1.5,2.0,0.645336413315988,0.0409605360682955,0.5601,0.1348,0.867919411399691,TAIL_ACCELERATION
A2_100_0_A,H1-1.00-REJ,episode,0.5,0.75,0.1866142099903732,0.026487729989632704,0.0092,0.0,0.0492995683473118,OK
A2_100_0_A,H1-1.00-REJ,episode,0.75,1.0,0.21089313430638418,0.026036397930165003,0.06910000000000001,0.003,0.3276540994436167,TAIL_ACCELERATION
A2_100_0_A,H1-1.00-REJ,episode,1.0,1.5,0.5059421137286002,0.05035081030198099,0.4407,0.0683,0.871048264300849,TAIL_ACCELERATION
A2_100_0_A,H1-1.00-REJ,episode,1.5,2.0,0.6399888524766335,0.048301741212667615,0.3718,0.25680000000000003,0.5809476189486827,TAIL_ACCELERATION
A2_100_0_A,H1-1.50-REJ,block,0.5,0.75,0.1880081389886245,0.021694866851455205,0.0004,0.0,0.0021275674667690964,OK
A2_100_0_A,H1-1.50-REJ,block,0.75,1.0,0.21252631630394492,0.021404345256049798,0.013600000000000001,0.0,0.0639920751298862,OK
A2_100_0_A,H1-1.50-REJ,block,1.0,1.5,0.5107531860873661,0.04206197797840029,0.2975,0.0115,0.5824731163774113,TAIL_ACCELERATION
A2_100_0_A,H1-1.50-REJ,block,1.5,2.0,0.645336413315988,0.0409605360682955,0.5601,0.1348,0.867919411399691,TAIL_ACCELERATION
A2_100_0_A,H1-1.50-REJ,episode,0.5,0.75,0.1866142099903732,0.026487729989632704,0.0092,0.0,0.0492995683473118,OK
A2_100_0_A,H1-1.50-REJ,episode,0.75,1.0,0.21089313430638418,0.026036397930165003,0.06910000000000001,0.003,0.3276540994436167,TAIL_ACCELERATION
A2_100_0_A,H1-1.50-REJ,episode,1.0,1.5,0.5059421137286002,0.05035081030198099,0.4407,0.0683,0.871048264300849,TAIL_ACCELERATION
A2_100_0_A,H1-1.50-REJ,episode,1.5,2.0,0.6399888524766335,0.048301741212667615,0.3718,0.25680000000000003,0.5809476189486827,TAIL_ACCELERATION
A2_100_0_A,H1-2.00-REJ,block,0.5,0.75,0.20736763766686606,0.03275579753050051,0.0528,0.0007,0.2546202512314031,TAIL_ACCELERATION
A2_100_0_A,H1-2.00-REJ,block,0.75,1.0,0.2365456990593282,0.03200180444351669,0.2165,0.0154,0.9152565481467472,TAIL_ACCELERATION
A2_100_0_A,H1-2.00-REJ,block,1.0,1.5,0.5760587631579093,0.0616520102963842,0.6315,0.2333,1.0962423287134218,TAIL_ACCELERATION
A2_100_0_A,H1-2.00-REJ,block,1.5,2.0,0.7426298290214168,0.058459336190317596,0.08130000000000004,0.5449999999999999,0.10947580722300264,TAIL_ACCELERATION
A2_100_0_A,H1-2.00-REJ,episode,0.5,0.75,0.2056161174375586,0.0331498946221962,0.0559,0.0023,0.271865847369556,TAIL_ACCELERATION
A2_100_0_A,H1-2.00-REJ,episode,0.75,1.0,0.23437348573194583,0.032329340058268985,0.21420000000000003,0.0194,0.9139259047628864,TAIL_ACCELERATION
A2_100_0_A,H1-2.00-REJ,episode,1.0,1.5,0.5698375768497143,0.062124869259145316,0.5608,0.23149999999999998,0.984140082688689,TAIL_ACCELERATION
A2_100_0_A,H1-2.00-REJ,episode,1.5,2.0,0.7323775655154603,0.058867878880700275,0.15480000000000005,0.4153,0.2113663870780218,TAIL_ACCELERATION
A2_100_0_A,H1-3.00-REJ,block,0.5,0.75,0.20878695214337656,0.0334105651786787,0.0592,0.0007,0.28354262271785374,TAIL_ACCELERATION
A2_100_0_A,H1-3.00-REJ,block,0.75,1.0,0.23829323897014187,0.0326655580663391,0.22970000000000002,0.0189,0.9639383852967033,TAIL_ACCELERATION
A2_100_0_A,H1-3.00-REJ,block,1.0,1.5,0.5814565788431642,0.0627799666896264,0.6197999999999999,0.2474,1.065943739484592,TAIL_ACCELERATION
A2_100_0_A,H1-3.00-REJ,block,1.5,2.0,0.7500045886623261,0.05948369241119178,0.08040000000000003,0.5324,0.10719934413121097,TAIL_ACCELERATION
A2_100_0_A,H1-3.00-REJ,episode,0.5,0.75,0.20684530324317385,0.033735658357288395,0.0627,0.0026000000000000003,0.3031250843838978,TAIL_ACCELERATION
A2_100_0_A,H1-3.00-REJ,episode,0.75,1.0,0.23589081947677926,0.032854021467866396,0.2227,0.0219,0.9440808272825653,TAIL_ACCELERATION
A2_100_0_A,H1-3.00-REJ,episode,1.0,1.5,0.5742324923683273,0.0627972845303317,0.5550999999999999,0.2434,0.9666816270019508,TAIL_ACCELERATION
A2_100_0_A,H1-3.00-REJ,episode,1.5,2.0,0.740092716534871,0.059543240798460795,0.14680000000000004,0.4143,0.19835352614645446,TAIL_ACCELERATION
