overlap_type,N,mean_R,median_R,loss_probability,tail_loss_probability,mean_episode_CAE_R,share_of_total_negative_R,mean_R_per_event
same_direction,276,0.2772221999321895,0.3319903210112072,0.4166666666666667,0.16304347826086957,-0.8645656718333233,0.3734099039202891,0.2772221999321895
opposing,172,0.34688801055698976,0.33269465934475495,0.4127906976744186,0.12209302325581395,-0.6650394585458752,0.18450196362652463,0.34688801055698976
no_overlap,481,0.4064756155750537,0.3980017193852167,0.3388773388773389,0.09355509355509356,-0.5580943081632316,0.47500706361890777,0.4064756155750537
