policy_id,kind,cap_mult,treatment,w_A_pct,w_B_pct,partition_type,partition,N,N_rejected,reject_rate,mean_admitted_f,within_partition_max_dd,worst_episode_R,partition_net_R
H2-1.50-SCA,H2,1.5,SCALE,50.0,50.0,year,2023,150,0,0.0,0.5,1.0085607855589738,-2.749008184280776,17.90586835892429
H2-1.50-SCA,H2,1.5,SCALE,50.0,50.0,year,2024,311,0,0.0,0.5,553.4849013836548,-3.0685232166139733,63.29204997702453
H2-1.50-SCA,H2,1.5,SCALE,50.0,50.0,year,2025,311,0,0.0,0.5,2299.138595961655,-1.8936078132111276,60.76425337552736
H2-1.50-SCA,H2,1.5,SCALE,50.0,50.0,year,2026,118,0,0.0,0.5,6.293751875035538,-1.967268405161442,13.470055517086498
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,split,RELATIONSHIP_CONFIRMED_OOS,280,19,0.06785714285714285,0.5,2.1305906734112043,-1.967268405161442,41.64217229110447
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,split,inner_sel,461,45,0.09761388286334056,0.5,1.1483602822465762,-2.749008184280776,72.15965194225888
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,split,inner_val,149,9,0.06040268456375839,0.5,9.635874564822277,-1.8936078132111276,27.065116316113176
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,year,2023,150,17,0.11333333333333333,0.5,1.125803181465539,-2.749008184280776,18.342360087162856
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,year,2024,311,28,0.09003215434083602,0.5,215.10917050363344,-2.106719358566559,53.81729185509602
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,year,2025,311,22,0.0707395498392283,0.5,9.635874564822277,-1.8936078132111276,55.2825863887244
H3-0.50-REJ,H3,0.5,REJECT,50.0,50.0,year,2026,118,6,0.05084745762711865,0.5,3.4106780399537144,-1.967268405161442,13.424702218493243
H3-0.75-REJ,H3,0.75,REJECT,50.0,50.0,split,RELATIONSHIP_CONFIRMED_OOS,280,19,0.06785714285714285,0.5,2.1305906734112043,-1.967268405161442,41.64217229110447
H3-0.75-REJ,H3,0.75,REJECT,50.0,50.0,split,inner_sel,461,45,0.09761388286334056,0.5,1.1483602822465762,-2.749008184280776,72.15965194225888
H3-0.75-REJ,H3,0.75,REJECT,50.0,50.0,split,inner_val,149,9,0.06040268456375839,0.5,9.635874564822277,-1.8936078132111276,27.065116316113176
H3-0.75-REJ,H3,0.75,REJECT,50.0,50.0,year,2023,150,17,0.11333333333333333,0.5,1.125803181465539,-2.749008184280776,18.342360087162856
H3-0.75-REJ,H3,0.75,REJECT,50.0,50.0,year,2024,311,28,0.09003215434083602,0.5,215.10917050363344,-2.106719358566559,53.81729185509602
H3-0.75-REJ,H3,0.75,REJECT,50.0,50.0,year,2025,311,22,0.0707395498392283,0.5,9.635874564822277,-1.8936078132111276,55.2825863887244
H3-0.75-REJ,H3,0.75,REJECT,50.0,50.0,year,2026,118,6,0.05084745762711865,0.5,3.4106780399537144,-1.967268405161442,13.424702218493243
H3-1.00-REJ,H3,1.0,REJECT,50.0,50.0,split,RELATIONSHIP_CONFIRMED_OOS,280,1,0.0035714285714285713,0.5,2.1305906734112043,-1.967268405161442,46.70155922465408
H3-1.00-REJ,H3,1.0,REJECT,50.0,50.0,split,inner_sel,461,2,0.004338394793926247,0.5,1.0386375666399268,-3.0685232166139733,80.59727215088377
H3-1.00-REJ,H3,1.0,REJECT,50.0,50.0,split,inner_val,149,0,0.0,0.5,13.643643258899798,-1.8936078132111276,27.300460266804258
H3-1.00-REJ,H3,1.0,REJECT,50.0,50.0,year,2023,150,1,0.006666666666666667,0.5,1.0085607855589738,-2.749008184280776,17.387803827465664
H3-1.00-REJ,H3,1.0,REJECT,50.0,50.0,year,2024,311,1,0.003215434083601286,0.5,553.4849013836548,-3.0685232166139733,63.2094683234181
H3-1.00-REJ,H3,1.0,REJECT,50.0,50.0,year,2025,311,0,0.0,0.5,2299.138595961655,-1.8936078132111276,60.76425337552736
H3-1.00-REJ,H3,1.0,REJECT,50.0,50.0,year,2026,118,1,0.00847457627118644,0.5,5.295867407503104,-1.967268405161442,13.237766115930976
H3-0.50-SCA,H3,0.5,SCALE,50.0,50.0,split,RELATIONSHIP_CONFIRMED_OOS,280,19,0.06785714285714285,0.5,2.1305906734112043,-1.967268405161442,41.64217229110447
H3-0.50-SCA,H3,0.5,SCALE,50.0,50.0,split,inner_sel,461,45,0.09761388286334056,0.5,1.1483602822465762,-2.749008184280776,72.15965194225888
H3-0.50-SCA,H3,0.5,SCALE,50.0,50.0,split,inner_val,149,9,0.06040268456375839,0.5,9.635874564822277,-1.8936078132111276,27.065116316113176
H3-0.50-SCA,H3,0.5,SCALE,50.0,50.0,year,2023,150,17,0.11333333333333333,0.5,1.125803181465539,-2.749008184280776,18.342360087162856
H3-0.50-SCA,H3,0.5,SCALE,50.0,50.0,year,2024,311,28,0.09003215434083602,0.5,215.10917050363344,-2.106719358566559,53.81729185509602
H3-0.50-SCA,H3,0.5,SCALE,50.0,50.0,year,2025,311,22,0.0707395498392283,0.5,9.635874564822277,-1.8936078132111276,55.2825863887244
H3-0.50-SCA,H3,0.5,SCALE,50.0,50.0,year,2026,118,6,0.05084745762711865,0.5,3.4106780399537144,-1.967268405161442,13.424702218493243
H3-0.75-SCA,H3,0.75,SCALE,50.0,50.0,split,RELATIONSHIP_CONFIRMED_OOS,280,1,0.0035714285714285713,0.4838709677419355,2.1305906734112043,-1.967268405161442,44.171865757879274
H3-0.75-SCA,H3,0.75,SCALE,50.0,50.0,split,inner_sel,461,2,0.004338394793926247,0.47657952069716775,1.087871568828858,-2.749008184280776,76.37846204657131
H3-0.75-SCA,H3,0.75,SCALE,50.0,50.0,split,inner_val,149,0,0.0,0.4848993288590604,11.554004941074417,-1.8936078132111276,27.18278829145872
H3-0.75-SCA,H3,0.75,SCALE,50.0,50.0,year,2023,150,1,0.006666666666666667,0.47315436241610737,1.0295719181696845,-2.749008184280776,17.86508195731426
H3-0.75-SCA,H3,0.75,SCALE,50.0,50.0,year,2024,311,1,0.003215434083601286,0.4782258064516129,1189.5519192164788,-2.587621287590266,58.513380089257055
H3-0.75-SCA,H3,0.75,SCALE,50.0,50.0,year,2025,311,0,0.0,0.48231511254019294,11.554004941074417,-1.8936078132111276,58.02341988212588
H3-0.75-SCA,H3,0.75,SCALE,50.0,50.0,year,2026,118,1,0.00847457627118644,0.4893162393162393,4.3532727237284075,-1.967268405161442,13.331234167212108
H4-1.00-REJ,H4,1.0,REJECT,50.0,50.0,split,RELATIONSHIP_CONFIRMED_OOS,280,51,0.18214285714285713,0.5,3.6510688786817473,-1.967268405161442,33.41111616014037
H4-1.00-REJ,H4,1.0,REJECT,50.0,50.0,split,inner_sel,461,87,0.18872017353579176,0.5,1.0033656829073883,-2.523088290993595,64.54669780302797
H4-1.00-REJ,H4,1.0,REJECT,50.0,50.0,split,inner_val,149,42,0.28187919463087246,0.5,303.24480268572717,-1.468947760058391,25.59690420707971
H4-1.00-REJ,H4,1.0,REJECT,50.0,50.0,year,2023,150,25,0.16666666666666666,0.5,1.0033656829073883,-2.523088290993595,13.325181457707721
H4-1.00-REJ,H4,1.0,REJECT,50.0,50.0,year,2024,311,62,0.19935691318327975,0.5,201.5980670766982,-1.8485291535685522,51.22151634532025
