regime,policy_id,f_pct,return,risk,status
historical_50,H1-3.00-REJ,0.75,0.49812500710128815,0.03913960184532473,NON_DOMINATED
historical_50,H1-1.00-SCA,0.75,0.49377562069962866,0.039139601845324404,DOMINATED
historical_50,H1-1.50-SCA,0.75,0.49812500710128815,0.03913960184532473,NON_DOMINATED
historical_50,H1-2.00-SCA,0.75,0.49812500710128815,0.03913960184532473,NON_DOMINATED
historical_50,H2-1.00-REJ,0.75,0.4934362797919756,0.03913960184532454,DOMINATED
historical_50,H2-1.50-REJ,0.75,0.49812500710128815,0.03913960184532473,NON_DOMINATED
historical_50,H2-2.00-REJ,0.75,0.49812500710128815,0.03913960184532473,NON_DOMINATED
historical_50,H2-1.00-SCA,0.75,0.4934362797919756,0.03913960184532454,DOMINATED
historical_50,H2-1.50-SCA,0.75,0.49812500710128815,0.03913960184532473,NON_DOMINATED
historical_50,H3-0.50-REJ,0.75,0.4426089393922099,0.039139601845325514,DOMINATED
historical_50,H3-0.75-REJ,0.75,0.4426089393922099,0.039139601845325514,DOMINATED
historical_50,H3-1.00-REJ,0.75,0.4948873307518131,0.039139601845324744,DOMINATED
historical_50,H3-0.50-SCA,0.75,0.4426089393922099,0.039139601845325514,DOMINATED
historical_50,H3-0.75-SCA,0.75,0.468591352539826,0.039139601845324494,DOMINATED
historical_50,H4-1.00-REJ,0.75,0.3789940073483613,0.040941410573905504,DOMINATED
historical_50,H4-1.50-REJ,0.75,0.43237967325254845,0.03913960184532441,DOMINATED
historical_50,H4-2.00-REJ,0.75,0.4613458206687977,0.03913960184532484,DOMINATED
historical_50,H4-3.00-REJ,0.75,0.497081675896361,0.0391396018453246,DOMINATED
historical_50,H4-1.00-SCA,0.75,0.3789940073483613,0.040941410573905504,DOMINATED
historical_50,H4-1.50-SCA,0.75,0.43237967325254845,0.03913960184532441,DOMINATED
historical_50,H5-1.50-REJ,0.75,0.4934362797919756,0.03913960184532454,DOMINATED
historical_50,H5-1.50-SCA,0.75,0.4934362797919756,0.03913960184532454,DOMINATED
historical_50,H5-2.00-REJ,0.75,0.49812500710128815,0.03913960184532473,NON_DOMINATED
historical_50,H5-2.00-SCA,0.75,0.49812500710128815,0.03913960184532473,NON_DOMINATED
historical_50,H0,1.0,0.7121308579330468,0.051885791127356445,NON_DOMINATED
historical_50,H1-1.00-REJ,1.0,0.7055459797175025,0.0518857911273565,DOMINATED
historical_50,H1-1.50-REJ,1.0,0.7121308579330468,0.051885791127356445,NON_DOMINATED
historical_50,H1-2.00-REJ,1.0,0.7121308579330468,0.051885791127356445,NON_DOMINATED
historical_50,H1-3.00-REJ,1.0,0.7121308579330468,0.051885791127356445,NON_DOMINATED
historical_50,H1-1.00-SCA,1.0,0.7055459797175025,0.0518857911273565,DOMINATED
historical_50,H1-1.50-SCA,1.0,0.7121308579330468,0.051885791127356445,NON_DOMINATED
historical_50,H1-2.00-SCA,1.0,0.7121308579330468,0.051885791127356445,NON_DOMINATED
historical_50,H2-1.00-REJ,1.0,0.7050221653015412,0.05188579112735619,DOMINATED
