policy_id,kind,cap_mult,treatment,w_A_pct,w_B_pct,f_pct,dd_reduction_pp,cagr_reduction_pp,terminal_reduction_pct,worst_day_improvement_pp,worst_episode_improvement_pp,dd_reduction_per_cagr_pp
H1-1.00-REJ,H1,1.0,REJECT,50,50,0.25,-3.1225022567582528e-15,0.11223380041383013,0.2805494396586572,-0.05641604777157283,0.0,-2.782140714512844e-14
H1-1.00-REJ,H1,1.0,REJECT,50,50,0.5,-4.163336342344337e-14,0.25520081746090995,0.5570059583942825,-0.11270166713070393,0.0,-1.6313961623504795e-13
H1-1.00-REJ,H1,1.0,REJECT,50,50,0.75,3.2612801348363973e-14,0.4349386401659494,0.829404498455697,-0.16885301984468082,0.0,7.498253394069717e-14
H1-1.00-REJ,H1,1.0,REJECT,50,50,1.0,-5.551115123125783e-15,0.658487821554421,1.09777934044512,-0.2248663045874722,0.0,-8.430095350923674e-15
H1-1.00-REJ,H1,1.0,REJECT,50,50,1.5,-6.245004513516506e-14,1.271101803145891,1.6225918005477098,-0.3364636488288171,0.0,-4.91306400326122e-14
H1-1.00-REJ,H1,1.0,REJECT,50,50,2.0,-1.5265566588595902e-14,2.1755370465026402,2.131704702039108,-0.4474640238365628,0.0,-7.0169187020449e-15
H1-1.50-REJ,H1,1.5,REJECT,50,50,0.25,0.0,0.0,0.0,0.0,0.0,0.0
H1-1.50-REJ,H1,1.5,REJECT,50,50,0.5,0.0,0.0,0.0,0.0,0.0,0.0
H1-1.50-REJ,H1,1.5,REJECT,50,50,0.75,0.0,0.0,0.0,0.0,0.0,0.0
H1-1.50-REJ,H1,1.5,REJECT,50,50,1.0,0.0,0.0,0.0,0.0,0.0,0.0
H1-1.50-REJ,H1,1.5,REJECT,50,50,1.5,0.0,0.0,0.0,0.0,0.0,0.0
H1-1.50-REJ,H1,1.5,REJECT,50,50,2.0,0.0,0.0,0.0,0.0,0.0,0.0
H1-2.00-REJ,H1,2.0,REJECT,50,50,0.25,0.0,0.0,0.0,0.0,0.0,0.0
H1-2.00-REJ,H1,2.0,REJECT,50,50,0.5,0.0,0.0,0.0,0.0,0.0,0.0
H1-2.00-REJ,H1,2.0,REJECT,50,50,0.75,0.0,0.0,0.0,0.0,0.0,0.0
H1-2.00-REJ,H1,2.0,REJECT,50,50,1.0,0.0,0.0,0.0,0.0,0.0,0.0
H1-2.00-REJ,H1,2.0,REJECT,50,50,1.5,0.0,0.0,0.0,0.0,0.0,0.0
H1-2.00-REJ,H1,2.0,REJECT,50,50,2.0,0.0,0.0,0.0,0.0,0.0,0.0
H1-3.00-REJ,H1,3.0,REJECT,50,50,0.25,0.0,0.0,0.0,0.0,0.0,0.0
H1-3.00-REJ,H1,3.0,REJECT,50,50,0.5,0.0,0.0,0.0,0.0,0.0,0.0
H1-3.00-REJ,H1,3.0,REJECT,50,50,0.75,0.0,0.0,0.0,0.0,0.0,0.0
H1-3.00-REJ,H1,3.0,REJECT,50,50,1.0,0.0,0.0,0.0,0.0,0.0,0.0
H1-3.00-REJ,H1,3.0,REJECT,50,50,1.5,0.0,0.0,0.0,0.0,0.0,0.0
H1-3.00-REJ,H1,3.0,REJECT,50,50,2.0,0.0,0.0,0.0,0.0,0.0,0.0
H1-1.00-SCA,H1,1.0,SCALE,50,50,0.25,-3.1225022567582528e-15,0.11223380041383013,0.2805494396586572,-0.05641604777157283,0.0,-2.782140714512844e-14
H1-1.00-SCA,H1,1.0,SCALE,50,50,0.5,-4.163336342344337e-14,0.25520081746090995,0.5570059583942825,-0.11270166713070393,0.0,-1.6313961623504795e-13
H1-1.00-SCA,H1,1.0,SCALE,50,50,0.75,3.2612801348363973e-14,0.4349386401659494,0.829404498455697,-0.16885301984468082,0.0,7.498253394069717e-14
H1-1.00-SCA,H1,1.0,SCALE,50,50,1.0,-5.551115123125783e-15,0.658487821554421,1.09777934044512,-0.2248663045874722,0.0,-8.430095350923674e-15
H1-1.00-SCA,H1,1.0,SCALE,50,50,1.5,-6.245004513516506e-14,1.271101803145891,1.6225918005477098,-0.3364636488288171,0.0,-4.91306400326122e-14
H1-1.00-SCA,H1,1.0,SCALE,50,50,2.0,-1.5265566588595902e-14,2.1755370465026402,2.131704702039108,-0.4474640238365628,0.0,-7.0169187020449e-15
H1-1.50-SCA,H1,1.5,SCALE,50,50,0.25,0.0,0.0,0.0,0.0,0.0,0.0
H1-1.50-SCA,H1,1.5,SCALE,50,50,0.5,0.0,0.0,0.0,0.0,0.0,0.0
H1-1.50-SCA,H1,1.5,SCALE,50,50,0.75,0.0,0.0,0.0,0.0,0.0,0.0
H1-1.50-SCA,H1,1.5,SCALE,50,50,1.0,0.0,0.0,0.0,0.0,0.0,0.0
H1-1.50-SCA,H1,1.5,SCALE,50,50,1.5,0.0,0.0,0.0,0.0,0.0,0.0
H1-1.50-SCA,H1,1.5,SCALE,50,50,2.0,0.0,0.0,0.0,0.0,0.0,0.0
H1-2.00-SCA,H1,2.0,SCALE,50,50,0.25,0.0,0.0,0.0,0.0,0.0,0.0
H1-2.00-SCA,H1,2.0,SCALE,50,50,0.5,0.0,0.0,0.0,0.0,0.0,0.0
H1-2.00-SCA,H1,2.0,SCALE,50,50,0.75,0.0,0.0,0.0,0.0,0.0,0.0
H1-2.00-SCA,H1,2.0,SCALE,50,50,1.0,0.0,0.0,0.0,0.0,0.0,0.0
H1-2.00-SCA,H1,2.0,SCALE,50,50,1.5,0.0,0.0,0.0,0.0,0.0,0.0
H1-2.00-SCA,H1,2.0,SCALE,50,50,2.0,0.0,0.0,0.0,0.0,0.0,0.0
H2-1.00-REJ,H2,1.0,REJECT,50,50,0.25,-6.123573870198129e-14,0.12065235785878592,0.3015725221761931,-0.056416047771610814,0.0,-5.075386821172024e-13
H2-1.00-REJ,H2,1.0,REJECT,50,50,0.5,1.457167719820518e-14,0.2747255965825701,0.5995377286739262,-0.11270166713069646,0.0,5.304084286090754e-14
H2-1.00-REJ,H2,1.0,REJECT,50,50,0.75,1.8735013540549517e-14,0.4688727309312579,0.8939259798408579,-0.16885301984469853,0.0,3.995756695711162e-14
H2-1.00-REJ,H2,1.0,REJECT,50,50,1.0,2.5673907444456745e-14,0.7108692631505598,1.1847671190918874,-0.22486630458744933,0.0,3.611621542148334e-14
H2-1.00-REJ,H2,1.0,REJECT,50,50,1.5,-4.0245584642661925e-14,1.3761569091654824,1.7559248934898237,-0.3364636488288386,0.0,-2.9244909773455496e-14
H2-1.00-REJ,H2,1.0,REJECT,50,50,2.0,-3.164135620181696e-13,2.3622245351506255,2.3132397275692087,-0.44746402383655304,0.0,-1.3394728456581447e-13
H2-1.50-REJ,H2,1.5,REJECT,50,50,0.25,0.0,0.0,0.0,0.0,0.0,0.0
H2-1.50-REJ,H2,1.5,REJECT,50,50,0.5,0.0,0.0,0.0,0.0,0.0,0.0
H2-1.50-REJ,H2,1.5,REJECT,50,50,0.75,0.0,0.0,0.0,0.0,0.0,0.0
H2-1.50-REJ,H2,1.5,REJECT,50,50,1.0,0.0,0.0,0.0,0.0,0.0,0.0
