policy_id,kind,cap_mult,treatment,w_A_pct,w_B_pct,scheme,f_pct,n_paths,max_dd_p5,max_dd_p25,max_dd_p50,max_dd_p75,max_dd_p90,max_dd_p95,max_dd_p99,terminal_p5,terminal_p25,terminal_p50,terminal_p75,terminal_p90,terminal_p95,terminal_p99,cagr_p5,cagr_p25,cagr_p50,cagr_p75,cagr_p90,cagr_p95,cagr_p99,min_eq_p5,min_eq_p25,min_eq_p50,min_eq_p75,min_eq_p90,min_eq_p95,min_eq_p99,exp_cagr,median_cagr,exp_max_dd,median_terminal,dur_trades_p95,P_dd_ge_10,P_dd_ge_15,P_dd_ge_20,P_dd_ge_30,P_dd_ge_40,P_dd_ge_50,P_technical_ruin
H0,H0,,REJECT,50.0,50.0,block,0.5,8000,0.019734559540189357,0.02355063159556987,0.025781240669832724,0.030390586766475006,0.03574640790089668,0.039582517286304714,0.04745943953208167,1.8553224530104198,2.029338999325549,2.16718528578265,2.315194005878787,2.4547028940211306,2.540253484211415,2.7022826879689936,0.24080215559223447,0.2802489556171943,0.30995978482550157,0.3405216314721582,0.3681847446094204,0.3846453375194439,0.4148581950998218,0.9827346649271709,0.9938955941051635,0.9981709059450333,1.0011499088334177,1.0033057076468268,1.0045467438157045,1.006807517251045,0.3107645370683646,0.30995978482550157,0.027569543152321338,2.16718528578265,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H0,H0,,REJECT,50.0,50.0,block,1.0,8000,0.039188962691763106,0.046653533135169824,0.05110104209407851,0.06013720479582545,0.07058113984265907,0.07791129283737107,0.09315758766432465,3.4124325733941694,4.080450939851139,4.6549482201499695,5.310660403449925,5.970152917797361,6.391936659594453,7.232710523353334,0.5349257103927499,0.6337745867227709,0.7106549696235955,0.7911919542232542,0.865901843195186,0.9109013563093273,0.9951403329351992,0.9656236601588737,0.9877672869970776,0.996329669984016,1.0022989357729473,1.0065715884290074,1.0090826673821234,1.0136150345020898,0.7145216487295452,0.7106549696235955,0.05458342973326204,4.6549482201499695,100.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
H0,H0,,REJECT,50.0,50.0,block,2.0,8000,0.07726646353589037,0.09162198763248106,0.10057822828927845,0.11772672741426168,0.13752485479245136,0.1514802781542815,0.17993686106550338,11.236793966030145,16.07206380492957,20.879873427858374,27.15390152182506,34.3685734658659,39.34597752356027,50.51580280983155,1.3268522282536364,1.636498933857073,1.8887093845152083,2.166186944151977,2.437626444124852,2.6038260754001894,2.9323257748288585,0.9318672101086739,0.9754426481942065,0.9926286838796515,1.004536935793635,1.0131369576732627,1.0180239900835126,1.0272300690041793,1.9153310119905391,1.8887093845152083,0.10696911706733567,20.879873427858374,102.0,0.509625,0.053625,0.002,0.0,0.0,0.0,0.0
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,block,0.5,8000,0.019734559540189357,0.02355063159556987,0.025781240669832724,0.030390586766475006,0.03574640790089668,0.039582517286304714,0.04745943953208167,1.8553224530104198,2.029338999325549,2.16718528578265,2.315194005878787,2.4547028940211306,2.540253484211415,2.7022826879689936,0.24080215559223447,0.2802489556171943,0.30995978482550157,0.3405216314721582,0.3681847446094204,0.3846453375194439,0.4148581950998218,0.9827346649271709,0.9938955941051635,0.9981709059450333,1.0011499088334177,1.0033057076468268,1.0045467438157045,1.006807517251045,0.3107645370683646,0.30995978482550157,0.027569543152321338,2.16718528578265,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,block,1.0,8000,0.039188962691763106,0.046653533135169824,0.05110104209407851,0.06013720479582545,0.07058113984265907,0.07791129283737107,0.09315758766432465,3.4124325733941694,4.080450939851139,4.6549482201499695,5.310660403449925,5.970152917797361,6.391936659594453,7.232710523353334,0.5349257103927499,0.6337745867227709,0.7106549696235955,0.7911919542232542,0.865901843195186,0.9109013563093273,0.9951403329351992,0.9656236601588737,0.9877672869970776,0.996329669984016,1.0022989357729473,1.0065715884290074,1.0090826673821234,1.0136150345020898,0.7145216487295452,0.7106549696235955,0.05458342973326204,4.6549482201499695,100.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
H1-1.50-REJ,H1,1.5,REJECT,50.0,50.0,block,2.0,8000,0.07726646353589037,0.09162198763248106,0.10057822828927845,0.11772672741426168,0.13752485479245136,0.1514802781542815,0.17993686106550338,11.236793966030145,16.07206380492957,20.879873427858374,27.15390152182506,34.3685734658659,39.34597752356027,50.51580280983155,1.3268522282536364,1.636498933857073,1.8887093845152083,2.166186944151977,2.437626444124852,2.6038260754001894,2.9323257748288585,0.9318672101086739,0.9754426481942065,0.9926286838796515,1.004536935793635,1.0131369576732627,1.0180239900835126,1.0272300690041793,1.9153310119905391,1.8887093845152083,0.10696911706733567,20.879873427858374,102.0,0.509625,0.053625,0.002,0.0,0.0,0.0,0.0
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,block,0.5,8000,0.019734559540189357,0.02355063159556987,0.025781240669832724,0.030390586766475006,0.03574640790089668,0.039582517286304714,0.04745943953208167,1.8553224530104198,2.029338999325549,2.16718528578265,2.315194005878787,2.4547028940211306,2.540253484211415,2.7022826879689936,0.24080215559223447,0.2802489556171943,0.30995978482550157,0.3405216314721582,0.3681847446094204,0.3846453375194439,0.4148581950998218,0.9827346649271709,0.9938955941051635,0.9981709059450333,1.0011499088334177,1.0033057076468268,1.0045467438157045,1.006807517251045,0.3107645370683646,0.30995978482550157,0.027569543152321338,2.16718528578265,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,block,1.0,8000,0.039188962691763106,0.046653533135169824,0.05110104209407851,0.06013720479582545,0.07058113984265907,0.07791129283737107,0.09315758766432465,3.4124325733941694,4.080450939851139,4.6549482201499695,5.310660403449925,5.970152917797361,6.391936659594453,7.232710523353334,0.5349257103927499,0.6337745867227709,0.7106549696235955,0.7911919542232542,0.865901843195186,0.9109013563093273,0.9951403329351992,0.9656236601588737,0.9877672869970776,0.996329669984016,1.0022989357729473,1.0065715884290074,1.0090826673821234,1.0136150345020898,0.7145216487295452,0.7106549696235955,0.05458342973326204,4.6549482201499695,100.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
H2-1.50-REJ,H2,1.5,REJECT,50.0,50.0,block,2.0,8000,0.07726646353589037,0.09162198763248106,0.10057822828927845,0.11772672741426168,0.13752485479245136,0.1514802781542815,0.17993686106550338,11.236793966030145,16.07206380492957,20.879873427858374,27.15390152182506,34.3685734658659,39.34597752356027,50.51580280983155,1.3268522282536364,1.636498933857073,1.8887093845152083,2.166186944151977,2.437626444124852,2.6038260754001894,2.9323257748288585,0.9318672101086739,0.9754426481942065,0.9926286838796515,1.004536935793635,1.0131369576732627,1.0180239900835126,1.0272300690041793,1.9153310119905391,1.8887093845152083,0.10696911706733567,20.879873427858374,102.0,0.509625,0.053625,0.002,0.0,0.0,0.0,0.0
H3-0.75-REJ,H3,0.75,REJECT,50.0,50.0,block,0.5,8000,0.016461432204770705,0.020579977493872588,0.025781240669832155,0.027363094393381197,0.03175821171531349,0.03516762435829182,0.042011079445675226,1.7690527728291432,1.909514215871692,2.0219190410416767,2.1376732794019526,2.249719468981558,2.315082444200264,2.445143517110099,0.22034841613046063,0.2533356270621629,0.2786129067309685,0.30370470144990264,0.32716373404954635,0.3404990815187973,0.3663223827951551,0.9857952737214327,0.9946565411561702,0.9984551117210447,1.0012102695290863,1.0032007047443217,1.0044437729298181,1.0068430243742779,0.27898324053237716,0.2786129067309685,0.024870589688027866,2.0219190410416767,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
